Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1590.000,    -0.018688,    -0.068940,    -0.000097,
  1590.050,    -0.009756,    -0.032358,     0.001863,
  1590.100,    -0.000005,     0.003758,    -0.001404,
  1590.150,     0.009694,     0.036722,     0.001337,
  1590.200,     0.018755,     0.060818,    -0.001699,
  1590.250,     0.033138,     0.087398,    -0.000603,
  1590.300,     0.039262,     0.107026,    -0.001018,
  1590.350,     0.052980,     0.126921,     0.001128,
  1590.400,     0.061885,     0.137211,     0.002584,
  1590.450,     0.070820,     0.146189,     0.001448,
  1590.500,     0.077566,     0.148571,     0.000133,
  1590.550,     0.085647,     0.147922,    -0.001921,
  1590.600,     0.087998,     0.144196,     0.001715,
  1590.650,     0.093616,     0.133075,    -0.000304,
  1590.700,     0.095103,     0.123636,    -0.002052,
  1590.750,     0.098781,     0.108291,    -0.000463,
  1590.800,     0.096376,     0.086235,     0.000821,
  1590.850,     0.098754,     0.068167,    -0.000243,
  1590.900,     0.096171,     0.042312,     0.000393,
  1590.950,     0.091619,     0.017910,     0.000378,
  1591.000,     0.087718,    -0.009890,     0.000416,
  1591.050,     0.082492,    -0.041528,    -0.000747,
  1591.100,     0.075325,    -0.072983,    -0.001889,
  1591.150,     0.071197,    -0.106378,     0.001377,
  1591.200,     0.064459,    -0.145444,     0.001299,
  1591.250,     0.054846,    -0.182438,    -0.000010,
  1591.300,     0.048932,    -0.220007,    -0.001699,
  1591.350,     0.039873,    -0.260168,     0.002001,
  1591.400,     0.031945,    -0.302175,     0.001499,
  1591.450,     0.028912,    -0.343312,    -0.000028,
  1591.500,     0.020649,    -0.383203,    -0.001548,
  1591.550,     0.017218,    -0.421774,    -0.000378,
  1591.600,     0.009886,    -0.463156,     0.003482,
  1591.650,     0.009335,    -0.501765,    -0.001287,
  1591.700,     0.003865,    -0.540231,     0.000565,
  1591.750,     0.002765,    -0.574352,    -0.000624,
  1591.800,     0.005254,    -0.609320,     0.001286,
  1591.850,     0.003665,    -0.639689,    -0.000428,
  1591.900,     0.011180,    -0.669676,     0.001481,
  1591.950,     0.013041,    -0.692633,    -0.000213,
  1592.000,     0.018480,    -0.714664,     0.000471,
  1592.050,     0.027468,    -0.736240,     0.000390,
  1592.100,     0.033664,    -0.756595,    -0.000806,
  1592.150,     0.045192,    -0.775647,     0.000292,
