Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1590.000,    -0.043951,    -0.068940,    -0.001526,
  1590.050,    -0.025298,    -0.032358,     0.000146,
  1590.100,    -0.004983,     0.003758,     0.001174,
  1590.150,     0.026207,     0.036722,     0.002075,
  1590.200,     0.048025,     0.060818,    -0.001869,
  1590.250,     0.081538,     0.087398,     0.000834,
  1590.300,     0.113854,     0.107026,    -0.000891,
  1590.350,     0.144829,     0.126921,     0.000512,
  1590.400,     0.179400,     0.137211,    -0.000595,
  1590.450,     0.216050,     0.146189,     0.001828,
  1590.500,     0.248614,     0.148571,    -0.000955,
  1590.550,     0.286460,     0.147922,    -0.000628,
  1590.600,     0.322703,     0.144196,     0.000526,
  1590.650,     0.360008,     0.133075,    -0.002827,
  1590.700,     0.400448,     0.123636,     0.002353,
  1590.750,     0.440021,     0.108291,     0.001488,
  1590.800,     0.474323,     0.086235,    -0.001285,
  1590.850,     0.513256,     0.068167,    -0.001724,
  1590.900,     0.543170,     0.042312,    -0.000747,
  1590.950,     0.577997,     0.017910,     0.000941,
  1591.000,     0.608358,    -0.009890,    -0.000212,
  1591.050,     0.633566,    -0.041528,    -0.001502,
  1591.100,     0.659434,    -0.072983,    -0.001125,
  1591.150,     0.680450,    -0.106378,    -0.001349,
  1591.200,     0.695615,    -0.145444,     0.000639,
  1591.250,     0.711523,    -0.182438,     0.000666,
  1591.300,     0.717095,    -0.220007,     0.000868,
  1591.350,     0.722463,    -0.260168,    -0.001200,
  1591.400,     0.722730,    -0.302175,    -0.002876,
  1591.450,     0.720015,    -0.343312,    -0.003378,
  1591.500,     0.713435,    -0.383203,     0.000553,
  1591.550,     0.700136,    -0.421774,     0.000369,
  1591.600,     0.693277,    -0.463156,     0.000678,
  1591.650,     0.675309,    -0.501765,    -0.000640,
  1591.700,     0.655518,    -0.540231,     0.002108,
  1591.750,     0.637104,    -0.574352,    -0.001514,
  1591.800,     0.610106,    -0.609320,    -0.002365,
  1591.850,     0.588042,    -0.639689,    -0.003018,
  1591.900,     0.558831,    -0.669676,     0.001341,
