Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  2675.000,     0.010097,    -0.076247,     0.002805,
  2675.050,     0.009802,    -0.038622,     0.000822,
  2675.100,     0.008807,    -0.008273,     0.005288,
  2675.150,    -0.022493,     0.042242,     0.002509,
  2675.200,    -0.006213,     0.080900,    -0.011424,
  2675.250,    -0.017859,     0.121755,    -0.000948,
  2675.300,    -0.024742,     0.156249,    -0.001282,
  2675.350,    -0.011907,     0.184076,     0.002092,
  2675.400,    -0.017015,     0.211622,    -0.006112,
  2675.450,    -0.004714,     0.242669,     0.010470,
  2675.500,     0.005499,     0.265751,     0.004565,
  2675.550,     0.018502,     0.278125,    -0.002652,
  2675.600,     0.035933,     0.278327,     0.000747,
  2675.650,     0.055407,     0.293133,    -0.001391,
  2675.700,     0.078070,     0.299077,    -0.013486,
  2675.750,     0.112889,     0.291585,    -0.005776,
  2675.800,     0.125392,     0.284598,     0.003069,
  2675.850,     0.154415,     0.269619,    -0.004319,
  2675.900,     0.201209,     0.260522,    -0.001673,
  2675.950,     0.222335,     0.251757,     0.001311,
  2676.000,     0.264030,     0.215206,    -0.007059,
  2676.050,     0.287429,     0.201829,     0.006301,
  2676.100,     0.322172,     0.174798,    -0.002687,
  2676.150,     0.369197,     0.143162,     0.002492,
  2676.200,     0.398061,     0.101780,     0.003884,
  2676.250,     0.434090,     0.068157,     0.002850,
  2676.300,     0.464587,     0.027299,    -0.006804,
  2676.350,     0.499763,    -0.006555,    -0.009266,
  2676.400,     0.536156,    -0.050609,     0.002123,
  2676.450,     0.559095,    -0.091587,    -0.004742,
  2676.500,     0.582366,    -0.136698,    -0.009645,
  2676.550,     0.610480,    -0.169915,    -0.003625,
  2676.600,     0.624542,    -0.213788,     0.000336,
  2676.650,     0.643277,    -0.249153,    -0.011393,
  2676.700,     0.652062,    -0.294035,     0.000855,
  2676.750,     0.658547,    -0.321889,     0.001193,
  2676.800,     0.658794,    -0.354279,     0.000516,
  2676.850,     0.659477,    -0.394980,     0.006404,
  2676.900,     0.658268,    -0.418985,     0.000752,
  2676.950,     0.645285,    -0.447815,     0.001969,
  2677.000,     0.639533,    -0.482720,    -0.000053,
  2677.050,     0.627643,    -0.520053,     0.008727,
  2677.100,     0.600747,    -0.540091,     0.005857,
  2677.150,     0.591731,    -0.567092,     0.004161,
  2677.200,     0.560187,    -0.589034,    -0.000473,
  2677.250,     0.549296,    -0.623820,    -0.002938,
  2677.300,     0.508593,    -0.651529,     0.001196,
  2677.350,     0.495020,    -0.667783,     0.000975,
  2677.400,     0.461245,    -0.675250,     0.000467,
  2677.450,     0.422496,    -0.700648,     0.001159,
  2677.500,     0.394236,    -0.716431,     0.003132,
  2677.550,     0.353572,    -0.732617,     0.005571,
  2677.600,     0.337971,    -0.742438,     0.007964,
  2677.650,     0.297855,    -0.747794,    -0.001810,
  2677.700,     0.255901,    -0.766459,     0.006304,
  2677.750,     0.219485,    -0.784491,     0.002477,
  2677.800,     0.177796,    -0.787897,    -0.005527,
  2677.850,     0.144604,    -0.808595,     0.000031,
  2677.900,     0.109496,    -0.829850,    -0.000485,
  2677.950,     0.075898,    -0.854553,     0.006391,
  2678.000,     0.047645,    -0.876333,     0.011907,
  2678.050,     0.025669,    -0.886851,    -0.004507,
  2678.100,    -0.011901,    -0.875862,    -0.007263,
  2678.150,    -0.042060,    -0.859695,     0.005794,
  2678.200,    -0.068110,    -0.820528,     0.003613,
  2678.250,    -0.093075,    -0.742329,     0.004024,
  2678.300,    -0.117989,    -0.649714,     0.001707,
  2678.350,    -0.127829,    -0.522731,     0.005082,
  2678.400,    -0.151211,    -0.399123,    -0.002173,
  2678.450,    -0.164835,    -0.257605,     0.008381,
  2678.500,    -0.176158,    -0.146527,     0.012344,
  2678.550,    -0.196635,    -0.048876,    -0.002792,
  2678.600,    -0.199990,     0.020542,    -0.002717,
  2678.650,    -0.209255,     0.070425,    -0.006833,
  2678.700,    -0.215299,     0.087121,    -0.001097,
  2678.750,    -0.217963,     0.086570,    -0.000175,
  2678.800,    -0.219616,     0.076840,    -0.002772,
  2678.850,    -0.218095,     0.051758,     0.003838,
  2678.900,    -0.224717,     0.019795,     0.001083,
  2678.950,    -0.233522,    -0.024034,    -0.000325,
  2679.000,    -0.239785,    -0.055937,     0.004477,
  2679.050,    -0.233249,    -0.102216,    -0.005551,
  2679.100,    -0.237120,    -0.158351,    -0.004711,
  2679.150,    -0.230671,    -0.191319,    -0.002404,
  2679.200,    -0.211055,    -0.231425,     0.006353,
  2679.250,    -0.167443,    -0.273069,     0.003720,
  2679.300,    -0.128020,    -0.317317,    -0.006797,
  2679.350,    -0.069321,    -0.342847,    -0.000637,
  2679.400,     0.011027,    -0.381384,    -0.001781,
  2679.450,     0.096408,    -0.421023,    -0.001410,
  2679.500,     0.181976,    -0.455174,    -0.006001,
  2679.550,     0.281097,    -0.478206,    -0.007554,
  2679.600,     0.361573,    -0.516954,    -0.000236,
  2679.650,     0.443641,    -0.535378,     0.000107,
  2679.700,     0.511417,    -0.548424,     0.004769,
  2679.750,     0.565844,    -0.551508,    -0.002213,
  2679.800,     0.593672,    -0.550648,     0.002729,
  2679.850,     0.609502,    -0.547270,     0.003442,
  2679.900,     0.600684,    -0.556458,    -0.004805,
  2679.950,     0.584080,    -0.560590,    -0.001944,
  2680.000,     0.563477,    -0.586383,    -0.002218,
  2680.050,     0.527081,    -0.629776,     0.003002,
  2680.100,     0.494539,    -0.683863,     0.009992,
  2680.150,     0.448919,    -0.744678,    -0.000682,
  2680.200,     0.407437,    -0.808313,    -0.005715,
  2680.250,     0.359907,    -0.854534,     0.007723,
  2680.300,     0.322146,    -0.901684,    -0.004440,
