Time_abs/ps, Signal 1/nA, Signal 2/nA
  2675.000,     0.000340,    -0.000845
  2675.050,    -0.002032,     0.002685
  2675.100,     0.000006,    -0.000735
  2675.150,     0.000750,    -0.000805
  2675.200,     0.000936,    -0.000301
  2675.250,     0.000532,     0.001787
  2675.300,    -0.000007,     0.000967
  2675.350,    -0.000900,     0.002371
  2675.400,    -0.000246,     0.001164
  2675.450,    -0.001229,     0.001338
  2675.500,    -0.001099,     0.001276
  2675.550,     0.000702,    -0.000243
  2675.600,     0.000124,     0.003493
  2675.650,    -0.003317,     0.002021
  2675.700,    -0.000477,    -0.000004
  2675.750,    -0.003232,    -0.000717
  2675.800,    -0.003074,     0.000305
  2675.850,    -0.001804,     0.003344
  2675.900,    -0.001868,     0.000578
  2675.950,    -0.003069,     0.001167
  2676.000,    -0.001780,     0.002280
  2676.050,     0.000611,    -0.000094
  2676.100,    -0.003192,     0.001971
  2676.150,    -0.002309,     0.003532
  2676.200,    -0.002566,     0.001250
  2676.250,    -0.001196,    -0.000490
  2676.300,    -0.002540,     0.001431
  2676.350,    -0.003622,     0.003475
  2676.400,    -0.003837,     0.000663
  2676.450,    -0.002619,     0.003818
  2676.500,    -0.003165,    -0.001253
  2676.550,    -0.001085,     0.003053
  2676.600,    -0.002481,     0.000249
  2676.650,    -0.004768,     0.000097
  2676.700,     0.001090,    -0.000648
  2676.750,    -0.001114,     0.001706
  2676.800,    -0.003218,    -0.000753
  2676.850,     0.000033,     0.001027
  2676.900,    -0.002668,     0.000060
  2676.950,    -0.002710,     0.001441
  2677.000,    -0.001159,     0.001009
  2677.050,    -0.000874,    -0.000302
  2677.100,     0.000349,     0.002266
  2677.150,    -0.000958,     0.003406
  2677.200,     0.001404,    -0.000696
  2677.250,     0.002204,     0.001104
  2677.300,     0.001329,     0.001645
  2677.350,    -0.000688,     0.000978
  2677.400,     0.001958,     0.000267
  2677.450,     0.001431,     0.001281
  2677.500,     0.004325,     0.003868
  2677.550,     0.001253,     0.004098
  2677.600,     0.004037,     0.001495
  2677.650,     0.005868,     0.002390
  2677.700,     0.004481,     0.001626
  2677.750,     0.004116,     0.000490
  2677.800,     0.003563,     0.002629
  2677.850,     0.006232,     0.001647
  2677.900,     0.006052,    -0.000206
  2677.950,     0.006098,     0.000834
  2678.000,     0.006031,     0.001867
  2678.050,     0.005779,     0.002550
  2678.100,     0.006396,     0.002563
  2678.150,     0.007071,     0.002106
  2678.200,     0.008893,     0.000250
  2678.250,     0.009299,     0.002681
  2678.300,     0.007549,     0.001869
  2678.350,     0.009340,     0.001027
  2678.400,     0.007999,    -0.001882
  2678.450,     0.008607,     0.002396
  2678.500,     0.008880,     0.000846
  2678.550,     0.012149,     0.001845
  2678.600,     0.009229,     0.002301
  2678.650,     0.013130,     0.004829
  2678.700,     0.012286,     0.000916
  2678.750,     0.013921,    -0.001347
  2678.800,     0.013049,     0.002331
  2678.850,     0.011576,     0.001757
  2678.900,     0.013264,     0.001061
  2678.950,     0.013599,    -0.001411
  2679.000,     0.014662,    -0.001140
  2679.050,     0.014772,     0.001423
  2679.100,     0.014381,     0.001034
  2679.150,     0.014808,     0.004902
  2679.200,     0.014454,     0.000331
  2679.250,     0.013052,    -0.000311
  2679.300,     0.014225,     0.002645
