Time_abs/ps, Signal 1/nA, Signal 2/nA
  2675.000,    -0.001090,     0.000793
  2675.050,     0.000853,    -0.001189
  2675.100,    -0.002751,    -0.000195
  2675.150,     0.002923,     0.001453
  2675.200,     0.000065,    -0.000861
  2675.250,     0.002032,    -0.000660
  2675.300,     0.001223,     0.000754
  2675.350,     0.003576,    -0.001541
  2675.400,     0.000719,     0.002235
  2675.450,     0.001542,    -0.000457
  2675.500,     0.001077,     0.000119
  2675.550,     0.004556,     0.000821
  2675.600,     0.003507,     0.002608
  2675.650,    -0.000033,     0.001781
  2675.700,     0.005280,    -0.000602
  2675.750,     0.002816,     0.001225
  2675.800,     0.004386,     0.000213
  2675.850,     0.006224,    -0.003970
  2675.900,     0.006887,     0.001499
  2675.950,     0.005309,     0.001346
  2676.000,     0.006687,     0.001192
  2676.050,     0.008760,    -0.001217
  2676.100,     0.006474,    -0.000702
  2676.150,     0.007583,     0.001754
  2676.200,     0.007909,     0.000042
  2676.250,     0.009280,     0.002174
  2676.300,     0.010433,     0.000110
  2676.350,     0.011928,    -0.002271
  2676.400,     0.012193,    -0.001909
  2676.450,     0.011879,    -0.002325
  2676.500,     0.014951,     0.000186
  2676.550,     0.012907,    -0.001068
  2676.600,     0.011663,    -0.002134
  2676.650,     0.013711,    -0.000116
  2676.700,     0.011640,     0.000362
  2676.750,     0.015227,    -0.000900
  2676.800,     0.014673,    -0.002119
  2676.850,     0.013232,    -0.000766
  2676.900,     0.014194,     0.000907
  2676.950,     0.014045,     0.001663
  2677.000,     0.013589,     0.000308
  2677.050,     0.014729,    -0.000744
  2677.100,     0.014506,     0.001094
  2677.150,     0.013752,    -0.000514
  2677.200,     0.014433,     0.001350
  2677.250,     0.010746,    -0.000732
  2677.300,     0.011137,    -0.001338
  2677.350,     0.009842,     0.000876
  2677.400,     0.008256,    -0.000300
  2677.450,     0.010819,     0.000584
  2677.500,     0.006711,    -0.001423
  2677.550,     0.008416,    -0.000845
  2677.600,     0.008585,    -0.000882
  2677.650,     0.006687,    -0.001183
  2677.700,     0.008410,     0.000772
  2677.750,     0.003538,    -0.001231
  2677.800,     0.005310,    -0.000973
  2677.850,     0.002898,    -0.000824
  2677.900,     0.002974,    -0.000654
  2677.950,     0.000502,    -0.002794
  2678.000,     0.002378,    -0.000405
  2678.050,     0.001962,     0.000153
  2678.100,     0.000488,    -0.001010
  2678.150,    -0.000138,     0.001638
  2678.200,     0.000886,     0.002095
  2678.250,    -0.000755,     0.000454
  2678.300,    -0.003265,    -0.001691
  2678.350,    -0.002885,     0.000206
  2678.400,    -0.003803,     0.000198
  2678.450,    -0.003598,     0.000444
  2678.500,    -0.004732,    -0.000620
  2678.550,    -0.004699,    -0.001647
  2678.600,    -0.004893,     0.000127
  2678.650,    -0.007073,     0.001916
  2678.700,    -0.007588,    -0.000878
  2678.750,    -0.009187,     0.000860
  2678.800,    -0.011045,     0.001350
  2678.850,    -0.012899,    -0.000066
  2678.900,    -0.012571,    -0.000796
  2678.950,    -0.012583,     0.001107
  2679.000,    -0.013713,     0.002843
  2679.050,    -0.013921,    -0.000086
  2679.100,    -0.012980,    -0.001340
  2679.150,    -0.017089,     0.001028
  2679.200,    -0.016574,     0.000158
  2679.250,    -0.014996,    -0.001164
  2679.300,    -0.018973,     0.000037
  2679.350,    -0.017492,    -0.001612
  2679.400,    -0.016362,    -0.001487
  2679.450,    -0.019034,    -0.003181
  2679.500,    -0.020633,     0.000060
  2679.550,    -0.021992,     0.000404
  2679.600,    -0.021129,     0.000200
  2679.650,    -0.020728,    -0.000240
  2679.700,    -0.022156,    -0.001062
  2679.750,    -0.023693,    -0.001577
  2679.800,    -0.021683,     0.001238
  2679.850,    -0.024401,    -0.000551
  2679.900,    -0.021506,    -0.000969
  2679.950,    -0.024039,    -0.000487
  2680.000,    -0.024057,    -0.000864
  2680.050,    -0.025690,    -0.000200
  2680.100,    -0.026075,     0.003363
  2680.150,    -0.027069,     0.000967
  2680.200,    -0.025914,    -0.001253
  2680.250,    -0.029150,    -0.000224
  2680.300,    -0.030426,     0.000393
  2680.350,    -0.028870,     0.000739
  2680.400,    -0.032130,    -0.000672
  2680.450,    -0.030052,     0.000665
  2680.500,    -0.028855,     0.000085
  2680.550,    -0.032747,     0.001532
  2680.600,    -0.033896,    -0.000258
  2680.650,    -0.030627,    -0.000486
  2680.700,    -0.032026,     0.002213
  2680.750,    -0.030922,    -0.000036
  2680.800,    -0.030958,     0.000952
  2680.850,    -0.030134,     0.000668
  2680.900,    -0.032338,     0.001502
  2680.950,    -0.033285,    -0.000665
  2681.000,    -0.031385,     0.001542
  2681.050,    -0.033245,    -0.002234
  2681.100,    -0.032884,    -0.001559
  2681.150,    -0.037540,    -0.002187
  2681.200,    -0.032804,     0.000618
  2681.250,    -0.032233,     0.000046
  2681.300,    -0.032233,    -0.000176
  2681.350,    -0.033768,    -0.001258
  2681.400,    -0.034406,    -0.001374
  2681.450,    -0.032509,     0.000481
  2681.500,    -0.034665,    -0.000820
  2681.550,    -0.035638,    -0.001584
  2681.600,    -0.034221,     0.000110
  2681.650,    -0.035509,     0.000980
  2681.700,    -0.032937,    -0.001363
  2681.750,    -0.033120,     0.000033
  2681.800,    -0.034646,    -0.000027
  2681.850,    -0.030970,    -0.000592
  2681.900,    -0.034002,     0.000040
  2681.950,    -0.032735,     0.001171
  2682.000,    -0.030627,     0.001922
  2682.050,    -0.030995,     0.000934
  2682.100,    -0.029021,    -0.001524
  2682.150,    -0.032001,    -0.000480
  2682.200,    -0.030122,     0.000712
  2682.250,    -0.031862,     0.000770
