Time_abs/ps, Signal 1/nA, Signal 2/nA
  2675.000,    -0.076247,    -0.000339
  2675.050,    -0.038622,    -0.000565
  2675.100,    -0.008273,    -0.005115
  2675.150,     0.042242,    -0.001869
  2675.200,     0.080900,     0.007888
  2675.250,     0.121755,     0.004282
  2675.300,     0.156249,     0.000004
  2675.350,     0.184076,    -0.004455
  2675.400,     0.211622,    -0.001978
  2675.450,     0.242669,    -0.006739
  2675.500,     0.265751,     0.003053
  2675.550,     0.278125,     0.000390
  2675.600,     0.278327,     0.006624
  2675.650,     0.293133,     0.000992
  2675.700,     0.299077,     0.000387
  2675.750,     0.291585,    -0.000983
  2675.800,     0.284598,    -0.012468
  2675.850,     0.269619,    -0.006290
  2675.900,     0.260522,    -0.000150
  2675.950,     0.251757,    -0.001598
  2676.000,     0.215206,    -0.001757
  2676.050,     0.201829,    -0.006799
  2676.100,     0.174798,    -0.000124
  2676.150,     0.143162,     0.000129
  2676.200,     0.101780,     0.007550
  2676.250,     0.068157,    -0.000679
  2676.300,     0.027299,    -0.000840
  2676.350,    -0.006555,    -0.000643
  2676.400,    -0.050609,    -0.007502
  2676.450,    -0.091587,     0.007937
  2676.500,    -0.136698,    -0.000074
  2676.550,    -0.169915,     0.005891
  2676.600,    -0.213788,    -0.001258
  2676.650,    -0.249153,     0.007741
  2676.700,    -0.294035,     0.003054
  2676.750,    -0.321889,    -0.000319
  2676.800,    -0.354279,     0.000056
  2676.850,    -0.394980,    -0.000069
  2676.900,    -0.418985,     0.005994
  2676.950,    -0.447815,     0.004310
  2677.000,    -0.482720,    -0.004191
  2677.050,    -0.520053,    -0.002106
  2677.100,    -0.540091,     0.005873
  2677.150,    -0.567092,    -0.000930
  2677.200,    -0.589034,    -0.000533
  2677.250,    -0.623820,     0.004698
  2677.300,    -0.651529,    -0.002598
  2677.350,    -0.667783,     0.000086
  2677.400,    -0.675250,    -0.004730
  2677.450,    -0.700648,    -0.009172
  2677.500,    -0.716431,     0.007943
  2677.550,    -0.732617,    -0.005763
  2677.600,    -0.742438,     0.004728
