Time_abs/ps, Signal 1/nA, Signal 2/nA
  2675.000,     0.004013,     0.000854
  2675.050,    -0.003355,     0.001417
  2675.100,     0.001252,    -0.000730
  2675.150,     0.000906,     0.000146
  2675.200,    -0.002816,    -0.001686
  2675.250,     0.000711,     0.001341
  2675.300,    -0.001545,    -0.000501
  2675.350,    -0.001511,    -0.000724
  2675.400,    -0.001940,    -0.001131
  2675.450,    -0.001628,     0.002007
  2675.500,    -0.001752,    -0.001945
  2675.550,    -0.002500,     0.000108
  2675.600,    -0.000581,    -0.000532
  2675.650,    -0.001445,    -0.001699
  2675.700,     0.001431,     0.000775
  2675.750,     0.000133,    -0.001155
  2675.800,    -0.001047,     0.001023
  2675.850,     0.000057,    -0.000057
  2675.900,    -0.002235,    -0.000166
  2675.950,    -0.002411,     0.000442
  2676.000,    -0.000322,    -0.000105
  2676.050,     0.001537,     0.000463
  2676.100,    -0.002062,     0.000725
  2676.150,     0.000112,    -0.001441
  2676.200,     0.000672,     0.000684
  2676.250,     0.001461,     0.001131
  2676.300,    -0.001141,     0.000107
  2676.350,    -0.000649,    -0.000446
  2676.400,     0.001602,    -0.000505
  2676.450,    -0.000636,     0.000526
  2676.500,     0.000744,     0.001041
  2676.550,     0.002311,    -0.002332
  2676.600,     0.001976,    -0.000835
  2676.650,     0.000102,    -0.000368
  2676.700,     0.000286,     0.001816
  2676.750,    -0.002870,    -0.000954
  2676.800,     0.000054,     0.000566
  2676.850,     0.000355,     0.000028
  2676.900,     0.001897,    -0.003495
  2676.950,    -0.000092,    -0.000665
  2677.000,    -0.000439,     0.000789
  2677.050,    -0.000344,    -0.002557
  2677.100,     0.003811,    -0.000806
  2677.150,     0.000717,    -0.001520
  2677.200,     0.004432,    -0.000120
  2677.250,     0.002884,    -0.000045
  2677.300,     0.001134,    -0.000938
  2677.350,     0.001994,    -0.000829
  2677.400,     0.002024,    -0.000973
  2677.450,     0.005253,    -0.001383
  2677.500,     0.001499,    -0.000057
  2677.550,     0.004311,    -0.000651
  2677.600,     0.002751,    -0.000125
  2677.650,     0.005272,    -0.002012
  2677.700,     0.005515,    -0.001554
  2677.750,     0.005657,    -0.000930
  2677.800,     0.003368,     0.001649
  2677.850,     0.002921,    -0.001568
  2677.900,     0.004521,    -0.003968
  2677.950,     0.004824,     0.000396
  2678.000,     0.005831,     0.000842
  2678.050,     0.006156,    -0.001794
  2678.100,     0.002922,     0.000129
  2678.150,     0.004642,    -0.000125
  2678.200,     0.005044,     0.001400
  2678.250,     0.006758,     0.003163
  2678.300,     0.006301,     0.001627
  2678.350,     0.004834,    -0.001532
  2678.400,     0.005913,    -0.000173
  2678.450,     0.003840,     0.000538
  2678.500,     0.003389,    -0.000559
  2678.550,     0.007880,     0.000129
  2678.600,     0.008667,     0.001223
  2678.650,     0.009063,    -0.001315
  2678.700,     0.006822,    -0.001338
  2678.750,     0.007347,     0.000949
  2678.800,     0.009021,     0.000822
  2678.850,     0.008624,     0.001381
  2678.900,     0.010780,    -0.001589
  2678.950,     0.010842,    -0.000504
  2679.000,     0.009345,    -0.001920
  2679.050,     0.009500,     0.000523
  2679.100,     0.011486,     0.000801
  2679.150,     0.008355,     0.000065
  2679.200,     0.010051,     0.000764
  2679.250,     0.012280,     0.000570
  2679.300,     0.014134,     0.004689
  2679.350,     0.013940,     0.001068
  2679.400,     0.010860,     0.000384
  2679.450,     0.012441,     0.002625
  2679.500,     0.015524,     0.000417
  2679.550,     0.014492,    -0.003450
  2679.600,     0.014879,    -0.000440
  2679.650,     0.017438,     0.002186
  2679.700,     0.014860,     0.000140
  2679.750,     0.016025,    -0.001812
  2679.800,     0.013767,     0.001134
  2679.850,     0.016284,     0.002132
  2679.900,     0.017496,     0.000520
  2679.950,     0.017542,     0.000986
  2680.000,     0.020482,     0.000900
  2680.050,     0.020486,    -0.000654
  2680.100,     0.020594,    -0.000735
  2680.150,     0.021617,     0.000663
  2680.200,     0.022149,    -0.001195
  2680.250,     0.021097,    -0.003530
  2680.300,     0.018880,    -0.002238
  2680.350,     0.018809,     0.002312
  2680.400,     0.022206,     0.000158
  2680.450,     0.022711,    -0.000395
  2680.500,     0.020838,     0.000240
  2680.550,     0.024881,    -0.000789
  2680.600,     0.024183,    -0.000345
  2680.650,     0.022665,    -0.001470
  2680.700,     0.025259,     0.000494
  2680.750,     0.023546,     0.000491
  2680.800,     0.024554,    -0.000795
  2680.850,     0.027311,     0.000275
  2680.900,     0.026609,     0.001810
  2680.950,     0.028187,     0.000040
  2681.000,     0.028745,    -0.001273
  2681.050,     0.025279,    -0.000593
  2681.100,     0.024218,    -0.000134
  2681.150,     0.028654,     0.000931
  2681.200,     0.028248,    -0.001300
  2681.250,     0.028582,     0.000532
  2681.300,     0.029901,     0.000597
  2681.350,     0.027889,     0.000700
  2681.400,     0.029791,     0.000964
  2681.450,     0.031679,    -0.002735
  2681.500,     0.027089,    -0.002972
  2681.550,     0.025106,    -0.000462
  2681.600,     0.029385,     0.001579
  2681.650,     0.029372,    -0.002504
  2681.700,     0.028420,    -0.001918
  2681.750,     0.030202,    -0.002474
  2681.800,     0.029390,    -0.001367
  2681.850,     0.027897,     0.000862
  2681.900,     0.030484,    -0.000340
  2681.950,     0.030868,    -0.001896
  2682.000,     0.027657,    -0.001164
  2682.050,     0.028855,     0.001058
  2682.100,     0.030293,     0.001010
  2682.150,     0.031115,    -0.000143
  2682.200,     0.032211,    -0.000844
  2682.250,     0.032082,     0.003086
  2682.300,     0.029379,     0.001843
  2682.350,     0.027399,     0.001546
  2682.400,     0.031452,     0.001795
  2682.450,     0.028456,    -0.000663
  2682.500,     0.026596,    -0.001008
  2682.550,     0.028384,     0.001377
  2682.600,     0.029685,    -0.000520
  2682.650,     0.029634,    -0.001265
  2682.700,     0.032588,    -0.002136
  2682.750,     0.030718,    -0.001388
  2682.800,     0.030107,     0.001070
  2682.850,     0.028967,    -0.000528
  2682.900,     0.029499,    -0.002222
  2682.950,     0.028199,     0.000292
  2683.000,     0.029080,     0.000225
  2683.050,     0.028648,     0.000281
  2683.100,     0.032743,     0.000110
  2683.150,     0.030160,     0.000854
  2683.200,     0.029886,     0.000788
  2683.250,     0.027091,     0.001268
  2683.300,     0.024732,     0.001372
  2683.350,     0.027886,    -0.001297
  2683.400,     0.026459,    -0.002268
  2683.450,     0.028058,    -0.002450
  2683.500,     0.027985,     0.000055
  2683.550,     0.027974,     0.001090
  2683.600,     0.027591,    -0.003164
  2683.650,     0.028061,    -0.003068
  2683.700,     0.023988,     0.000728
  2683.750,     0.024666,    -0.000866
  2683.800,     0.028549,    -0.000452
  2683.850,     0.023865,    -0.001717
  2683.900,     0.023610,    -0.001142
  2683.950,     0.025274,    -0.000771
  2684.000,     0.027114,     0.001241
  2684.050,     0.026851,     0.000277
  2684.100,     0.024747,    -0.000443
  2684.150,     0.025229,     0.000749
  2684.200,     0.026581,     0.000862
  2684.250,     0.025939,     0.000612
  2684.300,     0.024914,     0.000621
  2684.350,     0.023407,     0.000235
  2684.400,     0.026588,    -0.001519
  2684.450,     0.025793,    -0.000356
  2684.500,     0.024097,     0.002378
  2684.550,     0.026441,     0.002800
  2684.600,     0.024884,     0.000761
  2684.650,     0.023733,     0.000377
  2684.700,     0.025246,     0.001043
  2684.750,     0.022875,    -0.000277
  2684.800,     0.020764,     0.000374
  2684.850,     0.020501,     0.000167
  2684.900,     0.021179,    -0.000856
  2684.950,     0.021425,     0.000006
  2685.000,     0.022045,     0.001888
  2685.050,     0.020419,    -0.002358
  2685.100,     0.018454,    -0.000128
  2685.150,     0.019856,     0.002464
  2685.200,     0.022924,     0.001163
  2685.250,     0.022330,    -0.000172
  2685.300,     0.022887,    -0.000961
  2685.350,     0.024587,    -0.000280
  2685.400,     0.022513,     0.000253
  2685.450,     0.020115,    -0.001478
  2685.500,     0.020333,    -0.000458
  2685.550,     0.020838,    -0.000188
  2685.600,     0.019807,     0.002281
  2685.650,     0.020647,     0.000481
  2685.700,     0.019956,    -0.001441
  2685.750,     0.022659,     0.000953
  2685.800,     0.021902,    -0.000246
  2685.850,     0.020176,    -0.000944
  2685.900,     0.019385,     0.001175
  2685.950,     0.021734,    -0.000131
  2686.000,     0.021997,    -0.001367
  2686.050,     0.019662,    -0.002109
  2686.100,     0.017989,    -0.000999
  2686.150,     0.017089,    -0.000130
  2686.200,     0.019630,     0.000336
  2686.250,     0.019381,    -0.000276
  2686.300,     0.017628,    -0.001394
  2686.350,     0.019834,    -0.001183
  2686.400,     0.018123,    -0.000330
  2686.450,     0.018917,     0.001272
  2686.500,     0.020325,    -0.000720
  2686.550,     0.020451,     0.000898
  2686.600,     0.019956,     0.002238
  2686.650,     0.016776,     0.000806
  2686.700,     0.017430,    -0.001280
  2686.750,     0.018579,    -0.000318
  2686.800,     0.020272,    -0.001411
  2686.850,     0.016924,     0.001068
  2686.900,     0.016752,     0.001137
  2686.950,     0.013845,     0.000573
  2687.000,     0.016295,     0.001025
  2687.050,     0.016612,     0.001891
  2687.100,     0.013601,     0.001053
  2687.150,     0.014247,     0.000207
  2687.200,     0.015016,     0.001257
  2687.250,     0.015287,     0.001405
  2687.300,     0.013590,     0.001669
  2687.350,     0.013560,    -0.000176
  2687.400,     0.013252,    -0.001793
  2687.450,     0.011844,    -0.001857
  2687.500,     0.011988,     0.002260
  2687.550,     0.012060,     0.000606
  2687.600,     0.013250,     0.000179
  2687.650,     0.012079,     0.001698
  2687.700,     0.012070,     0.000459
  2687.750,     0.008284,     0.000043
  2687.800,     0.009890,    -0.000531
  2687.850,     0.008485,     0.000876
  2687.900,     0.009360,    -0.000273
  2687.950,     0.010543,    -0.000157
  2688.000,     0.008369,    -0.001334
  2688.050,     0.008813,    -0.002359
  2688.100,     0.009154,     0.000633
  2688.150,     0.007506,     0.000487
  2688.200,     0.006219,    -0.000584
  2688.250,     0.007968,    -0.000003
  2688.300,     0.006937,     0.001731
  2688.350,     0.004568,    -0.000343
  2688.400,     0.006874,     0.000786
  2688.450,     0.006715,    -0.002264
  2688.500,     0.005919,    -0.001930
  2688.550,     0.003450,     0.000354
  2688.600,     0.003597,    -0.000505
  2688.650,     0.005050,     0.000271
  2688.700,     0.005469,     0.001347
  2688.750,     0.003262,     0.001339
  2688.800,     0.003347,     0.002445
  2688.850,     0.002843,     0.001311
  2688.900,     0.004240,    -0.000689
  2688.950,     0.004001,    -0.000304
  2689.000,     0.002747,     0.002029
  2689.050,     0.003527,     0.000007
  2689.100,     0.000459,     0.001408
  2689.150,     0.001671,     0.000255
  2689.200,     0.001552,    -0.001383
  2689.250,     0.000058,    -0.000255
  2689.300,     0.002182,    -0.000592
  2689.350,    -0.000822,    -0.000367
  2689.400,    -0.000493,    -0.000577
  2689.450,    -0.001752,    -0.000356
  2689.500,    -0.005097,     0.000019
  2689.550,    -0.000250,     0.000237
  2689.600,    -0.002862,     0.000310
  2689.650,    -0.005680,    -0.000175
  2689.700,    -0.005093,     0.000788
  2689.750,    -0.006780,     0.000292
  2689.800,    -0.003610,     0.000411
  2689.850,    -0.005141,    -0.000057
  2689.900,    -0.004190,    -0.000273
  2689.950,    -0.003190,     0.000404
  2690.000,    -0.005404,     0.002695
  2690.050,    -0.008526,     0.001312
  2690.100,    -0.005601,    -0.000841
  2690.150,    -0.001505,    -0.000413
  2690.200,    -0.001974,     0.002013
  2690.250,    -0.004320,     0.001341
  2690.300,    -0.004884,    -0.001078
  2690.350,    -0.004372,    -0.000736
  2690.400,    -0.005980,    -0.000678
  2690.450,    -0.006237,     0.000958
  2690.500,    -0.005102,    -0.000297
  2690.550,    -0.004656,    -0.000090
  2690.600,    -0.003984,     0.001122
  2690.650,    -0.003530,    -0.000382
  2690.700,    -0.003399,     0.001445
  2690.750,    -0.004954,     0.001326
  2690.800,    -0.003633,     0.000775
  2690.850,    -0.003187,    -0.000315
  2690.900,    -0.003247,    -0.002042
  2690.950,    -0.002847,    -0.001593
  2691.000,    -0.003017,     0.001047
  2691.050,    -0.005136,    -0.000064
  2691.100,    -0.005665,    -0.001420
  2691.150,    -0.004543,    -0.000830
  2691.200,    -0.003648,    -0.000345
  2691.250,    -0.004936,     0.003959
  2691.300,    -0.003490,     0.002926
  2691.350,    -0.001782,    -0.001210
  2691.400,    -0.004832,    -0.001590
  2691.450,    -0.004302,     0.000824
  2691.500,    -0.003603,    -0.000276
  2691.550,    -0.002157,    -0.001447
  2691.600,    -0.004467,     0.000834
  2691.650,    -0.005588,     0.000877
  2691.700,    -0.004865,    -0.000365
  2691.750,    -0.006497,    -0.002279
  2691.800,    -0.003673,     0.000731
  2691.850,    -0.003901,     0.002710
  2691.900,    -0.003676,     0.000702
  2691.950,    -0.004174,    -0.003749
  2692.000,    -0.004816,    -0.000355
  2692.050,    -0.003880,    -0.000669
  2692.100,    -0.002795,    -0.001875
  2692.150,    -0.004278,    -0.000428
  2692.200,    -0.004589,     0.001098
  2692.250,    -0.003136,     0.000342
  2692.300,    -0.003515,     0.001852
  2692.350,    -0.005158,     0.001512
  2692.400,    -0.006889,    -0.001183
  2692.450,    -0.005372,    -0.000237
  2692.500,    -0.006132,    -0.000024
  2692.550,    -0.004251,     0.000705
  2692.600,    -0.003592,    -0.000292
  2692.650,    -0.006120,    -0.001540
  2692.700,    -0.005734,     0.002058
  2692.750,    -0.004700,     0.001868
  2692.800,    -0.005507,     0.001350
  2692.850,    -0.006395,     0.001841
  2692.900,    -0.003877,     0.001003
  2692.950,    -0.004650,    -0.001307
