Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1675.000,    -0.004115,     0.016787,    -0.003587,
  1675.050,     0.011807,     0.004961,     0.005513,
  1675.100,     0.000780,    -0.009426,     0.001299,
  1675.150,    -0.003960,    -0.002604,    -0.004979,
  1675.200,    -0.004511,    -0.009718,     0.001754,
  1675.250,    -0.006775,    -0.025948,     0.002949,
  1675.300,    -0.019070,    -0.033235,    -0.001292,
  1675.350,    -0.034025,    -0.038492,    -0.002250,
  1675.400,    -0.036653,    -0.058622,    -0.005016,
  1675.450,    -0.044494,    -0.058330,     0.000803,
  1675.500,    -0.059015,    -0.076784,    -0.009588,
  1675.550,    -0.075505,    -0.082608,    -0.000939,
  1675.600,    -0.094169,    -0.091242,    -0.001216,
  1675.650,    -0.104123,    -0.114861,    -0.000342,
  1675.700,    -0.110870,    -0.103753,     0.005310,
  1675.750,    -0.132505,    -0.119981,     0.007342,
  1675.800,    -0.151677,    -0.132587,    -0.001914,
  1675.850,    -0.160269,    -0.127041,    -0.003553,
  1675.900,    -0.165465,    -0.152487,    -0.005700,
  1675.950,    -0.180312,    -0.147400,    -0.002264,
  1676.000,    -0.194792,    -0.153431,     0.008097,
  1676.050,    -0.209176,    -0.159536,     0.006324,
  1676.100,    -0.210371,    -0.165928,    -0.006536,
  1676.150,    -0.212287,    -0.170917,     0.004396,
  1676.200,    -0.218664,    -0.162149,     0.000624,
  1676.250,    -0.220094,    -0.152446,     0.000086,
  1676.300,    -0.221221,    -0.153425,     0.001518,
  1676.350,    -0.217662,    -0.171878,     0.003473,
  1676.400,    -0.215874,    -0.146621,     0.005226,
  1676.450,    -0.209380,    -0.156611,     0.001035,
  1676.500,    -0.209298,    -0.135458,     0.007374,
  1676.550,    -0.186346,    -0.137506,     0.003077,
  1676.600,    -0.195811,    -0.125159,     0.009054,
  1676.650,    -0.172287,    -0.125048,     0.001852,
  1676.700,    -0.164730,    -0.112484,     0.010666,
  1676.750,    -0.143311,    -0.094392,    -0.005693,
  1676.800,    -0.131308,    -0.090637,    -0.000672,
  1676.850,    -0.120060,    -0.074882,     0.000807,
  1676.900,    -0.109150,    -0.074028,     0.006884,
  1676.950,    -0.101257,    -0.064687,     0.000585,
  1677.000,    -0.094102,    -0.058548,     0.002850,
  1677.050,    -0.073236,    -0.047251,     0.003121,
  1677.100,    -0.067664,    -0.037246,    -0.002337,
  1677.150,    -0.052882,    -0.030599,     0.004512,
  1677.200,    -0.046098,    -0.024847,    -0.003705,
  1677.250,    -0.037175,    -0.018407,     0.009371,
  1677.300,    -0.031597,    -0.021989,     0.002296,
  1677.350,    -0.037355,    -0.022457,     0.005178,
  1677.400,    -0.030928,    -0.026248,    -0.001574,
  1677.450,    -0.023834,    -0.022810,     0.003896,
  1677.500,    -0.030906,    -0.030463,    -0.000854,
  1677.550,    -0.025887,    -0.031234,     0.004121,
  1677.600,    -0.033713,    -0.043390,    -0.001426,
  1677.650,    -0.037029,    -0.063106,    -0.001803,
  1677.700,    -0.055618,    -0.058317,    -0.003013,
  1677.750,    -0.062455,    -0.081251,    -0.003915,
  1677.800,    -0.068673,    -0.099606,    -0.005301,
  1677.850,    -0.089104,    -0.119247,     0.000629,
  1677.900,    -0.107729,    -0.140677,    -0.004576,
  1677.950,    -0.119925,    -0.160069,     0.005920,
  1678.000,    -0.147062,    -0.176650,     0.005053,
  1678.050,    -0.179582,    -0.219853,     0.007648,
  1678.100,    -0.193329,    -0.250545,     0.001917,
  1678.150,    -0.221887,    -0.271479,     0.002241,
  1678.200,    -0.251907,    -0.294537,     0.004016,
  1678.250,    -0.277361,    -0.324194,    -0.003653,
  1678.300,    -0.312691,    -0.367155,    -0.001207,
  1678.350,    -0.340820,    -0.399178,    -0.005435,
  1678.400,    -0.375673,    -0.421617,    -0.001839,
  1678.450,    -0.409705,    -0.450071,     0.005410,
  1678.500,    -0.435902,    -0.485247,     0.005082,
  1678.550,    -0.470980,    -0.522623,     0.011864,
  1678.600,    -0.509022,    -0.549635,     0.007994,
  1678.650,    -0.540900,    -0.579233,    -0.000362,
  1678.700,    -0.566774,    -0.612285,     0.000824,
  1678.750,    -0.606952,    -0.644057,     0.002338,
  1678.800,    -0.638946,    -0.657662,     0.002807,
  1678.850,    -0.657199,    -0.688733,    -0.000407,
  1678.900,    -0.688227,    -0.705808,     0.012769,
  1678.950,    -0.712048,    -0.724929,     0.003022,
  1679.000,    -0.727398,    -0.742863,    -0.002866,
  1679.050,    -0.746634,    -0.746635,     0.005555,
  1679.100,    -0.769553,    -0.756445,     0.001698,
  1679.150,    -0.787712,    -0.761838,    -0.000790,
  1679.200,    -0.792927,    -0.756610,    -0.006347,
  1679.250,    -0.809758,    -0.747328,     0.003643,
  1679.300,    -0.802665,    -0.743468,    -0.001088,
  1679.350,    -0.810113,    -0.727067,     0.001827,
  1679.400,    -0.798128,    -0.710876,    -0.002724,
  1679.450,    -0.800384,    -0.699488,     0.006872,
  1679.500,    -0.797083,    -0.666530,     0.000620,
  1679.550,    -0.778558,    -0.662907,    -0.003046,
  1679.600,    -0.754548,    -0.637848,    -0.001329,
  1679.650,    -0.746585,    -0.602453,     0.002400,
  1679.700,    -0.721780,    -0.583441,     0.003946,
  1679.750,    -0.704069,    -0.556647,     0.001819,
  1679.800,    -0.682730,    -0.531592,    -0.001537,
  1679.850,    -0.656968,    -0.499907,    -0.004760,
  1679.900,    -0.637274,    -0.466549,     0.003121,
  1679.950,    -0.618736,    -0.442312,     0.004820,
  1680.000,    -0.582508,    -0.413358,     0.005561,
  1680.050,    -0.554315,    -0.403953,     0.001752,
  1680.100,    -0.528187,    -0.361959,    -0.005992,
  1680.150,    -0.503700,    -0.324623,     0.001277,
  1680.200,    -0.476784,    -0.305832,     0.004478,
  1680.250,    -0.446152,    -0.272296,    -0.005886,
  1680.300,    -0.409920,    -0.243824,     0.005351,
  1680.350,    -0.383871,    -0.213085,     0.004928,
  1680.400,    -0.352485,    -0.195746,    -0.000699,
  1680.450,    -0.331343,    -0.166219,     0.004710,
  1680.500,    -0.314699,    -0.145774,    -0.002420,
  1680.550,    -0.275516,    -0.125341,     0.004148,
  1680.600,    -0.241814,    -0.113330,    -0.002662,
  1680.650,    -0.219638,    -0.097581,    -0.009190,
  1680.700,    -0.199830,    -0.064591,     0.001894,
  1680.750,    -0.180676,    -0.053882,     0.002752,
  1680.800,    -0.158597,    -0.041960,     0.001067,
  1680.850,    -0.130699,    -0.028239,     0.005297,
  1680.900,    -0.113187,    -0.017119,     0.012393,
  1680.950,    -0.095938,    -0.004652,     0.004205,
  1681.000,    -0.081312,     0.012380,     0.001304,
  1681.050,    -0.068242,     0.026516,     0.003572,
  1681.100,    -0.048750,     0.035030,     0.000433,
  1681.150,    -0.036254,     0.056030,     0.005158,
  1681.200,    -0.030122,     0.076874,     0.001263,
  1681.250,    -0.018231,     0.097235,    -0.002322,
  1681.300,     0.001161,     0.119323,     0.000977,
  1681.350,     0.018241,     0.162519,     0.002268,
  1681.400,     0.044667,     0.193021,    -0.001136,
  1681.450,     0.057418,     0.215883,     0.004440,
  1681.500,     0.080743,     0.248667,     0.005130,
  1681.550,     0.105140,     0.259854,    -0.003243,
  1681.600,     0.130766,     0.263532,    -0.002486,
  1681.650,     0.167834,     0.236926,     0.001827,
  1681.700,     0.184057,     0.172136,     0.006349,
  1681.750,     0.194990,     0.071352,     0.001129,
  1681.800,     0.176514,    -0.065310,     0.005431,
  1681.850,     0.139991,    -0.217808,    -0.000401,
  1681.900,     0.071474,    -0.367715,    -0.004661,
  1681.950,    -0.018799,    -0.516383,     0.002962,
  1682.000,    -0.139702,    -0.646495,     0.012618,
  1682.050,    -0.284904,    -0.736418,     0.000064,
  1682.100,    -0.427421,    -0.779519,    -0.001082,
  1682.150,    -0.558665,    -0.798694,     0.010584,
  1682.200,    -0.679954,    -0.808875,    -0.005573,
  1682.250,    -0.756709,    -0.779101,    -0.013399,
  1682.300,    -0.798226,    -0.740373,    -0.000423,
  1682.350,    -0.826953,    -0.690926,     0.004199,
  1682.400,    -0.819957,    -0.640551,    -0.002659,
  1682.450,    -0.797295,    -0.612138,     0.001409,
  1682.500,    -0.763115,    -0.558476,    -0.000869,
  1682.550,    -0.713914,    -0.503502,    -0.006497,
  1682.600,    -0.664193,    -0.468729,     0.000632,
  1682.650,    -0.612351,    -0.421133,     0.007450,
  1682.700,    -0.558775,    -0.390785,     0.011442,
  1682.750,    -0.516419,    -0.356280,    -0.002347,
  1682.800,    -0.461336,    -0.329854,    -0.006007,
  1682.850,    -0.427196,    -0.298792,    -0.001301,
  1682.900,    -0.403275,    -0.271686,     0.002283,
  1682.950,    -0.369107,    -0.229765,     0.001874,
  1683.000,    -0.332923,    -0.195489,     0.005848,
  1683.050,    -0.307783,    -0.158621,    -0.000079,
  1683.100,    -0.271822,    -0.133971,    -0.001991,
