Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1675.000,    -0.000912,     0.016787,     0.000457,
  1675.050,     0.010951,     0.004961,     0.000385,
  1675.100,     0.003857,    -0.009426,     0.004073,
  1675.150,    -0.007926,    -0.002604,    -0.008650,
  1675.200,    -0.005971,    -0.009718,     0.003735,
  1675.250,    -0.010381,    -0.025948,     0.001678,
  1675.300,    -0.023500,    -0.033235,    -0.002200,
  1675.350,    -0.037931,    -0.038492,     0.002728,
  1675.400,    -0.049132,    -0.058622,    -0.005808,
  1675.450,    -0.066644,    -0.058330,    -0.002618,
  1675.500,    -0.081570,    -0.076784,     0.000625,
  1675.550,    -0.098058,    -0.082608,     0.000156,
  1675.600,    -0.101520,    -0.091242,    -0.000862,
  1675.650,    -0.122627,    -0.114861,    -0.001011,
  1675.700,    -0.136713,    -0.103753,     0.005466,
  1675.750,    -0.152500,    -0.119981,     0.004839,
  1675.800,    -0.164860,    -0.132587,     0.004651,
  1675.850,    -0.186562,    -0.127041,     0.005074,
  1675.900,    -0.197622,    -0.152487,    -0.006395,
  1675.950,    -0.200486,    -0.147400,     0.006603,
  1676.000,    -0.205482,    -0.153431,    -0.004526,
  1676.050,    -0.214934,    -0.159536,     0.008733,
  1676.100,    -0.218750,    -0.165928,    -0.002799,
  1676.150,    -0.224320,    -0.170917,     0.001464,
  1676.200,    -0.225395,    -0.162149,    -0.001747,
  1676.250,    -0.218443,    -0.152446,     0.003698,
  1676.300,    -0.221780,    -0.153425,     0.003215,
  1676.350,    -0.215564,    -0.171878,    -0.002291,
  1676.400,    -0.209365,    -0.146621,     0.005244,
  1676.450,    -0.212408,    -0.156611,     0.006277,
  1676.500,    -0.196053,    -0.135458,    -0.003020,
  1676.550,    -0.201675,    -0.137506,    -0.003562,
  1676.600,    -0.183807,    -0.125159,    -0.002033,
  1676.650,    -0.168507,    -0.125048,    -0.002859,
  1676.700,    -0.164708,    -0.112484,     0.008178,
  1676.750,    -0.143484,    -0.094392,     0.004818,
  1676.800,    -0.139819,    -0.090637,     0.004626,
  1676.850,    -0.124119,    -0.074882,     0.000519,
  1676.900,    -0.115458,    -0.074028,     0.000740,
  1676.950,    -0.094531,    -0.064687,    -0.001379,
  1677.000,    -0.089410,    -0.058548,     0.001044,
  1677.050,    -0.087951,    -0.047251,     0.001588,
  1677.100,    -0.077793,    -0.037246,    -0.003948,
  1677.150,    -0.062720,    -0.030599,    -0.005812,
  1677.200,    -0.055702,    -0.024847,    -0.001181,
  1677.250,    -0.042334,    -0.018407,     0.004323,
  1677.300,    -0.033885,    -0.021989,     0.007579,
  1677.350,    -0.042733,    -0.022457,     0.002847,
  1677.400,    -0.051149,    -0.026248,    -0.003413,
  1677.450,    -0.045307,    -0.022810,     0.005301,
  1677.500,    -0.048954,    -0.030463,     0.005179,
  1677.550,    -0.051608,    -0.031234,     0.003657,
  1677.600,    -0.065623,    -0.043390,    -0.008019,
  1677.650,    -0.075805,    -0.063106,     0.007101,
  1677.700,    -0.072702,    -0.058317,    -0.000192,
  1677.750,    -0.082864,    -0.081251,     0.000106,
  1677.800,    -0.086333,    -0.099606,    -0.003003,
  1677.850,    -0.107491,    -0.119247,     0.002942,
  1677.900,    -0.129911,    -0.140677,    -0.002914,
  1677.950,    -0.148380,    -0.160069,     0.007040,
  1678.000,    -0.173522,    -0.176650,    -0.001738,
  1678.050,    -0.190954,    -0.219853,    -0.001326,
  1678.100,    -0.222119,    -0.250545,     0.004338,
  1678.150,    -0.244130,    -0.271479,     0.000395,
  1678.200,    -0.269291,    -0.294537,     0.001537,
  1678.250,    -0.309725,    -0.324194,     0.005426,
  1678.300,    -0.332920,    -0.367155,     0.009953,
  1678.350,    -0.360827,    -0.399178,     0.001757,
  1678.400,    -0.399618,    -0.421617,    -0.000345,
  1678.450,    -0.427831,    -0.450071,     0.006544,
  1678.500,    -0.458286,    -0.485247,     0.008661,
  1678.550,    -0.488540,    -0.522623,    -0.000639,
  1678.600,    -0.523959,    -0.549635,    -0.000113,
  1678.650,    -0.552095,    -0.579233,     0.009516,
  1678.700,    -0.577061,    -0.612285,    -0.003628,
  1678.750,    -0.608797,    -0.644057,    -0.001299,
  1678.800,    -0.637771,    -0.657662,     0.001835,
  1678.850,    -0.667521,    -0.688733,     0.005207,
