Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1675.000,     0.003900,     0.016787,     0.002034,
  1675.050,     0.004827,     0.004961,     0.004360,
  1675.100,    -0.002449,    -0.009426,    -0.003989,
  1675.150,    -0.000381,    -0.002604,    -0.003096,
  1675.200,    -0.005896,    -0.009718,     0.000691,
  1675.250,     0.000625,    -0.025948,     0.002773,
  1675.300,    -0.004647,    -0.033235,     0.003456,
  1675.350,     0.001195,    -0.038492,     0.001986,
  1675.400,     0.003758,    -0.058622,    -0.003453,
  1675.450,     0.003764,    -0.058330,     0.006217,
  1675.500,     0.011775,    -0.076784,     0.003427,
  1675.550,     0.009468,    -0.082608,    -0.001843,
  1675.600,     0.022869,    -0.091242,     0.005208,
  1675.650,     0.026843,    -0.114861,     0.001469,
  1675.700,     0.031673,    -0.103753,     0.007640,
  1675.750,     0.031932,    -0.119981,    -0.003876,
  1675.800,     0.035867,    -0.132587,     0.003944,
  1675.850,     0.039259,    -0.127041,     0.000355,
  1675.900,     0.055161,    -0.152487,     0.002570,
  1675.950,     0.046990,    -0.147400,     0.006157,
  1676.000,     0.047656,    -0.153431,    -0.004232,
  1676.050,     0.038784,    -0.159536,     0.003262,
  1676.100,     0.044480,    -0.165928,    -0.002554,
  1676.150,     0.047140,    -0.170917,    -0.003919,
  1676.200,     0.042980,    -0.162149,    -0.000879,
  1676.250,     0.034547,    -0.152446,    -0.002816,
  1676.300,     0.030330,    -0.153425,     0.003587,
  1676.350,     0.025854,    -0.171878,    -0.004902,
  1676.400,     0.018381,    -0.146621,     0.002043,
  1676.450,     0.012309,    -0.156611,     0.004126,
  1676.500,    -0.010225,    -0.135458,    -0.001080,
  1676.550,    -0.004121,    -0.137506,     0.001235,
  1676.600,    -0.021110,    -0.125159,     0.003625,
  1676.650,    -0.036134,    -0.125048,    -0.001608,
  1676.700,    -0.048521,    -0.112484,    -0.002547,
  1676.750,    -0.056529,    -0.094392,    -0.005563,
  1676.800,    -0.069658,    -0.090637,    -0.003341,
  1676.850,    -0.080494,    -0.074882,    -0.011976,
  1676.900,    -0.088726,    -0.074028,     0.002250,
  1676.950,    -0.103399,    -0.064687,     0.002424,
  1677.000,    -0.106017,    -0.058548,    -0.000519,
  1677.050,    -0.121523,    -0.047251,     0.002019,
  1677.100,    -0.119315,    -0.037246,     0.001317,
  1677.150,    -0.121961,    -0.030599,     0.006843,
  1677.200,    -0.125698,    -0.024847,     0.003617,
  1677.250,    -0.116269,    -0.018407,    -0.003609,
  1677.300,    -0.122951,    -0.021989,    -0.005315,
  1677.350,    -0.111353,    -0.022457,    -0.005534,
  1677.400,    -0.117060,    -0.026248,     0.002040,
  1677.450,    -0.108069,    -0.022810,    -0.005615,
  1677.500,    -0.110051,    -0.030463,     0.001422,
  1677.550,    -0.101815,    -0.031234,    -0.003019,
  1677.600,    -0.088855,    -0.043390,     0.003390,
  1677.650,    -0.082975,    -0.063106,    -0.008003,
  1677.700,    -0.071616,    -0.058317,     0.001378,
  1677.750,    -0.062163,    -0.081251,     0.005579,
  1677.800,    -0.044922,    -0.099606,    -0.002661,
  1677.850,    -0.035260,    -0.119247,     0.003357,
  1677.900,    -0.026071,    -0.140677,     0.004907,
  1677.950,    -0.011299,    -0.160069,    -0.000365,
  1678.000,    -0.002268,    -0.176650,    -0.005536,
  1678.050,     0.010242,    -0.219853,     0.005637,
  1678.100,     0.015888,    -0.250545,     0.007699,
  1678.150,     0.035861,    -0.271479,     0.002046,
  1678.200,     0.044370,    -0.294537,    -0.001685,
  1678.250,     0.042922,    -0.324194,     0.002065,
  1678.300,     0.049018,    -0.367155,     0.002106,
  1678.350,     0.059234,    -0.399178,     0.004929,
  1678.400,     0.061630,    -0.421617,    -0.005014,
  1678.450,     0.058981,    -0.450071,     0.002970,
  1678.500,     0.061123,    -0.485247,    -0.005142,
  1678.550,     0.056905,    -0.522623,    -0.002976,
  1678.600,     0.054543,    -0.549635,    -0.000949,
  1678.650,     0.032825,    -0.579233,    -0.006256,
  1678.700,     0.029740,    -0.612285,    -0.004655,
  1678.750,     0.015493,    -0.644057,    -0.001475,
  1678.800,     0.014174,    -0.657662,     0.003187,
  1678.850,    -0.011061,    -0.688733,    -0.002472,
  1678.900,    -0.026248,    -0.705808,     0.006026,
  1678.950,    -0.041477,    -0.724929,     0.003734,
  1679.000,    -0.071802,    -0.742863,     0.003880,
  1679.050,    -0.100912,    -0.746635,     0.003482,
  1679.100,    -0.124299,    -0.756445,     0.000967,
  1679.150,    -0.158159,    -0.761838,    -0.006068,
  1679.200,    -0.186021,    -0.756610,     0.000706,
  1679.250,    -0.217767,    -0.747328,    -0.003259,
  1679.300,    -0.245739,    -0.743468,    -0.000151,
