Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  8.805024E-3,    -0.00000,  1.584773E-2,    -0.00000, 6.660162E-13,    -1.49552,          NaN,         NaN
     5.0,  9.857471E-3,    -0.13492,  1.108396E-2,    -0.40000, 9.051003E-12,    -1.11969,          NaN,         NaN
    10.0,  1.443442E-2,    -0.43752,  2.185934E-2,    -0.64080, 1.102353E-11,    -0.79073,          NaN,         NaN
    15.0,  1.430990E-2,    -0.52758,  2.113641E-2,    -0.79690, 9.856470E-12,    -0.27954,          NaN,         NaN
    20.0,  1.966470E-2,    -1.03929,  3.000394E-2,    -1.25525, 1.472690E-11,    -0.56234,          NaN,         NaN
    25.0,  5.841869E-2,    -0.39730,  8.025718E-2,    -0.61065, 1.311058E-11,     0.23606,          NaN,         NaN
    30.0,  7.952150E-3,     0.64543,  6.728727E-3,     0.46730, 1.131645E-11,    -0.67967,          NaN,         NaN
    35.0,  5.464712E-2,    -0.81341,  7.401447E-2,    -1.11294, 9.244244E-12,    -0.24210,          NaN,         NaN
    40.0,  8.865547E-2,    -1.24341,  1.197222E-1,    -1.56656, 9.030461E-12,    -1.70873,          NaN,         NaN
    45.0,  1.333872E-1,    -1.19728,  1.789568E-1,    -1.53595, 1.161191E-11,    -0.05019,          NaN,         NaN
    50.0,  1.592196E-1,    -0.19796,  2.090635E-1,    -0.54821, 1.136304E-11,    -0.29127,          NaN,         NaN
    55.0,  3.418951E-1,     1.92757,  4.675075E-1,     1.57406, 1.433432E-11,    -0.36521,          NaN,         NaN
    60.0,  7.108533E-2,     2.87103,  1.055152E-1,     2.45641, 1.626382E-11,    -1.70139,          NaN,         NaN
    65.0,  1.329671E-1,     3.11477,  1.894500E-1,     2.65335, 1.026689E-11,    -0.22915,          NaN,         NaN
    70.0,  4.123612E-1,     3.07006,  5.669248E-1,     2.58680, 2.580758E-11,    -0.53196,          NaN,         NaN
    75.0,  4.040980E-1,     3.69822,  5.516405E-1,     3.17350, 2.340776E-11,    -0.13946,          NaN,         NaN
    80.0,  5.178555E-1,     5.00775,  6.958942E-1,     4.45545, 1.480991E-11,     1.12699,          NaN,         NaN
    85.0,  5.623163E-2,     3.71067,  7.501611E-2,     3.01383, 8.011381E-12,     2.64869,          NaN,         NaN
    90.0,  1.893452E-1,     6.29656,  2.540851E-1,     5.71375, 1.335170E-11,     1.25738,          NaN,         NaN
    95.0,  3.586638E-1,     6.42094,  4.867746E-1,     5.78704, 1.470948E-11,     1.79848,          NaN,         NaN
   100.0,  4.415023E-1,     6.70243,  6.036765E-1,     6.02770, 1.892236E-11,     1.76165,          NaN,         NaN
   105.0,  4.681809E-1,     7.53093,  6.432006E-1,     6.81001, 1.612301E-11,     2.37617,          NaN,         NaN
   110.0,  5.322147E-1,     7.87406,  7.288682E-1,     7.11448, 2.192786E-11,     3.12387,          NaN,         NaN
   115.0,  7.117988E-1,     8.01662,  9.695052E-1,     7.22209, 3.100596E-11,     3.57394,          NaN,         NaN
   120.0,  4.688540E-1,     9.00109,  6.301240E-1,     8.16566, 9.932109E-12,     5.11434,          NaN,         NaN
   125.0,  5.525463E-1,     9.99832,  7.447085E-1,     9.14053, 1.582802E-11,     4.81627,          NaN,         NaN
   130.0,  6.424687E-1,    10.44343,  8.688656E-1,     9.55882, 2.566087E-11,     5.39501,          NaN,         NaN
   135.0,  5.879987E-1,    10.81306,  7.986146E-1,     9.89559, 2.589725E-11,     5.86006,          NaN,         NaN
   140.0,  7.291281E-1,    11.31273,  9.958412E-1,    10.35757, 2.936234E-11,     6.47874,          NaN,         NaN
   145.0,  7.496395E-1,    11.80762,  1.022986E+0,    10.81212, 2.592834E-11,     6.60629,          NaN,         NaN
   150.0,  6.351542E-1,    12.42082,  8.645144E-1,    11.38453, 1.579117E-11,     6.84687,          NaN,         NaN
   155.0,  7.734613E-1,    12.89680,  1.049498E+0,    11.82651, 2.576866E-11,     7.89911,          NaN,         NaN
   160.0,  6.554077E-1,    13.43235,  8.851715E-1,    12.32809, 1.570662E-11,     8.27722,          NaN,         NaN
   165.0,  7.349812E-1,    14.16742,  9.892083E-1,    13.03649, 1.578655E-11,     8.82568,          NaN,         NaN
   170.0,  9.044958E-1,    14.62352,  1.222497E+0,    13.46229, 2.902328E-11,     9.02343,          NaN,         NaN
   175.0,  8.684924E-1,    15.21750,  1.178600E+0,    14.02325, 2.089942E-11,     9.59328,          NaN,         NaN
   180.0,  7.799476E-1,    15.97636,  1.063955E+0,    14.74446, 2.361279E-11,    10.37913,          NaN,         NaN
   185.0,  8.534594E-1,    16.36786,  1.164275E+0,    15.09579, 2.682210E-11,    10.90404,          NaN,         NaN
   190.0,  7.680868E-1,    16.58204,  1.052138E+0,    15.27093, 3.324975E-11,    11.57380,          NaN,         NaN
   195.0,  7.852908E-1,    17.20354,  1.069663E+0,    15.85869, 2.253935E-11,    11.83214,          NaN,         NaN
   200.0,  8.929679E-1,    17.78536,  1.205962E+0,    16.40723, 2.513862E-11,    12.85127,          NaN,         NaN
   204.9,  6.996124E-1,    18.53252,  9.360911E-1,    17.12249, 1.889726E-11,    13.40619,          NaN,         NaN
   209.9,  7.429131E-1,    18.82216,  1.000993E+0,    17.38163, 1.394297E-11,    13.46994,          NaN,         NaN
   214.9,  7.481418E-1,    19.26579,  1.014806E+0,    17.79570, 2.940214E-11,    13.93278,          NaN,         NaN
   219.9,  1.108539E+0,    19.89761,  1.514856E+0,    18.39393, 2.970244E-11,    14.67966,          NaN,         NaN
   224.9,  1.164243E+0,    20.38970,  1.594412E+0,    18.84356, 3.752988E-11,    14.98602,          NaN,         NaN
   229.9,  9.915071E-1,    21.05004,  1.351186E+0,    19.46546, 3.307415E-11,    15.82793,          NaN,         NaN
   234.9,  8.792653E-1,    21.39030,  1.197904E+0,    19.76382, 3.123986E-11,    15.97764,          NaN,         NaN
   239.9,  8.749858E-1,    21.96889,  1.187996E+0,    20.30830, 2.978990E-11,    16.35827,          NaN,         NaN
   244.9,  1.043607E+0,    22.60968,  1.412289E+0,    20.92473, 3.193136E-11,    17.39728,          NaN,         NaN
   249.9,  1.071772E+0,    23.24191,  1.450079E+0,    21.52382, 3.931564E-11,    17.79443,          NaN,         NaN
   254.9,  9.834927E-1,    23.68890,  1.334727E+0,    21.93887, 2.891538E-11,    18.26404,          NaN,         NaN
   259.9,  8.815728E-1,    24.23471,  1.200434E+0,    22.44819, 2.469894E-11,    18.90150,          NaN,         NaN
   264.9,  1.138049E+0,    24.55230,  1.558367E+0,    22.72744, 2.989980E-11,    19.37029,          NaN,         NaN
   269.9,  1.007033E+0,    25.06505,  1.379622E+0,    23.20242, 2.435404E-11,    19.70334,          NaN,         NaN
   274.9,  1.093877E+0,    25.81735,  1.489143E+0,    23.91892, 3.473026E-11,    20.57429,          NaN,         NaN
   279.9,  1.016327E+0,    26.18957,  1.383473E+0,    24.25339, 2.866873E-11,    20.61816,          NaN,         NaN
   284.9,  9.253060E-1,    26.91964,  1.257774E+0,    24.94905, 2.558800E-11,    21.68437,          NaN,         NaN
   289.9,  1.092990E+0,    27.32726,  1.489142E+0,    25.32490, 3.433147E-11,    22.27265,          NaN,         NaN
   294.9,  1.064700E+0,    27.91236,  1.451751E+0,    25.87764, 3.175152E-11,    22.78883,          NaN,         NaN
   299.9,  1.036905E+0,    28.39049,  1.416162E+0,    26.32057, 2.422527E-11,    23.03986,          NaN,         NaN
   304.9,  9.287479E-1,    28.92207,  1.270419E+0,    26.81669, 2.864763E-11,    23.70058,          NaN,         NaN
   309.9,  9.405333E-1,    29.39872,  1.288472E+0,    27.25738, 2.226939E-11,    24.51054,          NaN,         NaN
   314.9,  8.169887E-1,    29.94496,  1.119325E+0,    27.76436, 3.232846E-11,    24.41842,          NaN,         NaN
   319.9,  9.841088E-1,    30.42272,  1.345589E+0,    28.20946, 2.465696E-11,    25.18401,          NaN,         NaN
   324.9,  9.426295E-1,    30.85105,  1.292037E+0,    28.60318, 2.805072E-11,    25.45451,          NaN,         NaN
   329.9,  9.247503E-1,    31.50239,  1.266276E+0,    29.21928, 3.481732E-11,    25.96366,          NaN,         NaN
   334.9,  9.691456E-1,    31.95109,  1.331549E+0,    29.63545, 2.362758E-11,    26.93425,          NaN,         NaN
   339.9,  9.680904E-1,    32.44211,  1.335192E+0,    30.09090, 4.241026E-11,    27.23142,          NaN,         NaN
   344.9,  9.203503E-1,    32.91249,  1.266312E+0,    30.52322, 2.670921E-11,    28.10113,          NaN,         NaN
   349.9,  9.692777E-1,    33.56895,  1.330600E+0,    31.14073, 2.360631E-11,    28.35931,          NaN,         NaN
   354.9,  9.834041E-1,    33.98815,  1.355294E+0,    31.52666, 2.767674E-11,    28.51309,          NaN,         NaN
   359.9,  9.085588E-1,    34.54560,  1.253464E+0,    32.04944, 2.830455E-11,    29.41687,          NaN,         NaN
   364.9,  9.519568E-1,    35.05439,  1.316049E+0,    32.52967, 2.598835E-11,    29.62925,          NaN,         NaN
   369.9,  8.892498E-1,    35.53997,  1.232775E+0,    32.97805, 3.919223E-11,    30.14290,          NaN,         NaN
   374.9,  9.074402E-1,    36.13641,  1.254792E+0,    33.53876, 3.241434E-11,    30.90041,          NaN,         NaN
   379.9,  9.290887E-1,    36.52273,  1.287125E+0,    33.89155, 3.095980E-11,    31.42204,          NaN,         NaN
   384.9,  9.071972E-1,    37.05206,  1.256963E+0,    34.38359, 3.131924E-11,    31.76772,          NaN,         NaN
   389.9,  9.553970E-1,    37.65024,  1.323088E+0,    34.94598, 2.852220E-11,    32.79416,          NaN,         NaN
   394.9,  9.371774E-1,    38.12074,  1.304893E+0,    35.37999, 2.715603E-11,    33.00955,          NaN,         NaN
   399.9,  8.755549E-1,    38.60254,  1.217865E+0,    35.82353, 2.364368E-11,    33.31070,          NaN,         NaN
   404.9,  9.417985E-1,    39.19378,  1.310408E+0,    36.38165, 3.056372E-11,    33.98664,          NaN,         NaN
   409.9,  9.174712E-1,    39.65655,  1.277668E+0,    36.80929, 2.190089E-11,    34.32586,          NaN,         NaN
