Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1675.000,     0.010189,     0.016787,    -0.005010,
  1675.050,    -0.002298,     0.004961,     0.006174,
  1675.100,    -0.001237,    -0.009426,     0.001142,
  1675.150,    -0.005436,    -0.002604,     0.000040,
  1675.200,    -0.001219,    -0.009718,    -0.002346,
  1675.250,    -0.008559,    -0.025948,    -0.003274,
  1675.300,    -0.010529,    -0.033235,    -0.005356,
  1675.350,    -0.012745,    -0.038492,    -0.003857,
  1675.400,    -0.001870,    -0.058622,    -0.001228,
  1675.450,    -0.000080,    -0.058330,    -0.002100,
  1675.500,     0.001706,    -0.076784,    -0.007818,
  1675.550,     0.001699,    -0.082608,    -0.003669,
  1675.600,     0.006728,    -0.091242,    -0.000463,
  1675.650,     0.016588,    -0.114861,    -0.006343,
  1675.700,     0.011179,    -0.103753,    -0.000819,
  1675.750,     0.022331,    -0.119981,     0.000476,
  1675.800,     0.029245,    -0.132587,    -0.005180,
  1675.850,     0.015786,    -0.127041,    -0.007091,
  1675.900,     0.028789,    -0.152487,     0.006303,
  1675.950,     0.023347,    -0.147400,    -0.012723,
  1676.000,     0.025576,    -0.153431,    -0.006118,
  1676.050,     0.022885,    -0.159536,    -0.002753,
  1676.100,     0.027367,    -0.165928,     0.001279,
  1676.150,     0.021881,    -0.170917,    -0.007602,
  1676.200,     0.008532,    -0.162149,    -0.003175,
  1676.250,     0.007798,    -0.152446,    -0.004870,
  1676.300,     0.006579,    -0.153425,    -0.002070,
  1676.350,    -0.002518,    -0.171878,    -0.000901,
  1676.400,    -0.017993,    -0.146621,    -0.011203,
  1676.450,    -0.025013,    -0.156611,    -0.004358,
  1676.500,    -0.041121,    -0.135458,    -0.002947,
  1676.550,    -0.053383,    -0.137506,    -0.001749,
  1676.600,    -0.061354,    -0.125159,     0.003014,
  1676.650,    -0.069374,    -0.125048,    -0.014447,
  1676.700,    -0.068785,    -0.112484,    -0.005492,
  1676.750,    -0.078851,    -0.094392,    -0.003887,
  1676.800,    -0.089009,    -0.090637,     0.006371,
  1676.850,    -0.107500,    -0.074882,    -0.003787,
  1676.900,    -0.111002,    -0.074028,     0.001485,
  1676.950,    -0.119358,    -0.064687,    -0.004261,
  1677.000,    -0.142586,    -0.058548,    -0.008107,
  1677.050,    -0.131482,    -0.047251,     0.000743,
  1677.100,    -0.137031,    -0.037246,    -0.000242,
  1677.150,    -0.140102,    -0.030599,    -0.001151,
  1677.200,    -0.135021,    -0.024847,     0.006441,
  1677.250,    -0.152157,    -0.018407,     0.003266,
  1677.300,    -0.142162,    -0.021989,    -0.009503,
  1677.350,    -0.144681,    -0.022457,    -0.002809,
  1677.400,    -0.138052,    -0.026248,     0.010734,
  1677.450,    -0.141022,    -0.022810,    -0.005344,
  1677.500,    -0.134695,    -0.030463,    -0.004204,
  1677.550,    -0.136985,    -0.031234,    -0.002829,
  1677.600,    -0.132424,    -0.043390,    -0.004583,
  1677.650,    -0.125447,    -0.063106,    -0.005040,
  1677.700,    -0.116086,    -0.058317,     0.004792,
  1677.750,    -0.104234,    -0.081251,    -0.005760,
  1677.800,    -0.105569,    -0.099606,    -0.001887,
  1677.850,    -0.092497,    -0.119247,     0.000885,
  1677.900,    -0.085720,    -0.140677,    -0.002175,
  1677.950,    -0.071479,    -0.160069,    -0.004522,
  1678.000,    -0.073002,    -0.176650,     0.002229,
  1678.050,    -0.056741,    -0.219853,    -0.000555,
  1678.100,    -0.043769,    -0.250545,    -0.010343,
  1678.150,    -0.039187,    -0.271479,     0.003984,
  1678.200,    -0.035037,    -0.294537,     0.005106,
  1678.250,    -0.037572,    -0.324194,    -0.007284,
  1678.300,    -0.023396,    -0.367155,     0.000822,
  1678.350,    -0.010693,    -0.399178,    -0.006810,
