Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1675.000,    -0.010306,     0.016787,    -0.005175,
  1675.050,    -0.003530,     0.004961,     0.006334,
  1675.100,     0.001174,    -0.009426,    -0.004184,
  1675.150,     0.006473,    -0.002604,     0.002334,
  1675.200,     0.006190,    -0.009718,     0.000691,
  1675.250,     0.011553,    -0.025948,     0.006134,
  1675.300,     0.016185,    -0.033235,    -0.000813,
  1675.350,     0.004415,    -0.038492,     0.006803,
  1675.400,     0.009127,    -0.058622,    -0.002065,
  1675.450,     0.002871,    -0.058330,     0.005650,
  1675.500,     0.007702,    -0.076784,     0.001427,
  1675.550,    -0.012620,    -0.082608,     0.002795,
  1675.600,    -0.020786,    -0.091242,     0.004992,
  1675.650,    -0.028336,    -0.114861,    -0.001330,
  1675.700,    -0.045710,    -0.103753,    -0.003263,
  1675.750,    -0.053928,    -0.119981,     0.001456,
  1675.800,    -0.060343,    -0.132587,    -0.003172,
  1675.850,    -0.070215,    -0.127041,    -0.002203,
  1675.900,    -0.086992,    -0.152487,     0.009816,
  1675.950,    -0.094949,    -0.147400,     0.004395,
  1676.000,    -0.099208,    -0.153431,     0.007208,
  1676.050,    -0.107394,    -0.159536,    -0.001282,
  1676.100,    -0.110375,    -0.165928,    -0.004571,
  1676.150,    -0.122410,    -0.170917,     0.003534,
  1676.200,    -0.134175,    -0.162149,     0.004723,
  1676.250,    -0.130828,    -0.152446,    -0.000314,
  1676.300,    -0.129147,    -0.153425,    -0.000472,
  1676.350,    -0.149176,    -0.171878,    -0.002041,
  1676.400,    -0.143817,    -0.146621,    -0.007149,
  1676.450,    -0.156363,    -0.156611,     0.005185,
  1676.500,    -0.159766,    -0.135458,     0.002166,
  1676.550,    -0.148914,    -0.137506,     0.004970,
  1676.600,    -0.152833,    -0.125159,     0.000249,
  1676.650,    -0.154303,    -0.125048,    -0.000198,
  1676.700,    -0.145687,    -0.112484,     0.001954,
  1676.750,    -0.135406,    -0.094392,    -0.000528,
  1676.800,    -0.142238,    -0.090637,     0.006344,
  1676.850,    -0.121422,    -0.074882,    -0.002205,
  1676.900,    -0.122646,    -0.074028,     0.004313,
  1676.950,    -0.114680,    -0.064687,     0.004627,
  1677.000,    -0.106930,    -0.058548,    -0.002765,
  1677.050,    -0.104082,    -0.047251,     0.001383,
  1677.100,    -0.078392,    -0.037246,     0.008907,
  1677.150,    -0.089385,    -0.030599,     0.002464,
  1677.200,    -0.070951,    -0.024847,     0.000524,
  1677.250,    -0.062740,    -0.018407,     0.003061,
  1677.300,    -0.063435,    -0.021989,     0.006049,
  1677.350,    -0.047392,    -0.022457,    -0.004176,
  1677.400,    -0.026432,    -0.026248,    -0.001424,
  1677.450,    -0.027573,    -0.022810,     0.005550,
  1677.500,    -0.013244,    -0.030463,     0.001431,
  1677.550,    -0.000936,    -0.031234,    -0.002612,
  1677.600,     0.004863,    -0.043390,     0.015256,
  1677.650,     0.007283,    -0.063106,     0.001023,
  1677.700,     0.006428,    -0.058317,     0.002994,
  1677.750,     0.004978,    -0.081251,    -0.004421,
  1677.800,     0.022410,    -0.099606,     0.005676,
  1677.850,     0.018158,    -0.119247,     0.000564,
  1677.900,     0.006742,    -0.140677,     0.005398,
  1677.950,    -0.001340,    -0.160069,     0.010375,
  1678.000,    -0.007205,    -0.176650,    -0.008153,
  1678.050,    -0.021957,    -0.219853,     0.007295,
  1678.100,    -0.033446,    -0.250545,     0.004002,
  1678.150,    -0.043547,    -0.271479,    -0.007095,
  1678.200,    -0.059592,    -0.294537,    -0.000025,
  1678.250,    -0.085366,    -0.324194,    -0.000239,
  1678.300,    -0.110293,    -0.367155,    -0.002725,
  1678.350,    -0.138560,    -0.399178,     0.002760,
  1678.400,    -0.159149,    -0.421617,    -0.002485,
  1678.450,    -0.193607,    -0.450071,    -0.010783,
  1678.500,    -0.229948,    -0.485247,    -0.001878,
  1678.550,    -0.260398,    -0.522623,     0.007409,
  1678.600,    -0.285621,    -0.549635,     0.006918,
  1678.650,    -0.337008,    -0.579233,     0.004948,
  1678.700,    -0.361905,    -0.612285,     0.002783,
  1678.750,    -0.397545,    -0.644057,     0.002279,
  1678.800,    -0.430933,    -0.657662,     0.003495,
  1678.850,    -0.455234,    -0.688733,    -0.006048,
  1678.900,    -0.494831,    -0.705808,    -0.000482,
  1678.950,    -0.534581,    -0.724929,     0.005873,
  1679.000,    -0.567781,    -0.742863,     0.006036,
  1679.050,    -0.593403,    -0.746635,     0.011987,
  1679.100,    -0.624164,    -0.756445,     0.002385,
  1679.150,    -0.646906,    -0.761838,    -0.001595,
  1679.200,    -0.670091,    -0.756610,     0.000366,
  1679.250,    -0.689532,    -0.747328,     0.001659,
  1679.300,    -0.723154,    -0.743468,     0.000358,
  1679.350,    -0.735353,    -0.727067,    -0.002440,
  1679.400,    -0.735733,    -0.710876,     0.000425,
  1679.450,    -0.750995,    -0.699488,     0.000628,
  1679.500,    -0.746954,    -0.666530,    -0.000342,
  1679.550,    -0.757732,    -0.662907,     0.001084,
  1679.600,    -0.757647,    -0.637848,     0.001167,
  1679.650,    -0.749682,    -0.602453,     0.001024,
  1679.700,    -0.739667,    -0.583441,     0.001640,
  1679.750,    -0.721616,    -0.556647,     0.003477,
  1679.800,    -0.700279,    -0.531592,     0.007207,
  1679.850,    -0.679258,    -0.499907,     0.007699,
  1679.900,    -0.664994,    -0.466549,    -0.006902,
  1679.950,    -0.654516,    -0.442312,     0.001313,
  1680.000,    -0.617895,    -0.413358,    -0.003397,
  1680.050,    -0.594168,    -0.403953,    -0.002480,
  1680.100,    -0.564960,    -0.361959,     0.002064,
  1680.150,    -0.541100,    -0.324623,    -0.005619,
  1680.200,    -0.508419,    -0.305832,     0.004659,
  1680.250,    -0.483425,    -0.272296,     0.009087,
  1680.300,    -0.447576,    -0.243824,     0.001771,
  1680.350,    -0.418662,    -0.213085,     0.000336,
  1680.400,    -0.390975,    -0.195746,     0.006779,
  1680.450,    -0.363323,    -0.166219,     0.005958,
  1680.500,    -0.331800,    -0.145774,     0.002024,
  1680.550,    -0.305783,    -0.125341,     0.002441,
  1680.600,    -0.274071,    -0.113330,     0.003505,
  1680.650,    -0.257828,    -0.097581,    -0.000697,
  1680.700,    -0.225877,    -0.064591,     0.002607,
  1680.750,    -0.206025,    -0.053882,     0.000342,
  1680.800,    -0.185980,    -0.041960,     0.001751,
  1680.850,    -0.152642,    -0.028239,     0.001518,
  1680.900,    -0.137630,    -0.017119,     0.000175,
  1680.950,    -0.112512,    -0.004652,    -0.001647,
  1681.000,    -0.094299,     0.012380,     0.002045,
  1681.050,    -0.082015,     0.026516,    -0.004652,
  1681.100,    -0.059536,     0.035030,    -0.002401,
  1681.150,    -0.054725,     0.056030,     0.001538,
  1681.200,    -0.031281,     0.076874,    -0.003637,
  1681.250,    -0.026615,     0.097235,    -0.000332,
  1681.300,    -0.007339,     0.119323,    -0.003643,
  1681.350,    -0.002666,     0.162519,     0.002434,
  1681.400,     0.012280,     0.193021,     0.002689,
  1681.450,     0.023852,     0.215883,    -0.002404,
  1681.500,     0.033030,     0.248667,     0.004210,
  1681.550,     0.056436,     0.259854,    -0.001603,
  1681.600,     0.078550,     0.263532,    -0.002118,
  1681.650,     0.096672,     0.236926,     0.001778,
  1681.700,     0.135547,     0.172136,     0.004186,
  1681.750,     0.171606,     0.071352,     0.003817,
  1681.800,     0.189984,    -0.065310,    -0.000364,
  1681.850,     0.220425,    -0.217808,    -0.000753,
  1681.900,     0.243197,    -0.367715,     0.002349,
  1681.950,     0.236584,    -0.516383,    -0.000363,
  1682.000,     0.227894,    -0.646495,     0.003078,
  1682.050,     0.179989,    -0.736418,     0.010446,
  1682.100,     0.113168,    -0.779519,     0.006559,
