Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1400.000,    -0.004139,    -0.001522,    -0.000977,
  1400.050,     0.002632,    -0.003722,    -0.006760,
  1400.100,    -0.003746,     0.004173,     0.002997,
  1400.150,     0.004876,     0.001449,     0.001194,
  1400.200,     0.000377,    -0.000378,     0.003546,
  1400.250,     0.005117,    -0.000375,     0.001440,
  1400.300,    -0.000477,     0.004110,    -0.008995,
  1400.350,     0.004624,    -0.001735,     0.003137,
  1400.400,    -0.002125,     0.006842,     0.001681,
  1400.450,    -0.002335,    -0.003597,     0.003258,
  1400.500,     0.001785,    -0.000518,    -0.003893,
  1400.550,    -0.005677,    -0.002500,     0.002838,
  1400.600,     0.004958,    -0.000509,     0.000321,
  1400.650,    -0.007493,     0.003867,    -0.001761,
  1400.700,    -0.004089,     0.008587,    -0.001156,
  1400.750,     0.002525,     0.004061,    -0.004143,
  1400.800,    -0.008222,     0.001336,     0.001632,
  1400.850,    -0.004227,     0.004675,    -0.008065,
  1400.900,    -0.008300,     0.006702,    -0.001102,
  1400.950,    -0.007567,    -0.005540,     0.007018,
  1401.000,    -0.006890,     0.009551,    -0.004999,
  1401.050,    -0.007944,    -0.000984,    -0.002895,
  1401.100,     0.000100,     0.001909,    -0.002035,
  1401.150,    -0.006856,    -0.002565,     0.004233,
  1401.200,    -0.003573,     0.008792,    -0.005741,
  1401.250,     0.002492,     0.010567,     0.008809,
  1401.300,    -0.012611,     0.009114,     0.000007,
  1401.350,     0.002536,     0.007110,     0.000032,
  1401.400,    -0.000284,     0.010883,     0.005499,
  1401.450,     0.016350,     0.020072,    -0.000534,
  1401.500,     0.011310,     0.013063,     0.000705,
  1401.550,     0.011088,     0.010671,    -0.003865,
  1401.600,     0.015644,     0.022248,    -0.001917,
  1401.650,     0.008877,     0.017217,     0.001017,
  1401.700,     0.010842,     0.026608,    -0.004225,
  1401.750,     0.004678,     0.015709,     0.000764,
  1401.800,     0.019282,     0.007414,     0.003306,
  1401.850,     0.013179,     0.021424,     0.006585,
  1401.900,     0.019439,     0.014479,    -0.000847,
  1401.950,     0.017125,     0.015227,    -0.006203,
  1402.000,     0.029233,     0.016985,     0.005313,
  1402.050,     0.020874,     0.013301,    -0.002908,
  1402.100,     0.025045,     0.020263,     0.000866,
  1402.150,     0.019805,     0.009460,    -0.011591,
  1402.200,     0.025484,     0.014489,    -0.006793,
  1402.250,     0.033658,     0.014952,     0.000029,
  1402.300,     0.025952,     0.015531,    -0.003987,
  1402.350,     0.036016,     0.016489,     0.006033,
  1402.400,     0.034651,     0.015876,    -0.005556,
  1402.450,     0.027372,     0.014774,    -0.002366,
  1402.500,     0.033623,     0.013653,    -0.005347,
  1402.550,     0.039225,     0.006681,     0.003704,
  1402.600,     0.048560,     0.016428,    -0.003857,
  1402.650,     0.042817,     0.013087,     0.001175,
  1402.700,     0.053948,     0.013658,     0.003270,
  1402.750,     0.044164,     0.015431,    -0.004599,
  1402.800,     0.049025,     0.015592,    -0.004327,
  1402.850,     0.051382,     0.010205,    -0.000210,
  1402.900,     0.066024,     0.004981,    -0.001776,
  1402.950,     0.061742,     0.012030,    -0.004351,
  1403.000,     0.064010,     0.006389,    -0.000098,
  1403.050,     0.071146,     0.009320,     0.002063,
  1403.100,     0.073557,     0.009774,    -0.001776,
  1403.150,     0.077361,     0.008065,    -0.001998,
  1403.200,     0.074384,     0.001361,     0.001284,
  1403.250,     0.081736,     0.007831,    -0.008706,
  1403.300,     0.082282,     0.005852,     0.001313,
  1403.350,     0.087494,     0.002555,    -0.004501,
  1403.400,     0.085120,     0.002650,     0.007526,
  1403.450,     0.100386,     0.011656,     0.005904,
  1403.500,     0.107315,     0.006043,     0.000187,
  1403.550,     0.093833,     0.015909,     0.006073,
  1403.600,     0.097041,     0.016806,     0.005454,
  1403.650,     0.094039,     0.022974,    -0.004269,
  1403.700,     0.098640,     0.033738,     0.002866,
  1403.750,     0.103952,     0.023825,    -0.004422,
  1403.800,     0.099220,     0.036654,    -0.002670,
  1403.850,     0.105971,     0.037842,    -0.001627,
  1403.900,     0.104210,     0.039599,    -0.006572,
  1403.950,     0.101660,     0.053783,    -0.000870,
  1404.000,     0.109768,     0.060066,     0.003221,
  1404.050,     0.104322,     0.064564,    -0.004306,
  1404.100,     0.110136,     0.061590,     0.002127,
  1404.150,     0.109421,     0.066843,     0.003100,
  1404.200,     0.105557,     0.074374,     0.000799,
  1404.250,     0.100705,     0.085278,    -0.002291,
  1404.300,     0.105441,     0.085635,    -0.001381,
  1404.350,     0.103996,     0.091017,     0.002625,
  1404.400,     0.094089,     0.089002,     0.010023,
  1404.450,     0.092611,     0.101263,     0.000935,
  1404.500,     0.094426,     0.108007,    -0.003929,
  1404.550,     0.085508,     0.110430,    -0.000776,
  1404.600,     0.082021,     0.111062,    -0.003166,
  1404.650,     0.087135,     0.120654,    -0.003458,
  1404.700,     0.085435,     0.122421,    -0.006820,
  1404.750,     0.073664,     0.126254,    -0.002886,
  1404.800,     0.073462,     0.127645,    -0.001342,
  1404.850,     0.066838,     0.136763,    -0.002667,
  1404.900,     0.059860,     0.138011,     0.002020,
  1404.950,     0.066763,     0.129651,     0.004531,
  1405.000,     0.047589,     0.132296,     0.002005,
  1405.050,     0.059344,     0.136690,     0.000603,
  1405.100,     0.058942,     0.128668,    -0.004298,
  1405.150,     0.052291,     0.124702,     0.000509,
  1405.200,     0.051837,     0.120463,    -0.002555,
  1405.250,     0.038070,     0.125550,     0.001602,
  1405.300,     0.041268,     0.124148,    -0.002477,
  1405.350,     0.045400,     0.115920,     0.005732,
  1405.400,     0.031594,     0.123069,     0.000431,
  1405.450,     0.038329,     0.120503,    -0.000798,
  1405.500,     0.041701,     0.119281,     0.002555,
  1405.550,     0.033546,     0.117960,    -0.000962,
  1405.600,     0.037226,     0.113558,     0.001482,
  1405.650,     0.036069,     0.102431,     0.003332,
  1405.700,     0.037696,     0.097888,     0.006775,
  1405.750,     0.036650,     0.094541,     0.008211,
  1405.800,     0.035833,     0.096214,    -0.007213,
  1405.850,     0.047782,     0.089072,    -0.001911,
  1405.900,     0.052563,     0.086617,     0.001884,
  1405.950,     0.047414,     0.078659,    -0.005094,
  1406.000,     0.054591,     0.082905,     0.003654,
  1406.050,     0.052014,     0.081559,     0.000398,
  1406.100,     0.058736,     0.076843,     0.001199,
  1406.150,     0.064799,     0.073584,    -0.004967,
  1406.200,     0.074482,     0.057793,    -0.002442,
  1406.250,     0.083942,     0.070492,     0.005046,
  1406.300,     0.080677,     0.069328,     0.001635,
  1406.350,     0.083232,     0.065716,     0.000188,
  1406.400,     0.097338,     0.057610,    -0.002588,
  1406.450,     0.091476,     0.062165,    -0.001865,
  1406.500,     0.103061,     0.063110,    -0.004093,
  1406.550,     0.108917,     0.056804,    -0.000373,
  1406.600,     0.106131,     0.054214,     0.001440,
  1406.650,     0.114560,     0.053333,     0.002163,
  1406.700,     0.119244,     0.067823,    -0.000269,
  1406.750,     0.122032,     0.067184,     0.004121,
  1406.800,     0.118964,     0.064664,     0.006196,
  1406.850,     0.129330,     0.071258,     0.005344,
  1406.900,     0.134555,     0.083678,     0.006152,
  1406.950,     0.129032,     0.087022,    -0.006894,
  1407.000,     0.143539,     0.089165,     0.002537,
  1407.050,     0.137110,     0.095162,    -0.001536,
  1407.100,     0.134714,     0.094514,    -0.005529,
  1407.150,     0.143764,     0.106449,     0.000497,
  1407.200,     0.133688,     0.109175,     0.006019,
  1407.250,     0.132709,     0.111667,    -0.004655,
  1407.300,     0.130873,     0.120117,    -0.005386,
  1407.350,     0.124769,     0.120038,     0.001467,
  1407.400,     0.131660,     0.113121,     0.002760,
  1407.450,     0.126566,     0.121612,    -0.009511,
  1407.500,     0.134288,     0.126514,    -0.005310,
  1407.550,     0.126554,     0.119441,    -0.004337,
  1407.600,     0.125662,     0.121837,    -0.010178,
  1407.650,     0.120092,     0.126340,    -0.001922,
  1407.700,     0.127609,     0.129319,     0.001659,
  1407.750,     0.115417,     0.126200,    -0.004333,
  1407.800,     0.113859,     0.117940,    -0.001138,
  1407.850,     0.126466,     0.110219,     0.000302,
  1407.900,     0.108217,     0.118459,    -0.004434,
  1407.950,     0.105754,     0.118828,    -0.006280,
  1408.000,     0.106770,     0.122940,    -0.001151,
  1408.050,     0.105322,     0.125895,    -0.004024,
