Time_abs/ps, Signal 1/nA, Signal 2/nA
  2200.000,    -0.004918,    -0.001557
  2200.050,    -0.008324,    -0.003245
  2200.100,    -0.006852,    -0.002591
  2200.150,     0.013068,    -0.000958
  2200.200,     0.007027,     0.008350
  2200.250,     0.010348,    -0.002142
  2200.300,     0.019620,    -0.003500
  2200.350,     0.012732,    -0.002990
  2200.400,     0.021810,     0.000771
  2200.450,     0.020769,     0.000388
  2200.500,     0.033880,     0.002373
  2200.550,     0.024521,     0.002283
  2200.600,     0.032916,     0.003559
  2200.650,     0.037279,    -0.004036
  2200.700,     0.031843,     0.000884
  2200.750,     0.034385,     0.006347
  2200.800,     0.038090,    -0.000876
  2200.850,     0.029028,    -0.008493
  2200.900,     0.028540,     0.005943
  2200.950,     0.026962,    -0.001193
  2201.000,     0.015145,    -0.001773
  2201.050,     0.022868,     0.002447
  2201.100,     0.014607,     0.000619
  2201.150,     0.000348,     0.005754
  2201.200,     0.002238,    -0.001871
  2201.250,     0.000126,     0.006338
  2201.300,    -0.007320,    -0.014512
  2201.350,    -0.010162,     0.000856
  2201.400,    -0.020685,    -0.002355
  2201.450,    -0.019810,    -0.001041
  2201.500,    -0.033706,    -0.000667
  2201.550,    -0.037742,     0.001073
  2201.600,    -0.042739,     0.003495
  2201.650,    -0.050304,     0.001801
  2201.700,    -0.049952,     0.001288
  2201.750,    -0.054160,     0.000452
  2201.800,    -0.055075,     0.003738
  2201.850,    -0.057158,     0.003684
  2201.900,    -0.063512,    -0.003324
  2201.950,    -0.063375,     0.001118
  2202.000,    -0.073450,     0.003918
  2202.050,    -0.075321,    -0.005766
  2202.100,    -0.073754,     0.000932
  2202.150,    -0.070648,    -0.000247
  2202.200,    -0.074822,    -0.002623
  2202.250,    -0.066132,    -0.003772
  2202.300,    -0.078874,    -0.000521
  2202.350,    -0.071379,     0.004861
  2202.400,    -0.079725,    -0.004663
  2202.450,    -0.087093,    -0.002717
  2202.500,    -0.070933,     0.002072
  2202.550,    -0.075713,    -0.002625
  2202.600,    -0.082148,     0.000032
  2202.650,    -0.075019,     0.001497
  2202.700,    -0.075965,     0.002610
  2202.750,    -0.066628,     0.005162
  2202.800,    -0.059614,     0.001777
  2202.850,    -0.064871,    -0.001282
  2202.900,    -0.060440,     0.003622
  2202.950,    -0.053871,     0.002702
  2203.000,    -0.041149,     0.002826
  2203.050,    -0.032266,     0.000495
  2203.100,    -0.035161,     0.005593
  2203.150,    -0.036133,     0.003106
  2203.200,    -0.009935,    -0.003671
  2203.250,    -0.008168,    -0.003212
  2203.300,     0.000004,    -0.001792
  2203.350,     0.011654,    -0.005757
  2203.400,     0.025109,    -0.000515
  2203.450,     0.031503,    -0.000528
  2203.500,     0.035756,     0.007265
