Time_abs/ps, Signal 1/nA, Signal 2/nA
  2210.000,     0.005134,    -0.012263
  2210.050,     0.005582,     0.003267
  2210.100,     0.010233,     0.003115
  2210.150,    -0.007541,     0.005201
  2210.200,    -0.013408,     0.000679
  2210.250,    -0.020973,     0.005918
  2210.300,    -0.016428,    -0.005736
  2210.350,    -0.024421,     0.003935
  2210.400,    -0.037935,     0.000335
  2210.450,    -0.029383,    -0.005884
  2210.500,    -0.041787,     0.004723
  2210.550,    -0.047576,    -0.001458
  2210.600,    -0.042747,     0.005768
  2210.650,    -0.043119,    -0.009810
  2210.700,    -0.059932,    -0.001310
  2210.750,    -0.048238,     0.001560
  2210.800,    -0.034444,    -0.010624
  2210.850,    -0.038022,    -0.002149
  2210.900,    -0.026516,    -0.000224
  2210.950,    -0.019757,    -0.003565
  2211.000,    -0.020148,     0.001017
  2211.050,    -0.011503,    -0.002891
  2211.100,    -0.009519,    -0.000284
  2211.150,     0.011143,    -0.002199
  2211.200,     0.019484,     0.003881
  2211.250,     0.026451,    -0.000696
  2211.300,     0.038167,    -0.002000
  2211.350,     0.044312,     0.000925
  2211.400,     0.051700,     0.002363
  2211.450,     0.062281,    -0.006047
  2211.500,     0.070231,    -0.006083
  2211.550,     0.089236,    -0.003407
  2211.600,     0.082738,     0.002527
  2211.650,     0.093887,    -0.001063
  2211.700,     0.106085,     0.006392
  2211.750,     0.110644,    -0.000468
  2211.800,     0.107929,     0.006405
  2211.850,     0.111734,     0.005784
  2211.900,     0.111763,    -0.000746
  2211.950,     0.117183,     0.000747
  2212.000,     0.121907,    -0.000328
  2212.050,     0.125243,    -0.000159
  2212.100,     0.122564,    -0.002574
  2212.150,     0.112683,     0.010031
  2212.200,     0.117144,     0.005394
  2212.250,     0.114535,    -0.000948
  2212.300,     0.116249,     0.007124
  2212.350,     0.102693,     0.008839
  2212.400,     0.107822,    -0.002120
  2212.450,     0.090759,     0.005359
  2212.500,     0.076793,    -0.004395
  2212.550,     0.081940,     0.004076
  2212.600,     0.076816,     0.004351
  2212.650,     0.063537,    -0.002385
  2212.700,     0.072602,    -0.005296
  2212.750,     0.064165,    -0.007390
  2212.800,     0.045440,    -0.003513
  2212.850,     0.043182,    -0.003948
  2212.900,     0.036784,    -0.003118
  2212.950,     0.036493,    -0.000498
  2213.000,     0.033401,    -0.002675
  2213.050,     0.029764,     0.002007
  2213.100,     0.019406,     0.005225
  2213.150,     0.023280,    -0.008657
  2213.200,     0.020495,    -0.006261
  2213.250,     0.024207,     0.002671
  2213.300,     0.029093,     0.003643
  2213.350,     0.035091,    -0.003718
  2213.400,     0.045546,    -0.001713
  2213.450,     0.056242,    -0.002376
  2213.500,     0.064127,     0.000515
  2213.550,     0.072916,     0.010298
  2213.600,     0.092565,     0.001539
  2213.650,     0.106848,    -0.001500
  2213.700,     0.122439,     0.007541
  2213.750,     0.138742,     0.006729
  2213.800,     0.160308,    -0.006925
  2213.850,     0.187834,    -0.002832
  2213.900,     0.208396,     0.002340
  2213.950,     0.237693,    -0.003227
  2214.000,     0.268595,    -0.008181
  2214.050,     0.296308,     0.002838
  2214.100,     0.327991,     0.004629
  2214.150,     0.355773,    -0.000057
  2214.200,     0.403264,     0.005574
  2214.250,     0.428696,     0.002960
  2214.300,     0.459442,     0.001987
  2214.350,     0.483401,    -0.003251
  2214.400,     0.527817,    -0.001708
  2214.450,     0.549165,    -0.007864
  2214.500,     0.581271,    -0.001236
  2214.550,     0.622033,    -0.000598
  2214.600,     0.630300,     0.002197
  2214.650,     0.660523,    -0.001063
  2214.700,     0.686531,    -0.001008
  2214.750,     0.717034,    -0.003653
  2214.800,     0.731997,    -0.008704
  2214.850,     0.747520,    -0.001744
  2214.900,     0.766096,     0.000516
  2214.950,     0.767324,    -0.001130
  2215.000,     0.768364,     0.014476
