Time_abs/ps, Signal 1/nA, Signal 2/nA
  1850.000,    -0.013754,    -0.004644
  1850.050,    -0.012239,    -0.001211
  1850.100,     0.008949,     0.001625
  1850.150,     0.007619,     0.003775
  1850.200,     0.009425,     0.000454
  1850.250,     0.016097,    -0.007342
  1850.300,     0.010645,    -0.005209
  1850.350,     0.016896,    -0.002789
  1850.400,     0.016215,     0.001528
  1850.450,     0.023724,    -0.004399
  1850.500,     0.024034,    -0.001735
  1850.550,     0.033578,     0.006259
  1850.600,     0.028549,    -0.012397
  1850.650,     0.029985,     0.001945
  1850.700,     0.030917,    -0.004329
  1850.750,     0.039012,    -0.001170
  1850.800,     0.023268,    -0.005250
  1850.850,     0.030043,    -0.009667
  1850.900,     0.025518,     0.010007
  1850.950,     0.028556,     0.002220
  1851.000,     0.017170,    -0.003060
  1851.050,     0.014554,    -0.003300
  1851.100,     0.008990,    -0.001716
  1851.150,     0.003290,    -0.008157
  1851.200,    -0.001580,    -0.001559
  1851.250,     0.002043,    -0.011881
  1851.300,     0.008125,    -0.005068
  1851.350,     0.001236,    -0.000197
  1851.400,     0.001013,    -0.008590
  1851.450,    -0.017694,    -0.009734
  1851.500,    -0.015004,    -0.001619
  1851.550,    -0.021480,    -0.004809
  1851.600,    -0.018145,    -0.007547
  1851.650,    -0.011325,    -0.002862
  1851.700,    -0.019504,     0.005528
  1851.750,    -0.012243,    -0.005887
  1851.800,    -0.019443,    -0.001035
  1851.850,    -0.014901,     0.003960
  1851.900,    -0.005940,     0.001028
  1851.950,    -0.006940,    -0.010491
  1852.000,     0.002321,    -0.000574
  1852.050,     0.005834,    -0.005976
  1852.100,     0.006602,    -0.000774
  1852.150,     0.027509,     0.003211
  1852.200,     0.024529,    -0.006746
  1852.250,     0.026518,     0.006045
  1852.300,     0.038653,     0.010654
  1852.350,     0.036978,    -0.000683
  1852.400,     0.048805,    -0.003574
  1852.450,     0.063333,    -0.006272
  1852.500,     0.066040,    -0.003105
  1852.550,     0.082260,    -0.002067
  1852.600,     0.089530,    -0.003777
  1852.650,     0.096662,    -0.001675
  1852.700,     0.090256,    -0.002568
  1852.750,     0.095288,     0.001874
  1852.800,     0.098982,     0.000837
  1852.850,     0.108795,    -0.007107
  1852.900,     0.108699,    -0.001576
  1852.950,     0.102549,    -0.002160
  1853.000,     0.108468,    -0.000513
  1853.050,     0.099484,    -0.005817
  1853.100,     0.090065,    -0.004314
  1853.150,     0.087608,    -0.000235
  1853.200,     0.062075,     0.003109
  1853.250,     0.049028,    -0.002263
  1853.300,     0.029885,    -0.000558
  1853.350,     0.001086,     0.002629
  1853.400,    -0.016107,     0.000952
  1853.450,    -0.041856,     0.000218
  1853.500,    -0.072091,    -0.005125
  1853.550,    -0.103981,    -0.003777
  1853.600,    -0.130931,     0.000768
  1853.650,    -0.169884,     0.007156
  1853.700,    -0.206127,    -0.004712
  1853.750,    -0.231684,    -0.004434
  1853.800,    -0.287469,    -0.002932
  1853.850,    -0.319414,     0.006383
  1853.900,    -0.351279,     0.001031
  1853.950,    -0.380089,    -0.002532
  1854.000,    -0.414038,    -0.003544
  1854.050,    -0.442501,    -0.001780
  1854.100,    -0.458663,    -0.001112
  1854.150,    -0.480947,    -0.004286
  1854.200,    -0.505355,     0.003725
  1854.250,    -0.518698,    -0.007062
  1854.300,    -0.532013,    -0.008903
  1854.350,    -0.549233,    -0.003233
  1854.400,    -0.538038,    -0.003857
  1854.450,    -0.541647,    -0.008406
  1854.500,    -0.532674,    -0.001239
  1854.550,    -0.531802,     0.004859
  1854.600,    -0.509957,    -0.008312
  1854.650,    -0.497771,    -0.004118
  1854.700,    -0.485884,     0.001129
  1854.750,    -0.473643,    -0.007266
  1854.800,    -0.444179,    -0.005606
  1854.850,    -0.426200,    -0.001167
  1854.900,    -0.411384,    -0.002654
  1854.950,    -0.395102,     0.002951
  1855.000,    -0.353580,    -0.007943
  1855.050,    -0.334280,     0.001341
  1855.100,    -0.323196,     0.003527
  1855.150,    -0.306243,    -0.008186
  1855.200,    -0.302631,    -0.000649
  1855.250,    -0.284693,     0.003285
  1855.300,    -0.275584,    -0.007143
  1855.350,    -0.267679,    -0.003738
  1855.400,    -0.271055,    -0.001196
  1855.450,    -0.261438,    -0.002015
  1855.500,    -0.253995,    -0.012200
  1855.550,    -0.259681,    -0.004519
  1855.600,    -0.257153,    -0.008432
  1855.650,    -0.265123,    -0.002988
  1855.700,    -0.274678,    -0.007302
  1855.750,    -0.279729,    -0.001221
  1855.800,    -0.288479,    -0.007542
  1855.850,    -0.293100,     0.000065
  1855.900,    -0.297556,     0.007872
  1855.950,    -0.311540,    -0.004866
  1856.000,    -0.311823,    -0.002772
  1856.050,    -0.328926,     0.005713
  1856.100,    -0.336503,     0.001871
  1856.150,    -0.344701,    -0.008029
  1856.200,    -0.358197,    -0.006614
  1856.250,    -0.351560,     0.001901
  1856.300,    -0.358863,    -0.003194
  1856.350,    -0.363656,    -0.004128
  1856.400,    -0.371318,    -0.002209
  1856.450,    -0.361730,    -0.002868
  1856.500,    -0.353457,    -0.006490
  1856.550,    -0.349510,    -0.002128
  1856.600,    -0.344010,    -0.005389
  1856.650,    -0.331872,    -0.004355
  1856.700,    -0.333816,    -0.001622
  1856.750,    -0.310278,     0.003072
  1856.800,    -0.303537,     0.004297
  1856.850,    -0.289169,    -0.002930
  1856.900,    -0.265505,    -0.002249
  1856.950,    -0.249209,    -0.003783
  1857.000,    -0.231648,    -0.005359
  1857.050,    -0.212723,     0.000844
  1857.100,    -0.191221,    -0.009291
  1857.150,    -0.175096,    -0.009443
  1857.200,    -0.160745,    -0.007350
  1857.250,    -0.158949,    -0.006433
