Time_abs/ps, Signal 1/nA, Signal 2/nA
  1850.000,    -0.004355,     0.005392
  1850.050,    -0.001172,    -0.003932
  1850.100,     0.001136,     0.002260
  1850.150,     0.004052,     0.004775
  1850.200,     0.000339,    -0.008496
  1850.250,     0.010603,     0.000998
  1850.300,     0.013611,    -0.005916
  1850.350,     0.011074,     0.004659
  1850.400,     0.015832,    -0.003730
  1850.450,     0.025960,     0.001040
  1850.500,     0.030855,    -0.004703
  1850.550,     0.026079,     0.004078
  1850.600,     0.031897,    -0.001652
  1850.650,     0.037259,     0.001959
  1850.700,     0.028383,     0.009569
  1850.750,     0.039563,    -0.007409
  1850.800,     0.030108,     0.005145
  1850.850,     0.044908,    -0.001045
  1850.900,     0.037183,     0.002406
  1850.950,     0.042788,    -0.001264
  1851.000,     0.043809,     0.002144
  1851.050,     0.048136,    -0.002368
  1851.100,     0.046807,    -0.000296
  1851.150,     0.043828,    -0.003486
  1851.200,     0.031974,    -0.001576
  1851.250,     0.041390,     0.000126
  1851.300,     0.046358,     0.004108
  1851.350,     0.047310,     0.011837
  1851.400,     0.044254,    -0.000014
  1851.450,     0.050642,    -0.003237
  1851.500,     0.051535,     0.002214
  1851.550,     0.058996,     0.002446
  1851.600,     0.070197,    -0.001537
  1851.650,     0.074795,    -0.000913
  1851.700,     0.088990,    -0.002005
  1851.750,     0.084702,    -0.001647
  1851.800,     0.089861,    -0.003948
  1851.850,     0.085730,    -0.003155
  1851.900,     0.093787,    -0.001157
  1851.950,     0.100873,     0.000944
  1852.000,     0.099405,     0.001284
  1852.050,     0.095668,     0.005067
  1852.100,     0.101963,     0.003467
  1852.150,     0.088212,     0.004938
  1852.200,     0.084291,    -0.003902
  1852.250,     0.070142,     0.005733
  1852.300,     0.054081,    -0.010901
  1852.350,     0.040903,    -0.005699
  1852.400,     0.015933,     0.001819
  1852.450,    -0.005309,    -0.003006
  1852.500,    -0.028151,    -0.001780
  1852.550,    -0.043831,    -0.001863
  1852.600,    -0.068680,    -0.002744
  1852.650,    -0.090780,    -0.000343
  1852.700,    -0.121503,     0.001869
  1852.750,    -0.150672,     0.002102
  1852.800,    -0.186662,    -0.002818
  1852.850,    -0.214807,    -0.001631
  1852.900,    -0.248733,    -0.003747
  1852.950,    -0.272756,     0.003419
  1853.000,    -0.304074,     0.008889
  1853.050,    -0.328744,    -0.005867
  1853.100,    -0.362013,    -0.002772
  1853.150,    -0.383417,    -0.004969
  1853.200,    -0.394311,    -0.001456
  1853.250,    -0.410862,    -0.006706
  1853.300,    -0.427748,    -0.005305
  1853.350,    -0.432486,     0.001223
  1853.400,    -0.456206,    -0.003370
  1853.450,    -0.456103,    -0.000127
  1853.500,    -0.457307,     0.002263
  1853.550,    -0.440320,    -0.007120
  1853.600,    -0.440747,    -0.004264
  1853.650,    -0.422049,     0.000753
  1853.700,    -0.405448,     0.000418
  1853.750,    -0.397752,    -0.002283
  1853.800,    -0.377876,     0.001846
  1853.850,    -0.369171,    -0.005639
  1853.900,    -0.355113,    -0.003274
  1853.950,    -0.330182,    -0.003282
  1854.000,    -0.320029,     0.003853
  1854.050,    -0.301661,    -0.000278
  1854.100,    -0.282184,    -0.007615
  1854.150,    -0.271211,    -0.007551
  1854.200,    -0.259414,    -0.000580
  1854.250,    -0.237539,     0.009898
  1854.300,    -0.241041,     0.001071
  1854.350,    -0.237378,    -0.004599
  1854.400,    -0.234927,    -0.001763
  1854.450,    -0.228992,    -0.003988
