Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  1.573105E-2,    -0.00000,          NaN,         NaN, 4.295876E-13,    -2.53509,          NaN,         NaN
     5.0,  1.110635E-2,    -1.50879,          NaN,         NaN, 6.675533E-12,    -0.41046,          NaN,         NaN
    10.0,  2.268279E-2,    -0.78392,          NaN,         NaN, 1.076995E-11,     1.27747,          NaN,         NaN
    15.0,  3.035785E-2,    -0.92911,          NaN,         NaN, 1.006815E-11,     2.50008,          NaN,         NaN
    20.0,  2.860459E-2,    -0.30350,          NaN,         NaN, 5.765124E-12,     2.76905,          NaN,         NaN
    25.0,  3.623584E-2,    -2.48566,          NaN,         NaN, 5.527389E-12,     1.67556,          NaN,         NaN
    30.0,  3.609600E-2,    -0.76507,          NaN,         NaN, 6.639225E-12,     2.94958,          NaN,         NaN
    35.0,  3.116179E-2,    -2.38370,          NaN,         NaN, 5.232731E-12,     3.74325,          NaN,         NaN
    40.0,  8.263487E-2,    -3.16356,          NaN,         NaN, 7.191388E-12,     5.50269,          NaN,         NaN
    45.0,  1.468405E-1,    -3.00909,          NaN,         NaN, 5.413220E-12,     7.26149,          NaN,         NaN
    50.0,  2.440365E-1,    -1.71238,          NaN,         NaN, 1.256592E-11,     8.29441,          NaN,         NaN
    55.0,  3.132617E-1,     0.22547,          NaN,         NaN, 8.561718E-12,    10.47081,          NaN,         NaN
    60.0,  4.897331E-2,    -0.05449,          NaN,         NaN, 4.894639E-12,     8.91383,          NaN,         NaN
    65.0,  1.472173E-1,     1.54282,          NaN,         NaN, 8.457432E-12,     6.99221,          NaN,         NaN
    70.0,  4.324089E-1,     1.98954,          NaN,         NaN, 1.502831E-11,     7.25032,          NaN,         NaN
    75.0,  3.847020E-1,     2.74348,          NaN,         NaN, 1.839418E-11,     8.29400,          NaN,         NaN
    80.0,  4.915717E-1,     4.00215,          NaN,         NaN, 1.420174E-11,     9.36437,          NaN,         NaN
    85.0,  1.370928E-1,     3.75684,          NaN,         NaN, 5.620521E-12,     8.89168,          NaN,         NaN
    90.0,  2.339905E-1,     5.45715,          NaN,         NaN, 8.203278E-12,    10.24222,          NaN,         NaN
    95.0,  3.873020E-1,     5.71895,          NaN,         NaN, 1.514980E-11,    10.79341,          NaN,         NaN
   100.0,  4.561659E-1,     6.20497,          NaN,         NaN, 2.260693E-11,    11.79947,          NaN,         NaN
   105.0,  4.894771E-1,     7.29800,          NaN,         NaN, 1.329357E-11,    12.19167,          NaN,         NaN
   110.0,  5.035517E-1,     7.72340,          NaN,         NaN, 2.111491E-11,    12.77967,          NaN,         NaN
