Time_abs/ps, Signal 1/nA, Signal 2/nA
  1850.000,    -0.001383,    -0.005073
  1850.050,     0.008326,     0.002106
  1850.100,    -0.004553,    -0.002090
  1850.150,     0.001774,     0.003011
  1850.200,    -0.004165,     0.002045
  1850.250,     0.000463,     0.002936
  1850.300,     0.013391,     0.005414
  1850.350,     0.008772,    -0.007468
  1850.400,     0.002260,    -0.003596
  1850.450,     0.007382,     0.002844
  1850.500,     0.010244,     0.005508
  1850.550,    -0.000355,     0.013598
  1850.600,     0.019070,    -0.003845
  1850.650,     0.004703,    -0.001434
  1850.700,     0.008416,    -0.001021
  1850.750,     0.001631,    -0.000899
  1850.800,    -0.006357,     0.003535
  1850.850,    -0.014943,     0.001341
  1850.900,    -0.008005,     0.006312
  1850.950,    -0.005779,    -0.005976
  1851.000,    -0.015532,     0.009646
  1851.050,    -0.014293,     0.007368
  1851.100,    -0.003094,     0.001066
  1851.150,    -0.012371,     0.005724
  1851.200,    -0.002165,     0.007451
  1851.250,    -0.006077,    -0.000366
  1851.300,     0.010232,     0.000132
  1851.350,     0.026264,     0.002862
  1851.400,     0.026710,     0.002959
  1851.450,     0.029389,     0.003161
  1851.500,     0.035324,     0.011247
  1851.550,     0.042931,     0.001890
  1851.600,     0.054684,     0.001753
  1851.650,     0.048920,     0.005048
  1851.700,     0.058070,    -0.002097
  1851.750,     0.060181,    -0.009044
  1851.800,     0.058482,     0.006465
  1851.850,     0.057830,    -0.003249
  1851.900,     0.046909,     0.001567
  1851.950,     0.037664,     0.001183
  1852.000,     0.030462,     0.005632
  1852.050,     0.029926,    -0.000479
  1852.100,     0.021423,     0.003828
  1852.150,     0.005960,     0.007656
  1852.200,    -0.009714,    -0.000638
  1852.250,    -0.042917,     0.001308
  1852.300,    -0.053652,    -0.000714
  1852.350,    -0.094956,    -0.001847
  1852.400,    -0.113395,     0.003394
  1852.450,    -0.156990,     0.008894
  1852.500,    -0.176497,     0.002974
  1852.550,    -0.206238,     0.000895
  1852.600,    -0.248146,     0.001121
  1852.650,    -0.276965,     0.004289
  1852.700,    -0.309854,     0.004567
  1852.750,    -0.342045,     0.001604
  1852.800,    -0.370284,     0.000700
  1852.850,    -0.388193,     0.005900
  1852.900,    -0.417739,     0.004231
  1852.950,    -0.430981,    -0.004553
  1853.000,    -0.436794,    -0.002257
  1853.050,    -0.460397,    -0.003058
  1853.100,    -0.475678,     0.006498
  1853.150,    -0.493490,     0.004742
  1853.200,    -0.492478,     0.003355
  1853.250,    -0.491481,     0.003035
  1853.300,    -0.495939,     0.006204
  1853.350,    -0.473267,     0.008252
  1853.400,    -0.462997,     0.004149
  1853.450,    -0.451014,    -0.001872
  1853.500,    -0.440856,     0.002761
  1853.550,    -0.419569,    -0.004244
  1853.600,    -0.398727,     0.004738
  1853.650,    -0.385931,     0.001998
  1853.700,    -0.359358,     0.004601
  1853.750,    -0.347884,     0.000701
  1853.800,    -0.330571,     0.001878
  1853.850,    -0.307073,     0.005717
  1853.900,    -0.290251,    -0.001464
  1853.950,    -0.273906,     0.006902
  1854.000,    -0.264725,     0.011308
  1854.050,    -0.248897,    -0.007390
  1854.100,    -0.235516,    -0.002780
  1854.150,    -0.236379,     0.002702
  1854.200,    -0.231999,     0.008946
  1854.250,    -0.227022,     0.001738
  1854.300,    -0.226824,     0.001755
  1854.350,    -0.224229,     0.004711
  1854.400,    -0.227362,     0.002120
  1854.450,    -0.222253,    -0.001066
  1854.500,    -0.235321,    -0.001373
  1854.550,    -0.237729,     0.005623
  1854.600,    -0.243061,     0.004996
  1854.650,    -0.252286,     0.004784
  1854.700,    -0.266588,     0.009056
  1854.750,    -0.275180,     0.006788
  1854.800,    -0.280360,     0.004295
  1854.850,    -0.294084,     0.004452
  1854.900,    -0.317720,     0.001466
  1854.950,    -0.316571,     0.004097
  1855.000,    -0.328452,    -0.000719
  1855.050,    -0.341146,     0.007136
  1855.100,    -0.344077,     0.010205
  1855.150,    -0.359583,     0.005398
  1855.200,    -0.357747,     0.005505
  1855.250,    -0.365350,     0.005768
  1855.300,    -0.353861,    -0.001440
  1855.350,    -0.348427,    -0.001826
  1855.400,    -0.345129,    -0.001297
  1855.450,    -0.345345,     0.005774
  1855.500,    -0.334709,     0.001783
  1855.550,    -0.317931,    -0.000579
  1855.600,    -0.307589,     0.003929
  1855.650,    -0.293182,     0.005508
  1855.700,    -0.282677,     0.001317
  1855.750,    -0.261341,     0.006317
  1855.800,    -0.239623,     0.008976
  1855.850,    -0.227727,     0.002792
  1855.900,    -0.212848,     0.001351
  1855.950,    -0.197979,    -0.000920
  1856.000,    -0.184474,    -0.001082
  1856.050,    -0.165716,    -0.001951
  1856.100,    -0.146713,    -0.000889
  1856.150,    -0.135407,    -0.000317
  1856.200,    -0.128956,    -0.000270
  1856.250,    -0.124401,    -0.001221
  1856.300,    -0.106016,    -0.008187
  1856.350,    -0.111075,    -0.001495
  1856.400,    -0.102267,    -0.000923
  1856.450,    -0.110931,    -0.000440
  1856.500,    -0.106268,    -0.003768
  1856.550,    -0.109342,     0.002632
  1856.600,    -0.120169,     0.005675
  1856.650,    -0.127431,    -0.000260
  1856.700,    -0.142724,    -0.000905
  1856.750,    -0.145962,     0.004653
  1856.800,    -0.146498,     0.001370
  1856.850,    -0.166627,     0.005967
  1856.900,    -0.187414,    -0.000895
  1856.950,    -0.190015,    -0.000248
  1857.000,    -0.204684,     0.001078
  1857.050,    -0.215538,     0.001445
  1857.100,    -0.229475,    -0.005606
  1857.150,    -0.248017,     0.001624
  1857.200,    -0.263460,    -0.000126
  1857.250,    -0.273028,     0.005836
  1857.300,    -0.282145,     0.005528
  1857.350,    -0.292810,     0.001105
  1857.400,    -0.291662,    -0.001300
  1857.450,    -0.298198,     0.003652
  1857.500,    -0.308667,     0.003008
  1857.550,    -0.292488,     0.000858
  1857.600,    -0.310284,     0.002626
  1857.650,    -0.306428,     0.005350
  1857.700,    -0.284431,    -0.001251
  1857.750,    -0.290995,     0.002051
  1857.800,    -0.284714,     0.001975
  1857.850,    -0.270030,     0.006049
  1857.900,    -0.254768,     0.010709
  1857.950,    -0.240539,     0.005878
  1858.000,    -0.218863,     0.004959
  1858.050,    -0.200132,     0.002337
  1858.100,    -0.168442,     0.000710
  1858.150,    -0.130521,     0.005039
  1858.200,    -0.105197,     0.002723
  1858.250,    -0.074655,     0.001230
  1858.300,    -0.051453,     0.000667
  1858.350,    -0.018062,     0.005318
  1858.400,     0.024968,     0.007219
  1858.450,     0.070311,     0.003923
  1858.500,     0.102530,     0.009938
  1858.550,     0.143878,     0.011700
  1858.600,     0.174737,     0.000245
  1858.650,     0.211332,     0.002802
  1858.700,     0.254374,     0.008240
  1858.750,     0.292411,     0.007457
  1858.800,     0.325033,     0.000803
  1858.850,     0.348346,     0.002933
  1858.900,     0.387199,     0.000627
  1858.950,     0.411416,    -0.001592
  1859.000,     0.444336,     0.003766
  1859.050,     0.467980,     0.006115
  1859.100,     0.471981,    -0.001427
  1859.150,     0.493897,    -0.004702
  1859.200,     0.510749,     0.000977
  1859.250,     0.513415,    -0.006605
  1859.300,     0.512391,     0.000731
  1859.350,     0.512676,     0.002011
  1859.400,     0.507107,    -0.001072
  1859.450,     0.500457,     0.004455
  1859.500,     0.490817,     0.004219
  1859.550,     0.468501,    -0.001349
  1859.600,     0.439681,     0.003175
  1859.650,     0.420518,     0.009009
  1859.700,     0.410424,    -0.001312
  1859.750,     0.372976,     0.002993
  1859.800,     0.339803,    -0.005860
  1859.850,     0.319388,    -0.001239
  1859.900,     0.283201,     0.006768
  1859.950,     0.248389,     0.007969
  1860.000,     0.225755,     0.004024
  1860.050,     0.188896,    -0.001324
  1860.100,     0.151634,     0.006848
  1860.150,     0.120884,    -0.002421
  1860.200,     0.094063,    -0.004283
  1860.250,     0.053283,     0.002929
  1860.300,     0.020872,     0.005294
  1860.350,    -0.008996,     0.005596
  1860.400,    -0.051152,     0.007073
  1860.450,    -0.085724,     0.005982
  1860.500,    -0.111069,    -0.002804
  1860.550,    -0.155577,     0.000484
  1860.600,    -0.197298,     0.000563
  1860.650,    -0.233735,     0.004720
  1860.700,    -0.270732,     0.002668
  1860.750,    -0.298919,     0.006621
  1860.800,    -0.328987,     0.004449
  1860.850,    -0.375730,     0.003558
  1860.900,    -0.382851,     0.004002
  1860.950,    -0.404895,     0.006863
  1861.000,    -0.433071,     0.001636
  1861.050,    -0.441565,     0.000236
  1861.100,    -0.472427,     0.003227
  1861.150,    -0.479031,    -0.001398
  1861.200,    -0.482391,    -0.002275
  1861.250,    -0.498514,     0.002759
  1861.300,    -0.525640,     0.002531
  1861.350,    -0.524769,    -0.000412
  1861.400,    -0.536725,    -0.000041
  1861.450,    -0.555370,    -0.001214
  1861.500,    -0.564884,     0.004678
  1861.550,    -0.583494,     0.008119
  1861.600,    -0.613746,     0.003732
  1861.650,    -0.629498,     0.009082
  1861.700,    -0.632966,     0.003734
  1861.750,    -0.620538,     0.000375
  1861.800,    -0.585118,     0.006283
  1861.850,    -0.523447,     0.003380
  1861.900,    -0.429310,     0.000993
  1861.950,    -0.313902,     0.007137
  1862.000,    -0.179100,     0.001890
  1862.050,    -0.042780,    -0.000686
  1862.100,     0.094682,     0.002086
  1862.150,     0.207776,     0.005124
  1862.200,     0.285467,     0.003984
  1862.250,     0.341318,     0.001947
  1862.300,     0.386522,     0.001643
  1862.350,     0.400763,     0.008729
  1862.400,     0.396056,     0.005143
  1862.450,     0.365114,     0.005504
  1862.500,     0.328593,     0.003416
  1862.550,     0.290547,     0.005106
  1862.600,     0.238822,     0.012785
  1862.650,     0.190386,     0.009104
  1862.700,     0.139133,     0.004444
  1862.750,     0.095151,     0.005237
  1862.800,     0.046725,     0.010801
