Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  1.440762E-2,    -0.00000,          NaN,         NaN, 4.266502E-13,    -2.79373,          NaN,         NaN
     5.0,  1.349139E-2,    -1.62999,          NaN,         NaN, 1.744761E-11,    -1.72507,          NaN,         NaN
    10.0,  2.298115E-2,    -0.87884,          NaN,         NaN, 6.371839E-12,    -1.17294,          NaN,         NaN
    15.0,  3.103753E-2,    -1.02658,          NaN,         NaN, 1.100533E-11,    -1.86146,          NaN,         NaN
    20.0,  2.920727E-2,    -0.33790,          NaN,         NaN, 1.535586E-11,    -1.47722,          NaN,         NaN
    25.0,  4.124406E-2,    -2.60178,          NaN,         NaN, 9.644048E-12,    -1.13830,          NaN,         NaN
    30.0,  3.611785E-2,    -0.85612,          NaN,         NaN, 5.887687E-12,    -1.15158,          NaN,         NaN
    35.0,  3.353892E-2,    -2.52366,          NaN,         NaN, 9.050768E-12,    -0.47418,          NaN,         NaN
    40.0,  8.488350E-2,    -3.23638,          NaN,         NaN, 1.095653E-11,     0.31511,          NaN,         NaN
    45.0,  1.488222E-1,    -3.11067,          NaN,         NaN, 1.003888E-11,    -0.23638,          NaN,         NaN
    50.0,  2.437286E-1,    -1.80887,          NaN,         NaN, 1.497966E-11,     1.47968,          NaN,         NaN
    55.0,  3.102237E-1,     0.12634,          NaN,         NaN, 1.341654E-11,     3.01048,          NaN,         NaN
    60.0,  4.861341E-2,    -0.14339,          NaN,         NaN, 1.081031E-11,     3.65058,          NaN,         NaN
    65.0,  1.503191E-1,     1.43581,          NaN,         NaN, 6.541450E-12,     3.90010,          NaN,         NaN
    70.0,  4.355688E-1,     1.85383,          NaN,         NaN, 2.195654E-11,     4.99658,          NaN,         NaN
    75.0,  3.874456E-1,     2.59124,          NaN,         NaN, 1.440454E-11,     5.25594,          NaN,         NaN
    80.0,  4.915639E-1,     3.84060,          NaN,         NaN, 1.587790E-11,     6.50930,          NaN,         NaN
    85.0,  1.354281E-1,     3.58123,          NaN,         NaN, 9.535693E-12,     5.09138,          NaN,         NaN
    90.0,  2.320727E-1,     5.29180,          NaN,         NaN, 1.261685E-11,     4.48994,          NaN,         NaN
    95.0,  3.867538E-1,     5.54182,          NaN,         NaN, 1.156733E-11,     4.03375,          NaN,         NaN
   100.0,  4.579675E-1,     6.01504,          NaN,         NaN, 1.457218E-11,     4.57117,          NaN,         NaN
   105.0,  4.939973E-1,     7.09150,          NaN,         NaN, 1.727534E-11,     5.60872,          NaN,         NaN
   110.0,  5.053615E-1,     7.50229,          NaN,         NaN, 6.610066E-12,     4.80858,          NaN,         NaN
   115.0,  7.813559E-1,     7.78736,          NaN,         NaN, 1.787255E-11,     5.54113,          NaN,         NaN
   120.0,  5.933828E-1,     8.93724,          NaN,         NaN, 2.653427E-11,     6.89253,          NaN,         NaN
