Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  1.857703E-2,    -0.00000,  1.792739E-2,    -0.00000, 3.791167E-13,    -0.59444,          NaN,         NaN
     5.0,  6.990194E-3,    -1.16723,  8.449652E-3,    -1.26724, 9.009315E-12,     0.78493,          NaN,         NaN
    10.0,  1.883388E-2,    -0.56068,  2.126811E-2,    -0.71231, 6.940051E-12,     0.28330,          NaN,         NaN
    15.0,  2.632418E-2,    -0.57534,  2.893006E-2,    -0.72959, 8.437794E-12,     1.66736,          NaN,         NaN
    20.0,  2.946511E-2,     0.11208,  3.016496E-2,    -0.09687, 1.136998E-11,     0.99246,          NaN,         NaN
    25.0,  2.367466E-2,    -2.05412,  2.689539E-2,    -2.14145, 5.426841E-12,     1.76377,          NaN,         NaN
    30.0,  3.577704E-2,    -0.12548,  3.516062E-2,    -0.36420, 4.660987E-12,     2.04989,          NaN,         NaN
    35.0,  1.733626E-2,    -1.68862,  2.085967E-2,    -2.01837, 3.111264E-12,     1.68865,          NaN,         NaN
    40.0,  5.404190E-2,    -2.66488,  6.081748E-2,    -2.86624, 1.109961E-11,     3.12875,          NaN,         NaN
    45.0,  1.058518E-1,    -2.40004,  1.130494E-1,    -2.66387, 4.446110E-12,     3.16328,          NaN,         NaN
    50.0,  1.979332E-1,    -1.00712,  2.008071E-1,    -1.32000, 5.401192E-12,     4.37520,          NaN,         NaN
    55.0,  2.653291E-1,     0.91645,  2.618200E-1,     0.61508, 9.115343E-12,     5.63831,          NaN,         NaN
    60.0,  5.375348E-2,     0.53160,  4.836150E-2,     0.22484, 7.433624E-12,     5.56243,          NaN,         NaN
    65.0,  1.084076E-1,     2.28214,  1.123988E-1,     1.96498, 1.194207E-11,     3.65924,          NaN,         NaN
    70.0,  3.357209E-1,     2.89977,  3.463393E-1,     2.50585, 9.443162E-12,     5.14337,          NaN,         NaN
    75.0,  2.991825E-1,     3.78659,  3.077640E-1,     3.34027, 1.144136E-11,     5.86306,          NaN,         NaN
    80.0,  4.104888E-1,     5.10494,  4.099270E-1,     4.63129, 1.700912E-11,     6.16636,          NaN,         NaN
    85.0,  1.182594E-1,     5.00644,  1.142994E-1,     4.46995, 6.081509E-12,     6.94686,          NaN,         NaN
    90.0,  2.051121E-1,     6.59925,  2.019923E-1,     6.10839, 1.684384E-11,     5.66451,          NaN,         NaN
    95.0,  3.162802E-1,     6.94703,  3.164487E-1,     6.42834, 2.426241E-11,     6.67645,          NaN,         NaN
   100.0,  3.574244E-1,     7.48024,  3.646791E-1,     6.93385, 1.854886E-11,     7.33826,          NaN,         NaN
   105.0,  3.751826E-1,     8.68827,  3.889022E-1,     8.09670, 1.214142E-11,     8.47034,          NaN,         NaN
   110.0,  3.853800E-1,     9.20765,  3.990373E-1,     8.57513, 2.156238E-11,     8.77767,          NaN,         NaN
   115.0,  6.139489E-1,     9.55678,  6.226006E-1,     8.89414, 2.184831E-11,     8.82884,          NaN,         NaN
   120.0,  4.884310E-1,    10.79300,  4.876534E-1,    10.09981, 1.959667E-11,    10.52170,          NaN,         NaN
   125.0,  5.391926E-1,    11.85216,  5.393841E-1,    11.14439, 2.020019E-11,    11.32521,          NaN,         NaN
   130.0,  5.725730E-1,    12.46270,  5.753043E-1,    11.73740, 1.846169E-11,    12.23691,          NaN,         NaN
   135.0,  5.395078E-1,    13.04560,  5.493349E-1,    12.28934, 1.663838E-11,    12.94519,          NaN,         NaN
   140.0,  5.990945E-1,    13.75454,  6.111100E-1,    12.95862, 2.348485E-11,    13.19613,          NaN,         NaN
   145.0,  6.087728E-1,    14.57169,  6.190556E-1,    13.74146, 2.243508E-11,    14.44107,          NaN,         NaN
   150.0,  5.624568E-1,    15.40691,  5.727685E-1,    14.53810, 1.633227E-11,    15.20483,          NaN,         NaN
   155.0,  6.885174E-1,    16.07407,  6.936351E-1,    15.18948, 1.685013E-11,    15.48036,          NaN,         NaN
   160.0,  6.621450E-1,    16.81163,  6.623346E-1,    15.90378, 2.443978E-11,    16.17681,          NaN,         NaN
   165.0,  7.213221E-1,    17.60918,  7.265757E-1,    16.67139, 2.830717E-11,    16.92795,          NaN,         NaN
   170.0,  8.429303E-1,    18.29549,  8.487036E-1,    17.33426, 2.801031E-11,    17.85271,          NaN,         NaN
   175.0,  7.883909E-1,    19.09653,  7.995471E-1,    18.10546, 2.760969E-11,    18.56086,          NaN,         NaN
   180.0,  6.805567E-1,    20.06356,  6.915374E-1,    19.03933, 2.273842E-11,    19.43984,          NaN,         NaN
   185.0,  7.547857E-1,    20.70281,  7.691044E-1,    19.64801, 3.087012E-11,    20.09057,          NaN,         NaN
   190.0,  7.191257E-1,    21.22766,  7.272884E-1,    20.13571, 2.557192E-11,    20.72891,          NaN,         NaN
   195.0,  7.818278E-1,    22.03015,  7.867513E-1,    20.91078, 2.724842E-11,    21.50575,          NaN,         NaN
   200.0,  8.382658E-1,    22.76822,  8.426366E-1,    21.62062, 2.304050E-11,    22.20458,          NaN,         NaN
   204.9,  7.343668E-1,    23.64001,  7.385769E-1,    22.47157, 1.679610E-11,    23.00079,          NaN,         NaN
   209.9,  7.610344E-1,    24.15143,  7.717548E-1,    22.95486, 3.050308E-11,    23.28362,          NaN,         NaN
   214.9,  7.182293E-1,    24.83129,  7.352122E-1,    23.60343, 2.514618E-11,    24.22841,          NaN,         NaN
   219.9,  9.607270E-1,    25.66845,  9.841962E-1,    24.41366, 3.389032E-11,    25.32042,          NaN,         NaN
   224.9,  1.045394E+0,    26.38110,  1.070658E+0,    25.09496, 3.564988E-11,    25.56853,          NaN,         NaN
   229.9,  9.451421E-1,    27.23895,  9.670259E-1,    25.91809, 2.718735E-11,    26.74264,          NaN,         NaN
   234.9,  8.442704E-1,    27.89450,  8.570142E-1,    26.55590, 3.345423E-11,    27.12371,          NaN,         NaN
   239.9,  8.667151E-1,    28.61086,  8.837499E-1,    27.24027, 2.512245E-11,    27.81635,          NaN,         NaN
   244.9,  9.377205E-1,    29.37858,  9.520452E-1,    27.98710, 3.313119E-11,    28.15049,          NaN,         NaN
   249.9,  1.054518E+0,    30.18078,  1.080498E+0,    28.76160, 3.586841E-11,    29.36134,          NaN,         NaN
   254.9,  9.506906E-1,    30.82281,  9.762216E-1,    29.37921, 4.113633E-11,    29.79045,          NaN,         NaN
   259.9,  8.252594E-1,    31.63215,  8.501086E-1,    30.15041, 3.609731E-11,    30.82944,          NaN,         NaN
   264.9,  1.007980E+0,    32.14048,  1.029535E+0,    30.62858, 3.195045E-11,    31.20913,          NaN,         NaN
   269.9,  9.539071E-1,    32.91946,  9.718794E-1,    31.37299, 3.289807E-11,    31.92032,          NaN,         NaN
   274.9,  1.143620E+0,    33.81355,  1.169088E+0,    32.24057, 4.504915E-11,    32.88359,          NaN,         NaN
   279.9,  1.016167E+0,    34.43899,  1.031801E+0,    32.84691, 2.568626E-11,    33.82090,          NaN,         NaN
   284.9,  9.657244E-1,    35.33063,  9.903474E-1,    33.71687, 2.837505E-11,    34.28599,          NaN,         NaN
   289.9,  1.029419E+0,    35.93729,  1.049666E+0,    34.28696, 4.180805E-11,    35.02555,          NaN,         NaN
   294.9,  1.040387E+0,    36.74035,  1.072769E+0,    35.05825, 3.709206E-11,    35.93367,          NaN,         NaN
   299.9,  9.999469E-1,    37.42349,  1.031830E+0,    35.71157, 2.527051E-11,    36.53120,          NaN,         NaN
   304.9,  9.282925E-1,    38.21277,  9.495802E-1,    36.46980, 3.910430E-11,    37.26721,          NaN,         NaN
   309.9,  8.806425E-1,    38.87538,  8.966552E-1,    37.10191, 2.622899E-11,    38.20470,          NaN,         NaN
   314.9,  8.364251E-1,    39.65652,  8.520350E-1,    37.86007, 3.303672E-11,    38.75253,          NaN,         NaN
   319.9,  9.853861E-1,    40.22199,  1.011894E+0,    38.38746, 3.267863E-11,    39.38062,          NaN,         NaN
   324.9,  8.954129E-1,    40.96091,  9.262999E-1,    39.10143, 3.562420E-11,    40.17156,          NaN,         NaN
   329.9,  9.565586E-1,    41.75248,  9.973954E-1,    39.87525, 3.243884E-11,    41.03543,          NaN,         NaN
   334.9,  9.034114E-1,    42.40158,  9.294254E-1,    40.48250, 3.081228E-11,    41.48701,          NaN,         NaN
   339.9,  9.623277E-1,    43.14073,  9.959282E-1,    41.19546, 3.013152E-11,    42.39750,          NaN,         NaN
   344.9,  9.080306E-1,    43.76698,  9.455301E-1,    41.79436, 3.382661E-11,    42.71265,          NaN,         NaN
   349.9,  9.612139E-1,    44.68114,  9.956026E-1,    42.68584, 2.840468E-11,    43.95906,          NaN,         NaN
   354.9,  9.637721E-1,    45.30156,  9.956313E-1,    43.28005, 3.228399E-11,    44.45012,          NaN,         NaN
   359.9,  9.316943E-1,    46.04993,  9.635497E-1,    43.99587, 3.857026E-11,    44.91614,          NaN,         NaN
   364.9,  9.386103E-1,    46.72020,  9.715323E-1,    44.62796, 2.597917E-11,    45.88413,          NaN,         NaN
   369.9,  8.910000E-1,    47.48658,  9.238528E-1,    45.37620, 3.217988E-11,    46.39829,          NaN,         NaN
   374.9,  9.150008E-1,    48.19883,  9.564960E-1,    46.05806, 3.135011E-11,    47.14486,          NaN,         NaN
   379.9,  8.695047E-1,    48.86015,  8.967667E-1,    46.68637, 2.778896E-11,    48.00996,          NaN,         NaN
   384.9,  9.661402E-1,    49.57917,  1.007488E+0,    47.38228, 3.326444E-11,    48.61639,          NaN,         NaN
   389.9,  9.070336E-1,    50.34091,  9.513103E-1,    48.10518, 3.445709E-11,    49.56890,          NaN,         NaN
   394.9,  9.440593E-1,    51.10111,  9.827769E-1,    48.84706, 2.862511E-11,    50.48540,          NaN,         NaN
   399.9,  8.895133E-1,    51.71360,  9.328183E-1,    49.43296, 2.547413E-11,    50.65238,          NaN,         NaN
