Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1850.000,    -0.004652,     0.005327,     0.007940,
  1850.050,     0.000798,     0.004644,    -0.003035,
  1850.100,     0.006660,     0.000494,    -0.010839,
  1850.150,    -0.002560,    -0.012417,    -0.000767,
  1850.200,    -0.000246,     0.001952,     0.006700,
  1850.250,    -0.010565,    -0.007773,    -0.003237,
  1850.300,    -0.012013,    -0.013812,     0.001208,
  1850.350,    -0.002022,    -0.017007,     0.000038,
  1850.400,    -0.015250,    -0.014912,     0.004589,
  1850.450,    -0.004396,    -0.021771,    -0.002278,
  1850.500,    -0.008622,    -0.023108,     0.002163,
  1850.550,    -0.011967,    -0.024808,    -0.005005,
  1850.600,    -0.011055,    -0.016876,    -0.008380,
  1850.650,    -0.025880,    -0.013018,    -0.001372,
  1850.700,    -0.029450,    -0.002945,     0.000382,
  1850.750,    -0.036025,    -0.012785,    -0.002555,
  1850.800,    -0.029510,     0.000119,    -0.002379,
  1850.850,    -0.043499,     0.006360,     0.004739,
  1850.900,    -0.043668,    -0.000172,     0.005158,
  1850.950,    -0.062452,     0.009523,    -0.001741,
  1851.000,    -0.069706,    -0.005426,     0.004720,
  1851.050,    -0.059144,     0.010816,     0.000252,
  1851.100,    -0.066213,     0.017456,     0.003908,
  1851.150,    -0.068760,     0.014901,     0.001434,
  1851.200,    -0.081785,     0.027407,     0.000236,
  1851.250,    -0.084519,     0.028848,    -0.002860,
  1851.300,    -0.072062,     0.038784,    -0.001262,
  1851.350,    -0.088289,     0.046202,     0.005821,
  1851.400,    -0.079859,     0.049045,    -0.001041,
  1851.450,    -0.087394,     0.051292,    -0.012534,
  1851.500,    -0.089018,     0.064973,     0.003078,
  1851.550,    -0.074768,     0.063406,    -0.001199,
  1851.600,    -0.077250,     0.061574,     0.004343,
  1851.650,    -0.064534,     0.072142,    -0.000888,
  1851.700,    -0.057824,     0.077274,    -0.003312,
  1851.750,    -0.042838,     0.086347,    -0.003059,
  1851.800,    -0.044433,     0.090572,     0.010603,
  1851.850,    -0.030215,     0.106024,     0.002176,
  1851.900,    -0.016351,     0.107917,    -0.000639,
  1851.950,    -0.005722,     0.113223,    -0.001555,
  1852.000,    -0.000325,     0.114624,     0.001391,
  1852.050,     0.009319,     0.118951,    -0.000142,
  1852.100,     0.024870,     0.122972,    -0.001610,
  1852.150,     0.024987,     0.129342,    -0.002670,
  1852.200,     0.038216,     0.131181,     0.001170,
  1852.250,     0.049770,     0.135576,     0.011381,
  1852.300,     0.036171,     0.134070,     0.001017,
  1852.350,     0.065315,     0.141658,     0.006408,
  1852.400,     0.061684,     0.148475,     0.001759,
  1852.450,     0.069213,     0.149384,    -0.002497,
  1852.500,     0.069252,     0.166084,    -0.005742,
  1852.550,     0.079350,     0.160329,     0.006045,
  1852.600,     0.066966,     0.173090,     0.002356,
  1852.650,     0.078425,     0.185796,    -0.001084,
  1852.700,     0.080547,     0.193993,    -0.004091,
  1852.750,     0.082408,     0.197439,     0.002577,
  1852.800,     0.083877,     0.199720,     0.003228,
  1852.850,     0.092662,     0.198637,     0.003428,
  1852.900,     0.095399,     0.210756,    -0.001124,
  1852.950,     0.108378,     0.217572,     0.005520,
  1853.000,     0.113240,     0.217139,    -0.005644,
  1853.050,     0.117430,     0.220789,    -0.006335,
  1853.100,     0.121744,     0.222872,     0.005942,
  1853.150,     0.144095,     0.231366,     0.000083,
  1853.200,     0.140161,     0.226809,     0.010640,
  1853.250,     0.139538,     0.233924,     0.009278,
  1853.300,     0.152600,     0.220170,    -0.002369,
  1853.350,     0.152283,     0.225591,     0.002580,
  1853.400,     0.162946,     0.209559,     0.006520,
  1853.450,     0.158698,     0.198337,     0.003034,
  1853.500,     0.165271,     0.191375,     0.000133,
  1853.550,     0.167640,     0.168594,     0.005980,
  1853.600,     0.169820,     0.153878,     0.004867,
  1853.650,     0.166522,     0.135910,    -0.000883,
  1853.700,     0.162351,     0.103020,    -0.005663,
  1853.750,     0.147465,     0.082770,     0.000360,
  1853.800,     0.135732,     0.048859,    -0.003775,
  1853.850,     0.126739,     0.023861,    -0.004748,
  1853.900,     0.100079,     0.002175,    -0.003386,
  1853.950,     0.092036,    -0.027050,     0.007895,
  1854.000,     0.059131,    -0.058765,    -0.007018,
  1854.050,     0.053618,    -0.079412,     0.003425,
  1854.100,     0.022103,    -0.114772,    -0.000844,
  1854.150,    -0.002226,    -0.144449,     0.007755,
  1854.200,    -0.030000,    -0.158774,     0.008286,
  1854.250,    -0.060671,    -0.195611,    -0.000528,
  1854.300,    -0.098940,    -0.230690,     0.003589,
  1854.350,    -0.127437,    -0.251305,     0.001585,
  1854.400,    -0.161707,    -0.268208,    -0.000066,
  1854.450,    -0.190216,    -0.290732,     0.000074,
  1854.500,    -0.221112,    -0.302525,     0.001586,
  1854.550,    -0.244654,    -0.316210,    -0.002649,
  1854.600,    -0.276188,    -0.320271,    -0.001810,
  1854.650,    -0.302277,    -0.319729,     0.005097,
  1854.700,    -0.323038,    -0.323750,    -0.000579,
  1854.750,    -0.350877,    -0.327508,     0.001859,
  1854.800,    -0.362673,    -0.318665,     0.000810,
  1854.850,    -0.376543,    -0.313099,    -0.000038,
  1854.900,    -0.393989,    -0.295705,     0.000622,
  1854.950,    -0.405872,    -0.289528,     0.007177,
  1855.000,    -0.403742,    -0.265973,    -0.001947,
  1855.050,    -0.409607,    -0.247947,    -0.006353,
  1855.100,    -0.416061,    -0.240174,    -0.005179,
  1855.150,    -0.409522,    -0.207946,    -0.006182,
  1855.200,    -0.390212,    -0.192221,     0.003969,
  1855.250,    -0.370854,    -0.166969,     0.000518,
  1855.300,    -0.372967,    -0.160723,    -0.005760,
  1855.350,    -0.352943,    -0.158355,     0.001319,
  1855.400,    -0.340259,    -0.142044,     0.007731,
  1855.450,    -0.310588,    -0.129845,     0.004538,
  1855.500,    -0.295114,    -0.130420,    -0.001639,
  1855.550,    -0.280650,    -0.127770,    -0.003516,
  1855.600,    -0.257975,    -0.114440,     0.005890,
  1855.650,    -0.247164,    -0.114060,     0.003906,
  1855.700,    -0.231726,    -0.107839,     0.003960,
  1855.750,    -0.212830,    -0.115472,     0.002099,
  1855.800,    -0.204830,    -0.126991,    -0.001054,
  1855.850,    -0.188173,    -0.120360,     0.000454,
  1855.900,    -0.171312,    -0.133378,    -0.000189,
  1855.950,    -0.173872,    -0.149715,    -0.001226,
  1856.000,    -0.172327,    -0.157634,     0.004498,
  1856.050,    -0.159269,    -0.184129,     0.004613,
  1856.100,    -0.166852,    -0.185521,    -0.006025,
  1856.150,    -0.171029,    -0.198700,     0.000857,
  1856.200,    -0.180429,    -0.219573,    -0.000077,
  1856.250,    -0.188082,    -0.220575,     0.003224,
  1856.300,    -0.201216,    -0.249908,     0.000105,
  1856.350,    -0.206764,    -0.253813,    -0.004120,
  1856.400,    -0.218248,    -0.275891,     0.002352,
  1856.450,    -0.236873,    -0.280497,     0.001945,
  1856.500,    -0.235539,    -0.296796,     0.007579,
  1856.550,    -0.245732,    -0.301847,     0.005635,
  1856.600,    -0.273935,    -0.310965,    -0.009091,
  1856.650,    -0.292420,    -0.324767,    -0.003494,
  1856.700,    -0.298515,    -0.331338,     0.002075,
  1856.750,    -0.310775,    -0.321330,     0.006073,
  1856.800,    -0.324219,    -0.330596,     0.002145,
  1856.850,    -0.336009,    -0.326045,    -0.000674,
  1856.900,    -0.346987,    -0.320413,     0.002139,
  1856.950,    -0.354908,    -0.318763,    -0.003404,
  1857.000,    -0.358244,    -0.317671,    -0.002492,
  1857.050,    -0.367659,    -0.304587,     0.002649,
  1857.100,    -0.378355,    -0.299278,    -0.001504,
  1857.150,    -0.379130,    -0.284542,    -0.001710,
  1857.200,    -0.373152,    -0.275205,     0.002346,
  1857.250,    -0.374323,    -0.260482,    -0.000408,
  1857.300,    -0.365470,    -0.237359,     0.000996,
  1857.350,    -0.370414,    -0.227583,     0.004735,
