Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1850.000,    -0.002861,     0.005327,    -0.003275,
  1850.050,    -0.005312,     0.004644,     0.007448,
  1850.100,    -0.000718,     0.000494,    -0.008368,
  1850.150,     0.001638,    -0.012417,     0.001687,
  1850.200,     0.007253,     0.001952,     0.002508,
  1850.250,     0.011701,    -0.007773,    -0.004296,
  1850.300,     0.007956,    -0.013812,    -0.003220,
  1850.350,     0.014656,    -0.017007,    -0.005340,
  1850.400,     0.017640,    -0.014912,     0.006180,
  1850.450,     0.018703,    -0.021771,    -0.004269,
  1850.500,     0.021190,    -0.023108,    -0.003418,
  1850.550,     0.007206,    -0.024808,    -0.004156,
  1850.600,     0.013200,    -0.016876,    -0.005029,
  1850.650,     0.019890,    -0.013018,     0.000240,
  1850.700,     0.015742,    -0.002945,    -0.003597,
  1850.750,     0.027198,    -0.012785,    -0.000842,
  1850.800,     0.027715,     0.000119,    -0.002330,
  1850.850,     0.030746,     0.006360,    -0.007084,
  1850.900,     0.042798,    -0.000172,     0.003431,
  1850.950,     0.041950,     0.009523,    -0.009508,
  1851.000,     0.045146,    -0.005426,    -0.005267,
  1851.050,     0.063171,     0.010816,    -0.004445,
  1851.100,     0.061129,     0.017456,    -0.001268,
  1851.150,     0.057623,     0.014901,    -0.005755,
  1851.200,     0.061141,     0.027407,    -0.008689,
  1851.250,     0.060906,     0.028848,     0.005096,
  1851.300,     0.056917,     0.038784,    -0.007008,
  1851.350,     0.045230,     0.046202,    -0.004019,
  1851.400,     0.045920,     0.049045,    -0.003887,
  1851.450,     0.036016,     0.051292,    -0.004938,
  1851.500,     0.031878,     0.064973,     0.002230,
  1851.550,     0.031758,     0.063406,    -0.004121,
  1851.600,     0.031005,     0.061574,    -0.002496,
  1851.650,     0.022495,     0.072142,    -0.007108,
  1851.700,     0.011419,     0.077274,     0.002463,
  1851.750,     0.014811,     0.086347,     0.005290,
  1851.800,     0.018217,     0.090572,     0.000321,
  1851.850,     0.003346,     0.106024,     0.000458,
  1851.900,    -0.003794,     0.107917,    -0.002320,
  1851.950,    -0.003397,     0.113223,    -0.002221,
  1852.000,    -0.010276,     0.114624,    -0.002606,
  1852.050,    -0.004734,     0.118951,     0.009148,
  1852.100,    -0.024160,     0.122972,    -0.000713,
  1852.150,    -0.019957,     0.129342,     0.002912,
  1852.200,    -0.031952,     0.131181,     0.000546,
  1852.250,    -0.037999,     0.135576,    -0.004252,
  1852.300,    -0.054232,     0.134070,    -0.002609,
  1852.350,    -0.060731,     0.141658,     0.001988,
  1852.400,    -0.056445,     0.148475,     0.003973,
  1852.450,    -0.064903,     0.149384,    -0.002412,
  1852.500,    -0.068898,     0.166084,     0.002007,
  1852.550,    -0.072923,     0.160329,    -0.000149,
  1852.600,    -0.080217,     0.173090,    -0.000542,
  1852.650,    -0.088338,     0.185796,     0.001727,
  1852.700,    -0.089998,     0.193993,    -0.006434,
  1852.750,    -0.093086,     0.197439,     0.000881,
  1852.800,    -0.090684,     0.199720,    -0.004653,
  1852.850,    -0.089487,     0.198637,    -0.000737,
  1852.900,    -0.094434,     0.210756,    -0.001161,
  1852.950,    -0.096808,     0.217572,    -0.004691,
  1853.000,    -0.096771,     0.217139,    -0.007522,
  1853.050,    -0.088939,     0.220789,     0.007037,
  1853.100,    -0.091456,     0.222872,     0.000629,
  1853.150,    -0.102620,     0.231366,    -0.000664,
  1853.200,    -0.099857,     0.226809,    -0.006529,
  1853.250,    -0.098343,     0.233924,     0.002100,
  1853.300,    -0.101252,     0.220170,    -0.002236,
  1853.350,    -0.093852,     0.225591,    -0.000848,
  1853.400,    -0.100670,     0.209559,     0.001453,
  1853.450,    -0.109018,     0.198337,     0.001084,
  1853.500,    -0.090374,     0.191375,    -0.010147,
