Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1850.000,    -0.009506,     0.005327,    -0.003177,
  1850.050,     0.000172,     0.004644,     0.001770,
  1850.100,    -0.004723,     0.000494,     0.003656,
  1850.150,     0.007292,    -0.012417,    -0.001042,
  1850.200,     0.006765,     0.001952,    -0.001207,
  1850.250,     0.002647,    -0.007773,     0.000283,
  1850.300,    -0.002845,    -0.013812,     0.000602,
  1850.350,     0.006177,    -0.017007,    -0.000359,
  1850.400,    -0.003414,    -0.014912,    -0.001002,
  1850.450,    -0.005915,    -0.021771,    -0.002759,
  1850.500,    -0.016747,    -0.023108,    -0.007798,
  1850.550,    -0.021375,    -0.024808,     0.003384,
  1850.600,    -0.029593,    -0.016876,     0.008207,
  1850.650,    -0.032353,    -0.013018,     0.002101,
  1850.700,    -0.037157,    -0.002945,    -0.001177,
  1850.750,    -0.044117,    -0.012785,     0.000265,
  1850.800,    -0.055764,     0.000119,     0.005573,
  1850.850,    -0.054828,     0.006360,    -0.003554,
  1850.900,    -0.072463,    -0.000172,    -0.002240,
  1850.950,    -0.084817,     0.009523,    -0.002922,
  1851.000,    -0.086764,    -0.005426,     0.000849,
  1851.050,    -0.088102,     0.010816,    -0.002270,
  1851.100,    -0.093987,     0.017456,     0.005422,
  1851.150,    -0.108094,     0.014901,    -0.005599,
  1851.200,    -0.093870,     0.027407,     0.007912,
  1851.250,    -0.097345,     0.028848,    -0.005421,
  1851.300,    -0.098757,     0.038784,    -0.006834,
  1851.350,    -0.094104,     0.046202,     0.004004,
  1851.400,    -0.086558,     0.049045,     0.003221,
  1851.450,    -0.080255,     0.051292,    -0.001432,
  1851.500,    -0.089810,     0.064973,     0.002138,
  1851.550,    -0.077159,     0.063406,    -0.004302,
  1851.600,    -0.076330,     0.061574,     0.008945,
  1851.650,    -0.076351,     0.072142,     0.001792,
  1851.700,    -0.067083,     0.077274,     0.004168,
  1851.750,    -0.060998,     0.086347,    -0.000401,
  1851.800,    -0.057190,     0.090572,     0.001214,
  1851.850,    -0.048175,     0.106024,     0.003600,
  1851.900,    -0.045135,     0.107917,    -0.002195,
  1851.950,    -0.045600,     0.113223,    -0.003109,
  1852.000,    -0.023394,     0.114624,     0.003722,
  1852.050,    -0.012938,     0.118951,    -0.003550,
  1852.100,    -0.022521,     0.122972,     0.004339,
  1852.150,    -0.021443,     0.129342,    -0.001300,
  1852.200,    -0.004030,     0.131181,    -0.004992,
  1852.250,     0.004202,     0.135576,     0.002697,
  1852.300,     0.002552,     0.134070,     0.007559,
  1852.350,     0.002133,     0.141658,     0.000755,
  1852.400,     0.013832,     0.148475,     0.002779,
  1852.450,     0.013194,     0.149384,    -0.000286,
  1852.500,     0.020734,     0.166084,     0.003351,
  1852.550,     0.038860,     0.160329,    -0.001419,
  1852.600,     0.032405,     0.173090,    -0.000899,
  1852.650,     0.033800,     0.185796,     0.002904,
  1852.700,     0.039149,     0.193993,     0.001366,
  1852.750,     0.050897,     0.197439,     0.000158,
  1852.800,     0.063811,     0.199720,    -0.000833,
  1852.850,     0.070135,     0.198637,     0.002651,
  1852.900,     0.078032,     0.210756,     0.012375,
  1852.950,     0.096970,     0.217572,     0.002488,
  1853.000,     0.098769,     0.217139,     0.001010,
  1853.050,     0.104097,     0.220789,    -0.000222,
  1853.100,     0.126801,     0.222872,     0.000181,
  1853.150,     0.126741,     0.231366,     0.001530,
  1853.200,     0.136795,     0.226809,    -0.000412,
  1853.250,     0.155095,     0.233924,    -0.001073,
  1853.300,     0.170695,     0.220170,     0.001235,
  1853.350,     0.160556,     0.225591,     0.000509,
  1853.400,     0.177001,     0.209559,    -0.000871,
  1853.450,     0.176840,     0.198337,     0.001572,
  1853.500,     0.176063,     0.191375,     0.002205,
  1853.550,     0.170424,     0.168594,     0.004422,
  1853.600,     0.167226,     0.153878,     0.004533,
  1853.650,     0.145517,     0.135910,     0.008537,
  1853.700,     0.133815,     0.103020,    -0.001400,
  1853.750,     0.111226,     0.082770,     0.000468,
  1853.800,     0.090952,     0.048859,    -0.003031,
  1853.850,     0.069875,     0.023861,    -0.000577,
  1853.900,     0.044955,     0.002175,     0.005725,
  1853.950,     0.007122,    -0.027050,     0.000733,
  1854.000,    -0.014854,    -0.058765,     0.000384,
  1854.050,    -0.048976,    -0.079412,    -0.004369,
  1854.100,    -0.088432,    -0.114772,     0.003414,
