Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1850.000,     0.014537,    -0.007183,     0.006331,
  1850.050,     0.005291,    -0.005348,    -0.002142,
  1850.100,    -0.008111,     0.009109,    -0.001412,
  1850.150,    -0.006941,     0.002081,    -0.005650,
  1850.200,    -0.004776,     0.001341,     0.002874,
  1850.250,    -0.001182,    -0.005244,    -0.007973,
  1850.300,    -0.009011,    -0.010932,    -0.000893,
  1850.350,    -0.010149,    -0.003416,    -0.001399,
  1850.400,    -0.017537,    -0.006713,    -0.002087,
  1850.450,    -0.027749,     0.009773,     0.004118,
  1850.500,    -0.030598,     0.006236,    -0.011305,
  1850.550,    -0.039853,     0.000976,    -0.002548,
  1850.600,    -0.060273,    -0.005563,    -0.004166,
  1850.650,    -0.060623,    -0.003609,     0.010895,
  1850.700,    -0.074290,    -0.022771,    -0.006322,
  1850.750,    -0.091581,    -0.021972,    -0.001571,
  1850.800,    -0.102701,    -0.022313,    -0.003987,
  1850.850,    -0.093611,    -0.020731,    -0.010116,
  1850.900,    -0.107938,    -0.009829,    -0.001701,
  1850.950,    -0.115192,    -0.007908,     0.004548,
  1851.000,    -0.113286,    -0.004837,    -0.004750,
  1851.050,    -0.124532,    -0.006153,    -0.008718,
  1851.100,    -0.129876,    -0.018382,    -0.004452,
  1851.150,    -0.133135,    -0.029283,    -0.004482,
  1851.200,    -0.130078,    -0.020650,    -0.006373,
  1851.250,    -0.129496,    -0.011574,    -0.005015,
  1851.300,    -0.133066,    -0.019723,    -0.003662,
  1851.350,    -0.123246,    -0.011048,    -0.009260,
  1851.400,    -0.121206,    -0.009582,    -0.003805,
  1851.450,    -0.121771,    -0.000051,    -0.000338,
  1851.500,    -0.115763,     0.000672,    -0.004014,
  1851.550,    -0.101108,    -0.009875,    -0.001932,
  1851.600,    -0.095566,    -0.008916,     0.001921,
  1851.650,    -0.091687,    -0.005317,    -0.011107,
  1851.700,    -0.081753,    -0.001085,    -0.007687,
  1851.750,    -0.072225,     0.003420,    -0.004863,
  1851.800,    -0.060878,     0.015558,    -0.004450,
  1851.850,    -0.042345,     0.023386,    -0.003889,
  1851.900,    -0.039308,     0.041444,    -0.003358,
  1851.950,    -0.033194,     0.053510,    -0.000058,
  1852.000,    -0.019060,     0.052170,    -0.008860,
  1852.050,    -0.001067,     0.062379,    -0.003129,
  1852.100,     0.010444,     0.053991,    -0.008387,
  1852.150,     0.018006,     0.065490,    -0.010704,
  1852.200,     0.016507,     0.072552,    -0.002480,
  1852.250,     0.036281,     0.077778,    -0.010517,
  1852.300,     0.042668,     0.085674,    -0.003372,
  1852.350,     0.053152,     0.104887,    -0.008758,
  1852.400,     0.067714,     0.106594,     0.002371,
  1852.450,     0.073512,     0.108006,    -0.006967,
  1852.500,     0.077581,     0.115142,    -0.004850,
  1852.550,     0.081125,     0.110984,    -0.003382,
  1852.600,     0.080223,     0.118065,    -0.000512,
  1852.650,     0.075169,     0.108537,    -0.003504,
  1852.700,     0.092686,     0.116811,    -0.004397,
  1852.750,     0.094065,     0.112518,    -0.003626,
  1852.800,     0.092527,     0.116330,     0.003985,
  1852.850,     0.091263,     0.127390,    -0.002981,
  1852.900,     0.100375,     0.127151,    -0.006268,
  1852.950,     0.101630,     0.143639,    -0.005432,
  1853.000,     0.112205,     0.141769,    -0.007444,
  1853.050,     0.113055,     0.138017,    -0.011862,
  1853.100,     0.112754,     0.147728,    -0.006861,
  1853.150,     0.115378,     0.141911,    -0.009348,
  1853.200,     0.114189,     0.145754,     0.002564,
  1853.250,     0.122241,     0.149163,    -0.004714,
  1853.300,     0.117376,     0.162820,     0.001455,
  1853.350,     0.131491,     0.176862,    -0.000737,
  1853.400,     0.138491,     0.167329,    -0.002588,
  1853.450,     0.144791,     0.172381,    -0.006039,
  1853.500,     0.144608,     0.177069,    -0.005367,
  1853.550,     0.149582,     0.176289,    -0.000217,
  1853.600,     0.159336,     0.172209,     0.003273,
  1853.650,     0.158700,     0.161804,    -0.001595,
  1853.700,     0.162731,     0.149144,     0.001145,
  1853.750,     0.148485,     0.144852,    -0.001075,
  1853.800,     0.143189,     0.138350,    -0.006097,
  1853.850,     0.139513,     0.124609,    -0.000975,
  1853.900,     0.118044,     0.120464,    -0.002834,
  1853.950,     0.111867,     0.109535,    -0.000840,
  1854.000,     0.098972,     0.085203,    -0.006021,
  1854.050,     0.082740,     0.073276,     0.001914,
  1854.100,     0.058351,     0.051319,    -0.003027,
  1854.150,     0.031632,     0.025256,    -0.009049,
  1854.200,    -0.005184,     0.001260,    -0.008842,
  1854.250,    -0.013697,    -0.027019,    -0.017809,
  1854.300,    -0.052363,    -0.047906,    -0.014105,
  1854.350,    -0.099436,    -0.082183,     0.000558,
  1854.400,    -0.128556,    -0.117001,    -0.000534,
  1854.450,    -0.156120,    -0.148534,    -0.005152,
  1854.500,    -0.198065,    -0.163995,    -0.004537,
  1854.550,    -0.235287,    -0.198545,    -0.009320,
  1854.600,    -0.261784,    -0.225601,    -0.006429,
  1854.650,    -0.299767,    -0.256937,    -0.003228,
  1854.700,    -0.328367,    -0.279524,     0.002067,
  1854.750,    -0.363447,    -0.297493,     0.010796,
  1854.800,    -0.381355,    -0.313725,     0.005194,
