Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  1.877631E-2,    -0.00000,  1.851474E-2,    -0.00000, 7.844981E-13,    -2.74780,          NaN,         NaN
     5.0,  9.920236E-3,    -1.41533,  9.596289E-3,    -1.38908, 6.557367E-12,    -1.44788,          NaN,         NaN
    10.0,  2.124791E-2,    -0.65065,  2.136319E-2,    -0.66002, 8.815462E-12,    -2.17793,          NaN,         NaN
    15.0,  2.857820E-2,    -0.64956,  2.877380E-2,    -0.65460, 6.719806E-12,    -3.41426,          NaN,         NaN
    20.0,  3.101267E-2,     0.00340,  3.069365E-2,    -0.03431, 1.035097E-11,    -2.94650,          NaN,         NaN
    25.0,  2.415624E-2,    -2.06655,  2.446115E-2,    -2.04865, 1.426682E-11,    -2.91479,          NaN,         NaN
    30.0,  3.461939E-2,    -0.19358,  3.395053E-2,    -0.22669, 6.238478E-12,    -2.83102,          NaN,         NaN
    35.0,  1.766452E-2,    -1.88598,  1.831290E-2,    -1.93821, 7.326430E-12,    -3.86732,          NaN,         NaN
    40.0,  5.856611E-2,    -2.77780,  5.873248E-2,    -2.80190, 9.808652E-12,    -2.03642,          NaN,         NaN
    45.0,  1.105952E-1,    -2.54464,  1.105573E-1,    -2.58306, 1.254533E-11,    -4.21852,          NaN,         NaN
    50.0,  1.990542E-1,    -1.17487,  1.972276E-1,    -1.21520, 1.119841E-11,    -2.28884,          NaN,         NaN
    55.0,  2.624209E-1,     0.76178,  2.599404E-1,     0.72058, 1.276431E-11,    -0.74990,          NaN,         NaN
    60.0,  5.112075E-2,     0.32938,  4.998574E-2,     0.29402, 1.065070E-11,    -1.76363,          NaN,         NaN
    65.0,  1.076048E-1,     2.10748,  1.074250E-1,     2.07306, 1.113594E-11,     0.31057,          NaN,         NaN
    70.0,  3.376890E-1,     2.69439,  3.366465E-1,     2.64746, 2.054859E-11,     0.54579,          NaN,         NaN
    75.0,  2.993864E-1,     3.55898,  2.985736E-1,     3.50377, 9.572124E-12,     1.99862,          NaN,         NaN
    80.0,  4.049815E-1,     4.85996,  4.025141E-1,     4.80375, 2.621849E-11,     3.04767,          NaN,         NaN
    85.0,  1.136423E-1,     4.72156,  1.125357E-1,     4.66166, 1.017173E-11,     1.18927,          NaN,         NaN
    90.0,  2.011900E-1,     6.33924,  1.990269E-1,     6.28245, 8.712195E-12,     1.42151,          NaN,         NaN
    95.0,  3.102211E-1,     6.68158,  3.085197E-1,     6.61913, 1.320137E-11,     2.57080,          NaN,         NaN
   100.0,  3.543578E-1,     7.19879,  3.527953E-1,     7.13257, 1.976406E-11,     3.90264,          NaN,         NaN
   105.0,  3.756060E-1,     8.38420,  3.756151E-1,     8.31353, 2.004512E-11,     5.40897,          NaN,         NaN
   110.0,  3.890394E-1,     8.87935,  3.882510E-1,     8.80174, 1.958418E-11,     5.13463,          NaN,         NaN
   115.0,  6.119219E-1,     9.20956,  6.090693E-1,     9.12774, 2.045899E-11,     6.23316,          NaN,         NaN
   120.0,  4.846790E-1,    10.43072,  4.820245E-1,    10.34528, 2.078706E-11,     7.00230,          NaN,         NaN
   125.0,  5.341658E-1,    11.48646,  5.316978E-1,    11.40073, 2.174569E-11,     8.18184,          NaN,         NaN
   130.0,  5.699828E-1,    12.08533,  5.669079E-1,    11.99788, 1.818624E-11,     8.66548,          NaN,         NaN
   135.0,  5.424485E-1,    12.65489,  5.405090E-1,    12.56253, 2.338729E-11,     9.41074,          NaN,         NaN
   140.0,  6.018618E-1,    13.34009,  6.002290E-1,    13.24336, 1.927141E-11,     9.58952,          NaN,         NaN
   145.0,  6.122399E-1,    14.14157,  6.090683E-1,    14.04210, 2.429110E-11,    10.89511,          NaN,         NaN
   150.0,  5.670068E-1,    14.95816,  5.639100E-1,    14.85371, 1.822690E-11,    11.02553,          NaN,         NaN
   155.0,  6.899303E-1,    15.62372,  6.867219E-1,    15.51848, 3.153697E-11,    11.89182,          NaN,         NaN
   160.0,  6.587322E-1,    16.34700,  6.555439E-1,    16.23861, 1.290400E-11,    13.12779,          NaN,         NaN
   165.0,  7.182410E-1,    17.12844,  7.145887E-1,    17.01699, 2.345208E-11,    13.63249,          NaN,         NaN
   170.0,  8.383132E-1,    17.80525,  8.346511E-1,    17.69095, 2.840026E-11,    14.24070,          NaN,         NaN
   175.0,  7.884078E-1,    18.58656,  7.846891E-1,    18.46870, 3.042544E-11,    15.06345,          NaN,         NaN
   180.0,  6.796433E-1,    19.53491,  6.778528E-1,    19.41132, 2.186576E-11,    15.48403,          NaN,         NaN
   185.0,  7.556414E-1,    20.16528,  7.527675E-1,    20.03852, 2.660987E-11,    16.53427,          NaN,         NaN
   190.0,  7.163341E-1,    20.66496,  7.136589E-1,    20.53520, 2.768778E-11,    17.03274,          NaN,         NaN
   195.0,  7.751424E-1,    21.45290,  7.721563E-1,    21.31968, 3.904423E-11,    17.44185,          NaN,         NaN
   200.0,  8.387204E-1,    22.17200,  8.338318E-1,    22.03672, 2.925000E-11,    18.31620,          NaN,         NaN
   205.0,  7.341826E-1,    23.03213,  7.287312E-1,    22.89431, 3.094320E-11,    19.10339,          NaN,         NaN
   210.0,  7.628456E-1,    23.53275,  7.585352E-1,    23.39028, 3.171864E-11,    19.75358,          NaN,         NaN
   215.0,  7.279087E-1,    24.19678,  7.259406E-1,    24.04991, 2.110687E-11,    21.20196,          NaN,         NaN
   220.0,  9.771482E-1,    25.02011,  9.723215E-1,    24.87172, 3.194406E-11,    21.10031,          NaN,         NaN
   225.0,  1.058173E+0,    25.71953,  1.055592E+0,    25.56796, 3.520184E-11,    22.01956,          NaN,         NaN
   230.0,  9.568882E-1,    26.56040,  9.522787E-1,    26.40418, 2.723833E-11,    22.85766,          NaN,         NaN
   235.0,  8.507540E-1,    27.20640,  8.472046E-1,    27.04756, 3.539779E-11,    23.23562,          NaN,         NaN
   240.0,  8.817414E-1,    27.90854,  8.766683E-1,    27.74387, 3.042822E-11,    23.96873,          NaN,         NaN
   245.0,  9.482274E-1,    28.66522,  9.432648E-1,    28.50026, 3.919862E-11,    24.84388,          NaN,         NaN
   250.0,  1.070875E+0,    29.45347,  1.066028E+0,    29.28387, 5.031641E-11,    25.76802,          NaN,         NaN
   255.0,  9.663610E-1,    30.08441,  9.621506E-1,    29.91235, 2.734540E-11,    26.38870,          NaN,         NaN
   260.0,  8.424566E-1,    30.87402,  8.388985E-1,    30.69625, 2.999138E-11,    26.88994,          NaN,         NaN
   265.0,  1.019404E+0,    31.36851,  1.014425E+0,    31.18878, 3.125819E-11,    27.60748,          NaN,         NaN
   270.0,  9.651500E-1,    32.12999,  9.609376E-1,    31.94593, 3.467617E-11,    28.35273,          NaN,         NaN
   275.0,  1.159391E+0,    33.00818,  1.153025E+0,    32.82122, 3.714629E-11,    29.27358,          NaN,         NaN
   280.0,  1.025797E+0,    33.62677,  1.019779E+0,    33.43688, 3.049444E-11,    29.77918,          NaN,         NaN
   285.0,  9.824746E-1,    34.50923,  9.775241E-1,    34.31512, 3.486335E-11,    30.93269,          NaN,         NaN
   290.0,  1.038740E+0,    35.09339,  1.033825E+0,    34.89686, 3.998229E-11,    31.19932,          NaN,         NaN
   295.0,  1.061482E+0,    35.88109,  1.057590E+0,    35.67971, 3.821651E-11,    32.00280,          NaN,         NaN
   300.0,  1.019000E+0,    36.54631,  1.014773E+0,    36.34302, 3.593376E-11,    33.00959,          NaN,         NaN
   305.0,  9.392868E-1,    37.32258,  9.349543E-1,    37.11446, 1.726368E-11,    33.62450,          NaN,         NaN
   310.0,  8.926660E-1,    37.97108,  8.885761E-1,    37.75959, 2.263140E-11,    34.24477,          NaN,         NaN
   315.0,  8.485674E-1,    38.73865,  8.452661E-1,    38.52389, 2.805652E-11,    34.76883,          NaN,         NaN
   320.0,  9.992391E-1,    39.27672,  9.945239E-1,    39.06032, 3.099188E-11,    35.42088,          NaN,         NaN
   325.0,  9.189791E-1,    40.00718,  9.151704E-1,    39.78679, 3.133196E-11,    35.98174,          NaN,         NaN
   330.0,  9.870725E-1,    40.79294,  9.821656E-1,    40.56919, 3.580661E-11,    36.53821,          NaN,         NaN
   335.0,  9.253070E-1,    41.42060,  9.213093E-1,    41.19119, 2.808422E-11,    37.27003,          NaN,         NaN
   340.0,  9.882836E-1,    42.14504,  9.839794E-1,    41.91265, 2.653159E-11,    37.85427,          NaN,         NaN
   345.0,  9.337105E-1,    42.76206,  9.307016E-1,    42.52705, 3.428285E-11,    38.66401,          NaN,         NaN
   350.0,  9.921299E-1,    43.66551,  9.862251E-1,    43.42568, 3.696456E-11,    39.51066,          NaN,         NaN
   355.0,  9.921153E-1,    44.27243,  9.862608E-1,    44.02864, 3.572274E-11,    39.95995,          NaN,         NaN
   360.0,  9.546159E-1,    45.00591,  9.506175E-1,    44.75921, 2.892203E-11,    41.08308,          NaN,         NaN
   365.0,  9.606232E-1,    45.65631,  9.569153E-1,    45.40713, 2.835920E-11,    41.63345,          NaN,         NaN
   370.0,  9.145247E-1,    46.41361,  9.105133E-1,    46.16081, 3.227753E-11,    42.52805,          NaN,         NaN
   375.0,  9.446065E-1,    47.10805,  9.403483E-1,    46.85165, 3.151685E-11,    43.22485,          NaN,         NaN
   380.0,  8.878837E-1,    47.75225,  8.836824E-1,    47.49233, 3.238932E-11,    43.45392,          NaN,         NaN
   385.0,  9.946457E-1,    48.46099,  9.902361E-1,    48.19755, 2.714803E-11,    43.98565,          NaN,         NaN
   390.0,  9.395093E-1,    49.20070,  9.350881E-1,    48.93444, 3.317889E-11,    44.63986,          NaN,         NaN
   395.0,  9.701340E-1,    49.95096,  9.650727E-1,    49.68071, 3.228136E-11,    45.54644,          NaN,         NaN
   400.0,  9.170268E-1,    50.55258,  9.138656E-1,    50.27943, 3.420090E-11,    46.11328,          NaN,         NaN
   405.0,  9.797327E-1,    51.37182,  9.758112E-1,    51.09575, 3.852020E-11,    46.97478,          NaN,         NaN
   410.0,  9.507674E-1,    51.99081,  9.468615E-1,    51.71093, 3.310361E-11,    47.56511,          NaN,         NaN
   415.0,  9.023893E-1,    52.81584,  8.983144E-1,    52.53241, 2.779249E-11,    48.32150,          NaN,         NaN
   420.0,  9.803940E-1,    53.49903,  9.750232E-1,    53.21134, 3.007970E-11,    49.18508,          NaN,         NaN
   425.0,  8.303596E-1,    54.15996,  8.275910E-1,    53.86941, 2.720102E-11,    49.82111,          NaN,         NaN
   430.0,  9.244259E-1,    54.92059,  9.207635E-1,    54.62802, 2.661379E-11,    50.36568,          NaN,         NaN
   435.0,  8.543983E-1,    55.49235,  8.511398E-1,    55.19405, 2.599771E-11,    51.09527,          NaN,         NaN
   440.0,  8.724943E-1,    56.29165,  8.686338E-1,    55.99094, 2.588157E-11,    52.00524,          NaN,         NaN
   445.0,  8.496538E-1,    57.04089,  8.461268E-1,    56.73667, 2.716701E-11,    52.45574,          NaN,         NaN
   450.0,  9.048585E-1,    57.60495,  9.007763E-1,    57.29684, 2.722132E-11,    52.92458,          NaN,         NaN
   455.0,  8.069972E-1,    58.34299,  8.033670E-1,    58.03276, 1.873097E-11,    53.99922,          NaN,         NaN
   460.0,  9.441664E-1,    59.12428,  9.404925E-1,    58.80965, 1.985349E-11,    54.94337,          NaN,         NaN
   465.0,  8.795731E-1,    59.71947,  8.756170E-1,    59.40133, 2.734331E-11,    55.19910,          NaN,         NaN
   470.0,  8.472780E-1,    60.60171,  8.444015E-1,    60.28037, 2.952678E-11,    56.17161,          NaN,         NaN
   475.0,  9.427090E-1,    61.20659,  9.393958E-1,    60.88196, 2.571076E-11,    56.97689,          NaN,         NaN
   480.0,  7.327923E-1,    61.90340,  7.296644E-1,    61.57455, 2.082961E-11,    57.54122,          NaN,         NaN
   485.0,  8.760689E-1,    62.66550,  8.725805E-1,    62.33311, 3.236386E-11,    58.21738,          NaN,         NaN
   490.0,  9.008507E-1,    63.27355,  8.975355E-1,    62.93747, 3.262735E-11,    58.88936,          NaN,         NaN
   495.0,  8.202081E-1,    63.99274,  8.169454E-1,    63.65371, 3.395126E-11,    59.56080,          NaN,         NaN
   500.0,  8.777316E-1,    64.83697,  8.750869E-1,    64.49438, 3.993059E-11,    60.42776,          NaN,         NaN
   505.0,  8.957607E-1,    65.39920,  8.933945E-1,    65.05261, 2.855835E-11,    61.01687,          NaN,         NaN
   510.0,  8.423929E-1,    66.18980,  8.399333E-1,    65.84035, 3.537319E-11,    61.91987,          NaN,         NaN
