Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1800.000,    -0.028938,    -0.005662,     0.003835,
  1800.050,    -0.010864,     0.002711,    -0.002960,
  1800.100,     0.000890,    -0.003696,    -0.000255,
  1800.150,     0.011930,     0.005291,    -0.002244,
  1800.200,     0.026982,     0.001357,     0.001624,
  1800.250,     0.035520,    -0.006462,    -0.001633,
  1800.300,     0.039244,    -0.004209,     0.001460,
  1800.350,     0.045272,    -0.007790,     0.004954,
  1800.400,     0.039888,    -0.021925,     0.000472,
  1800.450,     0.037623,    -0.026577,    -0.002697,
  1800.500,     0.032869,    -0.046789,     0.002002,
  1800.550,     0.023499,    -0.049631,     0.004284,
  1800.600,     0.030402,    -0.065007,    -0.003477,
  1800.650,    -0.000333,    -0.084239,    -0.000264,
  1800.700,     0.000368,    -0.095961,    -0.002544,
  1800.750,    -0.011079,    -0.106868,     0.001824,
  1800.800,    -0.031434,    -0.124369,     0.002181,
  1800.850,    -0.037814,    -0.132083,     0.000061,
  1800.900,    -0.058154,    -0.155776,     0.008674,
  1800.950,    -0.060403,    -0.159239,     0.001932,
  1801.000,    -0.087212,    -0.163054,     0.001801,
  1801.050,    -0.093808,    -0.180160,     0.000709,
  1801.100,    -0.109864,    -0.186823,     0.003078,
  1801.150,    -0.120654,    -0.190235,    -0.002717,
  1801.200,    -0.130441,    -0.191254,    -0.003663,
  1801.250,    -0.129470,    -0.189712,    -0.000999,
  1801.300,    -0.134170,    -0.187483,     0.004066,
  1801.350,    -0.155842,    -0.182780,    -0.000416,
  1801.400,    -0.155617,    -0.180658,    -0.000640,
  1801.450,    -0.154362,    -0.170917,     0.011927,
  1801.500,    -0.151889,    -0.151699,     0.004270,
  1801.550,    -0.160697,    -0.136470,    -0.004058,
  1801.600,    -0.142988,    -0.119568,     0.001691,
  1801.650,    -0.157086,    -0.101421,     0.013487,
  1801.700,    -0.147222,    -0.090178,    -0.005377,
  1801.750,    -0.138639,    -0.077493,     0.006649,
  1801.800,    -0.121741,    -0.043076,     0.003473,
  1801.850,    -0.098172,    -0.017176,     0.003478,
  1801.900,    -0.092120,     0.003511,     0.009587,
  1801.950,    -0.068870,     0.033962,    -0.001255,
  1802.000,    -0.053145,     0.069553,    -0.007332,
  1802.050,    -0.031289,     0.101936,     0.001083,
  1802.100,    -0.008359,     0.136914,    -0.003134,
  1802.150,     0.022552,     0.168138,     0.004439,
  1802.200,     0.047916,     0.215509,    -0.007585,
  1802.250,     0.081872,     0.247661,     0.006111,
  1802.300,     0.116152,     0.284504,     0.001689,
  1802.350,     0.148067,     0.333405,     0.000202,
  1802.400,     0.184362,     0.378664,     0.006108,
  1802.450,     0.228019,     0.403755,     0.000526,
  1802.500,     0.260258,     0.443093,    -0.009027,
  1802.550,     0.297574,     0.489861,    -0.002939,
  1802.600,     0.344959,     0.521073,     0.002490,
  1802.650,     0.381099,     0.563434,    -0.001197,
  1802.700,     0.428936,     0.597866,     0.001457,
  1802.750,     0.472802,     0.621309,    -0.003180,
  1802.800,     0.504853,     0.659273,    -0.000720,
  1802.850,     0.551763,     0.696786,     0.000456,
  1802.900,     0.592541,     0.707934,    -0.009862,
  1802.950,     0.628390,     0.733306,     0.002134,
  1803.000,     0.657660,     0.752432,     0.002028,
  1803.050,     0.699649,     0.764284,    -0.010608,
  1803.100,     0.725192,     0.765543,     0.003528,
  1803.150,     0.759864,     0.767074,    -0.002264,
  1803.200,     0.780572,     0.769111,     0.005127,
  1803.250,     0.799319,     0.764646,     0.001624,
  1803.300,     0.814919,     0.754315,     0.004974,
  1803.350,     0.819336,     0.737693,    -0.004593,
  1803.400,     0.828350,     0.717240,     0.002083,
  1803.450,     0.817751,     0.701155,     0.001388,
  1803.500,     0.813455,     0.672226,     0.000073,
  1803.550,     0.803946,     0.642911,    -0.001139,
  1803.600,     0.785214,     0.603133,    -0.003305,
  1803.650,     0.753977,     0.579841,     0.004692,
  1803.700,     0.732145,     0.539043,    -0.002165,
  1803.750,     0.707478,     0.496209,     0.006564,
  1803.800,     0.669398,     0.472595,    -0.003426,
  1803.850,     0.640385,     0.421975,    -0.003901,
  1803.900,     0.602809,     0.380043,    -0.005295,
  1803.950,     0.564747,     0.339819,     0.004498,
  1804.000,     0.524567,     0.305515,     0.001689,
  1804.050,     0.486340,     0.265724,     0.000700,
  1804.100,     0.441401,     0.223771,    -0.000640,
  1804.150,     0.405579,     0.192586,     0.002864,
  1804.200,     0.367281,     0.150262,     0.004437,
  1804.250,     0.323989,     0.111358,     0.001670,
  1804.300,     0.275488,     0.081014,     0.002777,
  1804.350,     0.233893,     0.035921,    -0.002280,
  1804.400,     0.205390,     0.000522,    -0.002288,
  1804.450,     0.162842,    -0.037825,    -0.004284,
  1804.500,     0.119295,    -0.068354,    -0.003517,
  1804.550,     0.090449,    -0.089506,     0.002981,
  1804.600,     0.054294,    -0.127249,    -0.002396,
  1804.650,     0.019916,    -0.141702,     0.005956,
  1804.700,    -0.019934,    -0.174298,    -0.002657,
  1804.750,    -0.054539,    -0.206257,    -0.001446,
  1804.800,    -0.076554,    -0.217056,    -0.002109,
  1804.850,    -0.103050,    -0.228059,     0.004509,
