Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1800.000,     0.015655,    -0.018364,    -0.003556,
  1800.050,     0.001662,    -0.006898,     0.003026,
  1800.100,    -0.004195,     0.002015,    -0.002910,
  1800.150,    -0.000406,     0.011292,    -0.000458,
  1800.200,    -0.012716,     0.011955,     0.003899,
  1800.250,    -0.006965,     0.014092,    -0.007161,
  1800.300,    -0.002108,     0.020857,    -0.004024,
  1800.350,     0.000470,     0.015728,     0.003921,
  1800.400,    -0.000018,     0.007720,     0.005644,
  1800.450,     0.009524,     0.007467,    -0.006516,
  1800.500,     0.004582,    -0.003254,     0.003626,
  1800.550,     0.024109,    -0.018200,    -0.003763,
  1800.600,     0.033037,    -0.027797,    -0.004660,
  1800.650,     0.036604,    -0.036277,     0.004195,
  1800.700,     0.035080,    -0.067133,    -0.001539,
  1800.750,     0.044242,    -0.069235,     0.003161,
  1800.800,     0.060285,    -0.096606,     0.002331,
  1800.850,     0.038972,    -0.113316,     0.001030,
  1800.900,     0.029951,    -0.128375,     0.000425,
  1800.950,     0.044396,    -0.142162,    -0.002375,
  1801.000,     0.045941,    -0.163510,     0.004149,
  1801.050,     0.035914,    -0.164875,    -0.005844,
  1801.100,     0.028431,    -0.190482,     0.005361,
  1801.150,     0.026984,    -0.209717,     0.006170,
  1801.200,     0.024075,    -0.209281,    -0.002625,
  1801.250,     0.019970,    -0.232404,     0.003547,
  1801.300,     0.014239,    -0.222772,     0.015668,
  1801.350,     0.015883,    -0.224632,     0.000707,
  1801.400,    -0.003429,    -0.235461,    -0.002357,
  1801.450,     0.005406,    -0.234364,     0.005411,
  1801.500,    -0.004601,    -0.213112,    -0.003509,
  1801.550,    -0.004599,    -0.221434,     0.000901,
  1801.600,    -0.011433,    -0.205477,    -0.001905,
  1801.650,    -0.012933,    -0.183211,     0.007414,
  1801.700,    -0.012334,    -0.180827,     0.003890,
  1801.750,    -0.007059,    -0.162461,     0.001337,
  1801.800,    -0.003556,    -0.148530,    -0.005955,
  1801.850,    -0.003274,    -0.123799,     0.004063,
  1801.900,     0.001513,    -0.106731,    -0.003304,
  1801.950,     0.019085,    -0.080860,     0.000252,
  1802.000,     0.035299,    -0.047608,    -0.001995,
  1802.050,     0.034932,    -0.026298,     0.001425,
  1802.100,     0.053021,     0.002244,     0.000790,
  1802.150,     0.064144,     0.029732,     0.005466,
  1802.200,     0.083520,     0.059070,    -0.000527,
  1802.250,     0.101400,     0.107946,     0.000203,
  1802.300,     0.123208,     0.138295,     0.004654,
  1802.350,     0.134073,     0.173970,     0.000112,
  1802.400,     0.145485,     0.210765,     0.008487,
  1802.450,     0.167944,     0.255005,    -0.001981,
  1802.500,     0.176648,     0.296322,    -0.002849,
  1802.550,     0.203154,     0.342648,     0.000232,
  1802.600,     0.208075,     0.377326,     0.003881,
  1802.650,     0.226277,     0.425296,     0.001082,
  1802.700,     0.242042,     0.455786,     0.003228,
  1802.750,     0.253920,     0.506045,    -0.002339,
  1802.800,     0.262729,     0.537945,     0.003382,
  1802.850,     0.271858,     0.575781,     0.002604,
  1802.900,     0.270225,     0.607857,     0.008909,
  1802.950,     0.271913,     0.638512,     0.006986,
  1803.000,     0.275298,     0.674200,     0.005256,
  1803.050,     0.273790,     0.695565,     0.003449,
  1803.100,     0.277629,     0.703496,     0.004230,
  1803.150,     0.268044,     0.726087,     0.005830,
  1803.200,     0.267395,     0.751553,    -0.003410,
  1803.250,     0.248363,     0.750382,     0.004100,
  1803.300,     0.246268,     0.752887,    -0.003814,
  1803.350,     0.228014,     0.753139,     0.005615,
  1803.400,     0.224758,     0.750010,     0.006225,
  1803.450,     0.209776,     0.737570,     0.000789,
  1803.500,     0.196438,     0.722478,     0.000334,
  1803.550,     0.177580,     0.702372,    -0.000642,
  1803.600,     0.154597,     0.679661,    -0.002354,
  1803.650,     0.151307,     0.651368,     0.004902,
  1803.700,     0.128866,     0.626604,    -0.001285,
  1803.750,     0.121451,     0.585444,     0.003665,
  1803.800,     0.111058,     0.566728,     0.004934,
  1803.850,     0.103610,     0.516196,     0.007138,
  1803.900,     0.077319,     0.484790,     0.010902,
  1803.950,     0.059434,     0.456233,     0.003301,
  1804.000,     0.062636,     0.414421,    -0.001038,
  1804.050,     0.052808,     0.377421,     0.000734,
  1804.100,     0.035849,     0.341380,     0.003671,
  1804.150,     0.031509,     0.285894,    -0.007954,
  1804.200,     0.034995,     0.256111,    -0.001889,
  1804.250,     0.034452,     0.213599,     0.009108,
  1804.300,     0.029723,     0.186482,     0.001141,
  1804.350,     0.031688,     0.146970,    -0.002138,
  1804.400,     0.032086,     0.106241,     0.005291,
  1804.450,     0.030939,     0.075124,     0.002081,
  1804.500,     0.056144,     0.031316,    -0.001120,
  1804.550,     0.058747,     0.008868,    -0.000867,
  1804.600,     0.070841,    -0.030519,    -0.005137,
  1804.650,     0.098031,    -0.063927,     0.002832,
  1804.700,     0.111970,    -0.082487,     0.002035,
  1804.750,     0.125545,    -0.123359,     0.000166,
  1804.800,     0.164377,    -0.159003,     0.002853,
  1804.850,     0.183457,    -0.177930,     0.010114,
  1804.900,     0.220423,    -0.207227,     0.000257,
  1804.950,     0.243841,    -0.224936,    -0.002151,
  1805.000,     0.283464,    -0.252600,     0.006408,
  1805.050,     0.318086,    -0.269614,     0.008046,
  1805.100,     0.355036,    -0.283284,     0.003730,
  1805.150,     0.380940,    -0.295249,    -0.000567,
  1805.200,     0.439634,    -0.307745,    -0.000755,
  1805.250,     0.477786,    -0.321347,     0.004268,
  1805.300,     0.516098,    -0.332189,    -0.002713,
  1805.350,     0.567354,    -0.343475,     0.002055,
  1805.400,     0.603920,    -0.357975,    -0.002965,
  1805.450,     0.644837,    -0.380622,    -0.000585,
  1805.500,     0.687964,    -0.401030,     0.002677,
  1805.550,     0.728903,    -0.430530,     0.004416,
