Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1800.000,    -0.014064,     0.013293,    -0.008122,
  1800.050,    -0.000086,     0.010049,    -0.004072,
  1800.100,     0.003309,    -0.003301,     0.006848,
  1800.150,     0.002913,    -0.008734,     0.003559,
  1800.200,     0.007928,    -0.011306,     0.001787,
  1800.250,    -0.001121,    -0.022968,     0.004331,
  1800.300,    -0.004453,    -0.026222,     0.002574,
  1800.350,    -0.010013,    -0.037058,    -0.006070,
  1800.400,    -0.011479,    -0.042932,     0.002230,
  1800.450,    -0.028575,    -0.051183,    -0.001305,
  1800.500,    -0.040788,    -0.060580,     0.003301,
  1800.550,    -0.046409,    -0.076621,     0.002361,
  1800.600,    -0.059355,    -0.092982,     0.004095,
  1800.650,    -0.074070,    -0.091529,    -0.004507,
  1800.700,    -0.094677,    -0.095606,     0.000243,
  1800.750,    -0.109073,    -0.118809,    -0.001737,
  1800.800,    -0.117554,    -0.111539,     0.006602,
  1800.850,    -0.127856,    -0.127298,     0.001421,
  1800.900,    -0.145844,    -0.135145,     0.001635,
  1800.950,    -0.152989,    -0.136620,     0.000795,
  1801.000,    -0.163264,    -0.143956,     0.002315,
  1801.050,    -0.183997,    -0.137394,     0.002766,
  1801.100,    -0.189263,    -0.144986,     0.001355,
  1801.150,    -0.184847,    -0.137988,     0.008076,
  1801.200,    -0.196304,    -0.146387,    -0.005783,
  1801.250,    -0.201996,    -0.160888,     0.005797,
  1801.300,    -0.200216,    -0.140104,     0.001836,
  1801.350,    -0.200992,    -0.142208,     0.002020,
  1801.400,    -0.194614,    -0.130153,     0.002896,
  1801.450,    -0.197988,    -0.131381,     0.001732,
  1801.500,    -0.178110,    -0.117937,    -0.001968,
  1801.550,    -0.184644,    -0.115544,     0.004505,
  1801.600,    -0.154505,    -0.102266,     0.005210,
  1801.650,    -0.146087,    -0.082237,    -0.000165,
  1801.700,    -0.119539,    -0.059859,     0.003783,
  1801.750,    -0.108126,    -0.026706,     0.004121,
  1801.800,    -0.076767,    -0.014979,    -0.000478,
  1801.850,    -0.065771,     0.022344,    -0.002242,
  1801.900,    -0.030254,     0.050717,     0.002716,
  1801.950,    -0.005134,     0.084689,     0.002005,
  1802.000,     0.031684,     0.126348,     0.004325,
  1802.050,     0.062614,     0.160741,     0.008333,
  1802.100,     0.093576,     0.201637,    -0.003419,
  1802.150,     0.135058,     0.252285,     0.007517,
  1802.200,     0.166819,     0.281383,     0.001771,
  1802.250,     0.203184,     0.319468,    -0.002388,
  1802.300,     0.241179,     0.371308,     0.001303,
  1802.350,     0.284372,     0.413496,     0.005514,
