Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1800.000,    -0.066901,    -0.077171,    -0.004016,
  1800.050,    -0.033467,    -0.034822,     0.004207,
  1800.100,    -0.004155,     0.002541,    -0.001958,
  1800.150,     0.036156,     0.039483,     0.002529,
  1800.200,     0.068367,     0.069969,    -0.000763,
  1800.250,     0.099174,     0.099113,     0.000911,
  1800.300,     0.138080,     0.137018,    -0.002873,
  1800.350,     0.178547,     0.160331,     0.004739,
  1800.400,     0.222507,     0.201850,    -0.006064,
  1800.450,     0.257171,     0.213798,    -0.000290,
  1800.500,     0.301031,     0.226367,    -0.006056,
  1800.550,     0.342936,     0.243337,    -0.003189,
  1800.600,     0.365824,     0.259787,     0.001432,
  1800.650,     0.421476,     0.257736,     0.001900,
  1800.700,     0.456733,     0.268175,    -0.001988,
  1800.750,     0.501751,     0.261450,    -0.000901,
  1800.800,     0.526907,     0.247811,     0.001876,
  1800.850,     0.565357,     0.245323,    -0.003525,
  1800.900,     0.594375,     0.228356,     0.000631,
  1800.950,     0.623951,     0.207571,    -0.002719,
  1801.000,     0.645147,     0.186809,     0.012002,
  1801.050,     0.677376,     0.159760,    -0.000834,
  1801.100,     0.696939,     0.135409,    -0.001165,
  1801.150,     0.720412,     0.095840,     0.001146,
  1801.200,     0.718797,     0.086550,     0.004597,
  1801.250,     0.730070,     0.046121,    -0.001730,
  1801.300,     0.741563,     0.012370,    -0.006044,
  1801.350,     0.731854,    -0.024808,    -0.006170,
  1801.400,     0.723948,    -0.061216,    -0.001117,
  1801.450,     0.717587,    -0.094719,     0.000920,
  1801.500,     0.700035,    -0.128973,    -0.006103,
  1801.550,     0.679281,    -0.166480,    -0.010720,
  1801.600,     0.656479,    -0.185429,    -0.002537,
  1801.650,     0.630974,    -0.223214,    -0.002126,
  1801.700,     0.604887,    -0.259904,    -0.004637,
  1801.750,     0.577628,    -0.284624,    -0.002163,
  1801.800,     0.545836,    -0.321972,    -0.000739,
  1801.850,     0.509059,    -0.351077,     0.001768,
  1801.900,     0.467716,    -0.374597,     0.000906,
  1801.950,     0.445847,    -0.400526,    -0.002430,
  1802.000,     0.392642,    -0.435118,    -0.006275,
  1802.050,     0.369810,    -0.466933,    -0.008364,
  1802.100,     0.324481,    -0.482636,    -0.000117,
  1802.150,     0.296065,    -0.514311,    -0.003704,
  1802.200,     0.261276,    -0.533635,    -0.001134,
  1802.250,     0.220575,    -0.548598,    -0.001190,
  1802.300,     0.192703,    -0.572444,    -0.000895,
  1802.350,     0.150070,    -0.587752,     0.000625,
  1802.400,     0.116395,    -0.608323,    -0.001262,
  1802.450,     0.084803,    -0.608117,    -0.000785,
  1802.500,     0.048355,    -0.625145,    -0.002131,
  1802.550,     0.021196,    -0.632911,     0.007947,
  1802.600,    -0.007398,    -0.643876,    -0.005611,
  1802.650,    -0.045965,    -0.655937,    -0.009122,
  1802.700,    -0.066703,    -0.668346,    -0.001545,
  1802.750,    -0.098202,    -0.669446,    -0.001608,
  1802.800,    -0.123940,    -0.691833,    -0.001406,
  1802.850,    -0.134990,    -0.704187,    -0.001269,
  1802.900,    -0.162931,    -0.715486,    -0.004504,
  1802.950,    -0.181004,    -0.744478,    -0.001983,
  1803.000,    -0.199988,    -0.772952,    -0.003823,
  1803.050,    -0.201685,    -0.790569,     0.002103,
  1803.100,    -0.217969,    -0.800724,    -0.003026,
  1803.150,    -0.226279,    -0.796203,     0.005937,
  1803.200,    -0.235858,    -0.776690,    -0.000359,
  1803.250,    -0.245895,    -0.717656,    -0.002457,
  1803.300,    -0.252750,    -0.656673,     0.004961,
  1803.350,    -0.259252,    -0.551557,     0.000283,
  1803.400,    -0.279023,    -0.419343,    -0.004920,
  1803.450,    -0.300295,    -0.291824,    -0.000101,
  1803.500,    -0.313381,    -0.158548,    -0.005904,
  1803.550,    -0.335697,    -0.054201,    -0.004035,
  1803.600,    -0.365329,     0.020026,    -0.000447,
  1803.650,    -0.366843,     0.075824,    -0.006561,
  1803.700,    -0.382361,     0.093887,    -0.008431,
  1803.750,    -0.369585,     0.097675,    -0.003142,
  1803.800,    -0.337624,     0.073493,     0.004545,
  1803.850,    -0.279287,     0.043995,     0.000675,
  1803.900,    -0.201262,    -0.006984,    -0.005790,
  1803.950,    -0.085457,    -0.055795,     0.002548,
  1804.000,     0.051839,    -0.111724,    -0.001806,
  1804.050,     0.174999,    -0.166703,     0.001535,
  1804.100,     0.301265,    -0.220970,     0.000549,
  1804.150,     0.409044,    -0.272764,    -0.001235,
  1804.200,     0.485271,    -0.303554,     0.001960,
  1804.250,     0.524225,    -0.346538,    -0.004558,
  1804.300,     0.545032,    -0.385036,    -0.005936,
  1804.350,     0.539202,    -0.400195,    -0.002329,
  1804.400,     0.504083,    -0.437931,     0.001483,
  1804.450,     0.470864,    -0.466470,     0.005678,
  1804.500,     0.421690,    -0.493334,    -0.002776,
  1804.550,     0.371879,    -0.524742,     0.000805,
  1804.600,     0.329081,    -0.547031,     0.001630,
  1804.650,     0.267432,    -0.571763,    -0.000761,
  1804.700,     0.214309,    -0.577786,    -0.005181,
  1804.750,     0.162307,    -0.597189,    -0.002716,
  1804.800,     0.123043,    -0.599299,    -0.000754,
  1804.850,     0.082296,    -0.598685,    -0.000106,
  1804.900,     0.054357,    -0.596068,    -0.003364,
  1804.950,     0.019103,    -0.605726,    -0.000968,
  1805.000,    -0.001684,    -0.626890,    -0.004340,
  1805.050,    -0.043433,    -0.669169,    -0.000019,
  1805.100,    -0.068415,    -0.722323,     0.006013,
  1805.150,    -0.087333,    -0.783327,     0.001656,
  1805.200,    -0.119953,    -0.861352,    -0.002102,
  1805.250,    -0.139048,    -0.928744,    -0.003263,
  1805.300,    -0.153782,    -0.998623,    -0.009368,
  1805.350,    -0.161999,    -1.052085,    -0.002992,
  1805.400,    -0.166765,    -1.090302,     0.002598,
  1805.450,    -0.167986,    -1.119242,    -0.005847,
  1805.500,    -0.166739,    -1.127234,     0.004606,
  1805.550,    -0.171996,    -1.142729,     0.002498,
  1805.600,    -0.196270,    -1.163874,     0.003447,
  1805.650,    -0.236013,    -1.180274,    -0.003807,
  1805.700,    -0.288649,    -1.202785,    -0.009378,
  1805.750,    -0.352441,    -1.226669,     0.001625,
  1805.800,    -0.428011,    -1.253917,     0.000015,
  1805.850,    -0.489343,    -1.275902,     0.001139,
  1805.900,    -0.557913,    -1.315057,     0.001324,
  1805.950,    -0.599920,    -1.337689,    -0.004926,
  1806.000,    -0.627509,    -1.360733,    -0.009131,
  1806.050,    -0.660556,    -1.394343,     0.000072,
  1806.100,    -0.681171,    -1.419478,     0.001364,
  1806.150,    -0.684083,    -1.436722,    -0.007675,
  1806.200,    -0.702526,    -1.452682,    -0.005361,
  1806.250,    -0.723903,    -1.470535,    -0.003807,
  1806.300,    -0.752034,    -1.469227,    -0.005388,
  1806.350,    -0.780911,    -1.476940,    -0.005287,
  1806.400,    -0.814541,    -1.481793,     0.002493,
  1806.450,    -0.832061,    -1.478737,    -0.002140,
  1806.500,    -0.864722,    -1.474185,    -0.004154,
  1806.550,    -0.887265,    -1.459909,    -0.005528,
  1806.600,    -0.922639,    -1.454637,     0.003265,
  1806.650,    -0.951045,    -1.459157,     0.003304,
  1806.700,    -0.974070,    -1.461708,     0.000304,
  1806.750,    -0.990351,    -1.463533,    -0.006436,
  1806.800,    -1.011859,    -1.486074,    -0.006105,
  1806.850,    -1.029549,    -1.517304,     0.002498,
  1806.900,    -1.040073,    -1.562400,     0.000535,
  1806.950,    -1.040456,    -1.620547,     0.000298,
  1807.000,    -1.051240,    -1.691254,    -0.007246,
  1807.050,    -1.044426,    -1.755697,     0.001970,
  1807.100,    -1.030054,    -1.840771,    -0.001901,
  1807.150,    -1.028170,    -1.924304,    -0.004071,
  1807.200,    -1.039269,    -2.001388,     0.004456,
  1807.250,    -1.033523,    -2.058261,    -0.004528,
  1807.300,    -1.037576,    -2.136944,    -0.010933,
  1807.350,    -1.060771,    -2.199058,    -0.011988,
  1807.400,    -1.074939,    -2.269148,    -0.005337,
  1807.450,    -1.110346,    -2.352292,     0.004617,
  1807.500,    -1.167828,    -2.440367,    -0.004275,
  1807.550,    -1.222173,    -2.558299,    -0.001222,
  1807.600,    -1.287547,    -2.692994,     0.006120,
  1807.650,    -1.370268,    -2.837921,     0.002136,
  1807.700,    -1.439016,    -2.997273,    -0.001265,
  1807.750,    -1.518985,    -3.172260,     0.000884,
  1807.800,    -1.594404,    -3.358775,     0.010655,
  1807.850,    -1.668294,    -3.565475,    -0.001388,
  1807.900,    -1.739932,    -3.779546,    -0.003281,
  1807.950,    -1.802853,    -4.019537,    -0.005623,
  1808.000,    -1.876976,    -4.280912,     0.005500,
  1808.050,    -1.964211,    -4.561191,     0.005891,
  1808.100,    -2.061973,    -4.841302,    -0.005857,
  1808.150,    -2.189778,    -5.107901,    -0.006565,
  1808.200,    -2.324980,    -5.341930,     0.002215,
  1808.250,    -2.473631,    -5.491363,     0.000654,
  1808.300,    -2.632714,    -5.503818,    -0.009679,
  1808.350,    -2.809567,    -5.301271,    -0.005839,
  1808.400,    -3.002704,    -4.817470,    -0.002134,
  1808.450,    -3.210350,    -4.017759,    -0.006811,
  1808.500,    -3.433639,    -2.827194,    -0.001946,
  1808.550,    -3.672699,    -1.283423,     0.000590,
  1808.600,    -3.932258,     0.502556,    -0.001087,
  1808.650,    -4.208796,     2.392579,    -0.004755,
  1808.700,    -4.475216,     4.176100,    -0.001022,
  1808.750,    -4.732320,     5.610964,     0.001552,
  1808.800,    -4.937757,     6.575938,     0.002344,
  1808.850,    -5.039684,     6.973659,    -0.007540,
  1808.900,    -4.988298,     6.782373,    -0.002838,
  1808.950,    -4.706017,     6.068016,     0.005214,
  1809.000,    -4.125576,     4.940476,     0.003222,
  1809.050,    -3.227431,     3.496414,     0.003414,
  1809.100,    -1.952583,     1.838363,    -0.004920,
  1809.150,    -0.366076,     0.091789,    -0.006066,
  1809.200,     1.432290,    -1.684032,     0.002313,
