Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1800.000,    -0.080617,    -0.074430,    -0.000196,
  1800.050,    -0.043555,    -0.044154,    -0.004176,
  1800.100,    -0.000767,     0.001694,     0.003910,
  1800.150,     0.042869,     0.040826,    -0.004606,
  1800.200,     0.082071,     0.076063,     0.005068,
  1800.250,     0.114041,     0.112070,    -0.000374,
  1800.300,     0.148203,     0.146250,     0.000545,
  1800.350,     0.194920,     0.175419,    -0.001967,
  1800.400,     0.222328,     0.211821,     0.003083,
  1800.450,     0.268675,     0.240391,     0.003144,
  1800.500,     0.296839,     0.255029,    -0.004790,
  1800.550,     0.325056,     0.278419,     0.007404,
  1800.600,     0.359286,     0.295471,    -0.003065,
  1800.650,     0.371031,     0.309642,    -0.003504,
  1800.700,     0.398509,     0.310077,     0.000290,
  1800.750,     0.421698,     0.314097,    -0.000941,
  1800.800,     0.429446,     0.319752,     0.002964,
  1800.850,     0.443874,     0.303374,    -0.010236,
  1800.900,     0.440139,     0.294039,     0.007657,
  1800.950,     0.425985,     0.273079,    -0.002225,
  1801.000,     0.429762,     0.250675,    -0.002125,
  1801.050,     0.412145,     0.226615,    -0.000546,
  1801.100,     0.403296,     0.208430,     0.003193,
  1801.150,     0.383472,     0.180127,     0.001657,
  1801.200,     0.363491,     0.147989,     0.001892,
  1801.250,     0.331559,     0.122750,    -0.000674,
  1801.300,     0.304140,     0.085130,    -0.006962,
  1801.350,     0.276107,     0.050791,    -0.000786,
  1801.400,     0.249619,     0.020114,    -0.006934,
  1801.450,     0.210395,    -0.016390,     0.000232,
  1801.500,     0.186754,    -0.051934,    -0.003645,
  1801.550,     0.141046,    -0.084992,     0.004887,
  1801.600,     0.110714,    -0.122565,     0.001403,
  1801.650,     0.070609,    -0.142825,     0.004835,
  1801.700,     0.041457,    -0.188255,    -0.001969,
  1801.750,    -0.000698,    -0.217395,     0.011372,
  1801.800,    -0.024748,    -0.244533,     0.004555,
  1801.850,    -0.054046,    -0.268574,    -0.001921,
  1801.900,    -0.087679,    -0.314212,     0.006072,
  1801.950,    -0.119852,    -0.334549,     0.006376,
  1802.000,    -0.139852,    -0.364646,    -0.000319,
  1802.050,    -0.176150,    -0.398083,    -0.000523,
  1802.100,    -0.208074,    -0.425735,    -0.004502,
  1802.150,    -0.233441,    -0.445414,     0.000462,
  1802.200,    -0.269335,    -0.474659,    -0.000957,
  1802.250,    -0.297721,    -0.495656,    -0.002441,
  1802.300,    -0.323731,    -0.521755,    -0.004277,
  1802.350,    -0.345506,    -0.535239,     0.000533,
  1802.400,    -0.360820,    -0.557429,     0.001500,
  1802.450,    -0.385035,    -0.556231,     0.003801,
  1802.500,    -0.400612,    -0.578849,    -0.002574,
  1802.550,    -0.413038,    -0.585297,     0.001593,
  1802.600,    -0.435788,    -0.594676,    -0.002614,
  1802.650,    -0.444428,    -0.605427,    -0.001404,
  1802.700,    -0.458433,    -0.608477,    -0.000610,
  1802.750,    -0.465398,    -0.618666,    -0.000647,
  1802.800,    -0.463860,    -0.627701,    -0.002122,
  1802.850,    -0.483718,    -0.645089,    -0.006002,
  1802.900,    -0.484516,    -0.653677,    -0.001833,
  1802.950,    -0.502070,    -0.676852,     0.003825,
  1803.000,    -0.514208,    -0.707702,     0.002052,
  1803.050,    -0.523718,    -0.730209,     0.001739,
  1803.100,    -0.545487,    -0.755922,     0.004528,
  1803.150,    -0.563871,    -0.768450,     0.005802,
  1803.200,    -0.590580,    -0.759564,    -0.002496,
  1803.250,    -0.615951,    -0.742899,    -0.002614,
  1803.300,    -0.639792,    -0.681047,    -0.000327,
  1803.350,    -0.640853,    -0.614029,     0.000205,
  1803.400,    -0.627934,    -0.507885,     0.001403,
  1803.450,    -0.609707,    -0.381154,     0.001909,
  1803.500,    -0.540367,    -0.256641,    -0.001371,
  1803.550,    -0.454783,    -0.119567,    -0.004842,
  1803.600,    -0.342085,    -0.032967,    -0.003258,
  1803.650,    -0.219377,     0.055170,     0.000395,
  1803.700,    -0.085971,     0.098011,    -0.004503,
  1803.750,     0.027443,     0.122190,    -0.002122,
  1803.800,     0.122211,     0.125365,     0.000538,
  1803.850,     0.194212,     0.108579,     0.001782,
  1803.900,     0.217686,     0.070672,     0.002083,
  1803.950,     0.238774,     0.015190,     0.002509,
  1804.000,     0.220148,    -0.024642,    -0.002413,
  1804.050,     0.197330,    -0.074631,     0.002427,
  1804.100,     0.147874,    -0.138117,     0.008261,
  1804.150,     0.110138,    -0.194114,     0.000576,
  1804.200,     0.055980,    -0.228202,    -0.006059,
  1804.250,     0.010256,    -0.275724,     0.004151,
  1804.300,    -0.061885,    -0.322245,    -0.002408,
  1804.350,    -0.103079,    -0.352322,    -0.004508,
  1804.400,    -0.153612,    -0.370295,     0.000196,
  1804.450,    -0.196019,    -0.405207,     0.009146,
  1804.500,    -0.217015,    -0.435708,     0.000894,
  1804.550,    -0.252103,    -0.458652,     0.004378,
  1804.600,    -0.276390,    -0.486162,    -0.000501,
  1804.650,    -0.294354,    -0.511891,     0.004472,
  1804.700,    -0.333815,    -0.540724,     0.001216,
  1804.750,    -0.353012,    -0.541563,     0.001059,
  1804.800,    -0.379800,    -0.551704,     0.005941,
  1804.850,    -0.407962,    -0.561671,     0.003597,
  1804.900,    -0.431839,    -0.558442,     0.005340,
  1804.950,    -0.439050,    -0.566359,    -0.003888,
  1805.000,    -0.445140,    -0.575888,    -0.009598,
  1805.050,    -0.430042,    -0.592719,     0.002742,
  1805.100,    -0.436399,    -0.627965,     0.002691,
  1805.150,    -0.447007,    -0.697167,     0.000760,
  1805.200,    -0.460657,    -0.752518,     0.006044,
  1805.250,    -0.482616,    -0.827208,     0.003870,
  1805.300,    -0.528226,    -0.905351,     0.008383,
  1805.350,    -0.585530,    -0.970174,    -0.003469,
  1805.400,    -0.648803,    -1.016371,     0.011784,
  1805.450,    -0.724473,    -1.063231,    -0.000784,
  1805.500,    -0.788250,    -1.092283,    -0.002826,
  1805.550,    -0.845238,    -1.106209,     0.000550,
  1805.600,    -0.897973,    -1.116018,     0.003403,
  1805.650,    -0.924877,    -1.145174,     0.001999,
  1805.700,    -0.945789,    -1.162465,    -0.001887,
  1805.750,    -0.965472,    -1.187041,     0.001990,
  1805.800,    -0.977262,    -1.215057,    -0.001815,
  1805.850,    -0.984251,    -1.237537,    -0.002311,
  1805.900,    -1.028067,    -1.256818,    -0.000885,
  1805.950,    -1.045995,    -1.280709,     0.001907,
  1806.000,    -1.074258,    -1.320346,    -0.001841,
  1806.050,    -1.104381,    -1.342611,     0.001207,
  1806.100,    -1.127381,    -1.364015,     0.007121,
  1806.150,    -1.159883,    -1.395504,     0.002649,
  1806.200,    -1.194619,    -1.418585,     0.005494,
  1806.250,    -1.226161,    -1.428464,    -0.003203,
  1806.300,    -1.250969,    -1.441629,     0.003892,
  1806.350,    -1.273111,    -1.456474,     0.002320,
  1806.400,    -1.291568,    -1.459484,    -0.000972,
  1806.450,    -1.321912,    -1.455559,    -0.004123,
  1806.500,    -1.331710,    -1.448078,     0.006257,
  1806.550,    -1.339140,    -1.443025,     0.002776,
  1806.600,    -1.340591,    -1.431429,     0.003458,
  1806.650,    -1.342005,    -1.435092,     0.003864,
  1806.700,    -1.332921,    -1.432242,     0.004081,
  1806.750,    -1.337715,    -1.437482,    -0.001324,
  1806.800,    -1.327828,    -1.454681,     0.007659,
  1806.850,    -1.320580,    -1.462418,     0.000819,
  1806.900,    -1.326153,    -1.495643,    -0.004094,
  1806.950,    -1.333482,    -1.544575,    -0.002572,
  1807.000,    -1.348933,    -1.606439,     0.001163,
  1807.050,    -1.375896,    -1.668569,     0.008604,
  1807.100,    -1.413134,    -1.739079,     0.002786,
  1807.150,    -1.457310,    -1.822326,    -0.002507,
  1807.200,    -1.524355,    -1.905084,     0.004458,
  1807.250,    -1.593166,    -1.974298,     0.003789,
  1807.300,    -1.682345,    -2.049585,     0.002004,
  1807.350,    -1.762540,    -2.111559,    -0.000139,
  1807.400,    -1.820064,    -2.178903,     0.007409,
  1807.450,    -1.897173,    -2.253929,     0.004235,
  1807.500,    -1.972138,    -2.334215,    -0.001526,
  1807.550,    -2.034903,    -2.432233,     0.006911,
  1807.600,    -2.110248,    -2.544864,     0.000880,
  1807.650,    -2.190194,    -2.681307,     0.002233,
  1807.700,    -2.279425,    -2.832454,    -0.002989,
  1807.750,    -2.388545,    -2.989662,     0.006045,
  1807.800,    -2.499161,    -3.168423,     0.001971,
  1807.850,    -2.640181,    -3.358090,     0.008836,
  1807.900,    -2.793600,    -3.557372,     0.004932,
  1807.950,    -2.958476,    -3.789486,    -0.002371,
  1808.000,    -3.146759,    -4.026729,     0.004369,
  1808.050,    -3.333763,    -4.282461,     0.003545,
  1808.100,    -3.543084,    -4.564813,     0.004868,
  1808.150,    -3.769200,    -4.842205,     0.009119,
  1808.200,    -4.017108,    -5.107461,     0.008653,
  1808.250,    -4.279608,    -5.335002,    -0.003456,
  1808.300,    -4.553949,    -5.486077,    -0.002012,
  1808.350,    -4.838175,    -5.491908,     0.000030,
  1808.400,    -5.075974,    -5.288501,    -0.004098,
  1808.450,    -5.273744,    -4.798919,     0.001979,
  1808.500,    -5.361395,    -3.978209,    -0.003204,
  1808.550,    -5.274927,    -2.776317,     0.001606,
  1808.600,    -4.967011,    -1.215795,    -0.003064,
  1808.650,    -4.343622,     0.587542,     0.000372,
  1808.700,    -3.356898,     2.488238,    -0.001498,
  1808.750,    -2.007405,     4.264311,    -0.000760,
  1808.800,    -0.350407,     5.702552,    -0.000653,
  1808.850,     1.512505,     6.660400,     0.000103,
  1808.900,     3.365969,     7.027289,    -0.000769,
  1808.950,     5.026475,     6.829989,    -0.002496,
  1809.000,     6.280229,     6.111875,    -0.007366,
  1809.050,     7.009997,     4.967123,    -0.007175,
  1809.100,     7.143385,     3.523712,     0.004273,
  1809.150,     6.725093,     1.852220,     0.002336,
  1809.200,     5.823705,     0.097547,     0.004616,
  1809.250,     4.543216,    -1.674598,     0.000946,
  1809.300,     2.993497,    -3.429416,     0.000991,
  1809.350,     1.278868,    -5.117650,     0.005017,
  1809.400,    -0.499069,    -6.728455,     0.004229,
  1809.450,    -2.275916,    -8.266915,    -0.002204,
  1809.500,    -4.002829,    -9.722883,    -0.005070,
  1809.550,    -5.681229,   -11.096048,     0.003430,
  1809.600,    -7.252735,   -12.453365,     0.002184,
  1809.650,    -8.744920,   -13.852774,     0.006246,
  1809.700,   -10.163272,   -15.344767,     0.002503,
  1809.750,   -11.536271,   -16.964506,     0.000316,
  1809.800,   -12.915180,   -18.707828,     0.008020,
  1809.850,   -14.342814,   -20.599557,     0.004080,
  1809.900,   -15.890049,   -22.645037,    -0.005591,
  1809.950,   -17.562220,   -24.819273,     0.000524,
  1810.000,   -19.358543,   -27.136238,     0.011505,
  1810.050,   -21.324623,   -29.637884,     0.010517,
  1810.100,   -23.427475,   -32.335711,     0.009133,
  1810.150,   -25.663351,   -35.280234,     0.004354,
  1810.200,   -28.059352,   -38.547589,    -0.002802,
  1810.250,   -30.639451,   -42.247768,    -0.003478,
  1810.300,   -33.439889,   -46.410288,     0.001000,
  1810.350,   -36.533796,   -51.103725,     0.008352,
  1810.400,   -39.993512,   -56.350432,     0.011152,
  1810.450,   -43.874002,   -62.114252,     0.010284,
  1810.500,   -48.253576,   -68.337284,     0.007476,
  1810.550,   -53.171614,   -75.023998,     0.015920,
  1810.600,   -58.641458,   -82.175617,     0.020358,
  1810.650,   -64.611224,   -89.867210,     0.015580,
  1810.700,   -71.043264,   -98.218373,     0.018367,
  1810.750,   -77.920986,  -107.374446,     0.020608,
  1810.800,   -85.305893,  -117.530848,     0.012418,
  1810.850,   -93.275275,  -128.991303,     0.015178,
  1810.900,  -101.963214,  -141.963708,     0.026712,
  1810.950,  -111.528262,  -156.629439,     0.023211,
  1811.000,  -122.206709,  -172.993937,     0.017564,
  1811.050,  -134.294928,  -190.908775,     0.020751,
  1811.100,  -147.973253,  -210.033548,     0.025811,
  1811.150,  -163.321250,  -229.648605,     0.021429,
  1811.200,  -180.308361,  -248.497206,     0.025345,
  1811.250,  -198.734299,  -264.607734,     0.022788,
  1811.300,  -218.120863,  -275.017007,     0.030988,
  1811.350,  -237.482170,  -275.852513,     0.038503,
  1811.400,  -255.247811,  -262.352947,     0.040893,
  1811.450,  -269.104306,  -229.493645,     0.037233,
  1811.500,  -275.687415,  -172.882529,     0.029942,
  1811.550,  -270.743599,   -89.886969,     0.030660,
  1811.600,  -249.395791,    18.723288,     0.030727,
  1811.650,  -206.868673,   148.022366,     0.022576,
  1811.700,  -139.374239,   289.015620,     0.016582,
  1811.750,   -45.783434,   429.381654,     0.004258,
  1811.800,    71.589671,   556.290929,    -0.004515,
  1811.850,   206.293024,   659.075484,    -0.017636,
