Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1800.000,    -0.030872,     0.033820,     0.005384,
  1800.050,    -0.018475,     0.017515,     0.005772,
  1800.100,     0.001544,     0.002349,    -0.010343,
  1800.150,     0.014789,    -0.021089,     0.001632,
  1800.200,     0.033014,    -0.032596,    -0.002445,
  1800.250,     0.050106,    -0.060388,     0.000622,
  1800.300,     0.053239,    -0.101686,     0.003420,
  1800.350,     0.062083,    -0.121031,     0.002876,
  1800.400,     0.072668,    -0.140949,     0.003444,
  1800.450,     0.072441,    -0.153091,    -0.002068,
  1800.500,     0.073757,    -0.134397,     0.004961,
  1800.550,     0.061785,    -0.106260,     0.001292,
  1800.600,     0.063146,    -0.031909,    -0.001099,
  1800.650,     0.051466,     0.053709,     0.008551,
  1800.700,     0.038490,     0.185069,    -0.003798,
  1800.750,     0.029272,     0.329832,     0.005505,
  1800.800,     0.022603,     0.474229,     0.000713,
  1800.850,     0.000500,     0.604471,     0.009762,
  1800.900,    -0.024984,     0.716967,    -0.003180,
  1800.950,    -0.037906,     0.802260,    -0.000453,
  1801.000,    -0.064608,     0.849234,    -0.001709,
  1801.050,    -0.092942,     0.881543,     0.001712,
  1801.100,    -0.115558,     0.885153,     0.002931,
  1801.150,    -0.158236,     0.865172,     0.004751,
  1801.200,    -0.179615,     0.843049,     0.000383,
  1801.250,    -0.200165,     0.819244,     0.008767,
  1801.300,    -0.244119,     0.783308,     0.006239,
  1801.350,    -0.273235,     0.724486,     0.004819,
  1801.400,    -0.308975,     0.692027,     0.003046,
  1801.450,    -0.345656,     0.648541,    -0.003113,
  1801.500,    -0.393104,     0.603480,     0.001356,
  1801.550,    -0.419957,     0.570296,     0.000090,
  1801.600,    -0.456434,     0.543738,     0.001145,
  1801.650,    -0.483292,     0.518382,     0.002370,
  1801.700,    -0.530831,     0.487924,     0.001259,
  1801.750,    -0.560802,     0.474714,    -0.004944,
  1801.800,    -0.584503,     0.433474,     0.006669,
  1801.850,    -0.621598,     0.399614,    -0.011177,
  1801.900,    -0.650252,     0.374652,    -0.002856,
  1801.950,    -0.666141,     0.348439,    -0.002759,
  1802.000,    -0.707751,     0.318680,     0.004112,
  1802.050,    -0.720570,     0.297392,     0.001337,
  1802.100,    -0.740738,     0.287773,    -0.002668,
  1802.150,    -0.759979,     0.286413,    -0.001645,
  1802.200,    -0.771161,     0.273318,     0.002700,
  1802.250,    -0.775781,     0.258980,    -0.004257,
  1802.300,    -0.790884,     0.237671,    -0.004585,
  1802.350,    -0.789366,     0.194476,     0.004188,
  1802.400,    -0.787301,     0.135756,    -0.001967,
  1802.450,    -0.790552,     0.067911,     0.001912,
  1802.500,    -0.788445,    -0.014486,     0.002510,
  1802.550,    -0.777606,    -0.092229,    -0.000618,
  1802.600,    -0.775629,    -0.181099,    -0.001761,
  1802.650,    -0.763435,    -0.241984,     0.004128,
  1802.700,    -0.750270,    -0.292184,     0.004372,
  1802.750,    -0.732839,    -0.328312,    -0.000684,
  1802.800,    -0.712385,    -0.358199,    -0.002382,
  1802.850,    -0.694531,    -0.373805,     0.005341,
  1802.900,    -0.670990,    -0.382293,     0.000520,
  1802.950,    -0.647240,    -0.397744,    -0.001462,
  1803.000,    -0.630612,    -0.416138,    -0.000480,
  1803.050,    -0.605551,    -0.427076,    -0.002895,
  1803.100,    -0.578477,    -0.452937,     0.001164,
  1803.150,    -0.565129,    -0.474131,    -0.000311,
  1803.200,    -0.543519,    -0.506812,     0.003222,
  1803.250,    -0.526384,    -0.530056,     0.007244,
  1803.300,    -0.495009,    -0.557634,     0.005836,
  1803.350,    -0.485452,    -0.577944,     0.003955,
  1803.400,    -0.461274,    -0.603748,     0.008069,
  1803.450,    -0.464959,    -0.642801,    -0.000383,
  1803.500,    -0.448821,    -0.660762,     0.001526,
  1803.550,    -0.438171,    -0.682087,     0.003270,
  1803.600,    -0.435809,    -0.690990,    -0.006392,
  1803.650,    -0.429157,    -0.706864,    -0.000611,
  1803.700,    -0.429823,    -0.710208,     0.005193,
  1803.750,    -0.441527,    -0.714327,    -0.000493,
  1803.800,    -0.441734,    -0.703598,     0.001379,
  1803.850,    -0.446049,    -0.708861,    -0.001311,
  1803.900,    -0.461533,    -0.700510,    -0.007003,
  1803.950,    -0.468444,    -0.700181,    -0.001056,
  1804.000,    -0.496527,    -0.701795,    -0.000441,
  1804.050,    -0.512708,    -0.707487,     0.000042,
  1804.100,    -0.530460,    -0.722581,     0.002624,
  1804.150,    -0.548690,    -0.742097,     0.006476,
  1804.200,    -0.583423,    -0.788472,    -0.001560,
  1804.250,    -0.606471,    -0.852247,     0.004746,
  1804.300,    -0.623211,    -0.902841,    -0.002818,
  1804.350,    -0.666659,    -0.972513,     0.003247,
  1804.400,    -0.699181,    -1.053781,     0.005758,
  1804.450,    -0.736017,    -1.133172,    -0.001581,
  1804.500,    -0.770129,    -1.215892,     0.000570,
  1804.550,    -0.801254,    -1.289604,     0.000999,
  1804.600,    -0.839464,    -1.371335,     0.007934,
  1804.650,    -0.878548,    -1.437657,     0.004116,
  1804.700,    -0.917389,    -1.526076,    -0.003545,
  1804.750,    -0.961686,    -1.601171,    -0.005059,
  1804.800,    -1.000599,    -1.697942,    -0.001742,
  1804.850,    -1.036555,    -1.809085,     0.013785,
  1804.900,    -1.074042,    -1.935134,    -0.006064,
  1804.950,    -1.110140,    -2.081690,    -0.001615,
  1805.000,    -1.149979,    -2.241478,    -0.002989,
  1805.050,    -1.186297,    -2.430649,     0.003743,
  1805.100,    -1.208852,    -2.621076,    -0.000967,
  1805.150,    -1.261335,    -2.826996,     0.000073,
  1805.200,    -1.290662,    -3.063577,    -0.000253,
  1805.250,    -1.323212,    -3.299569,     0.000191,
  1805.300,    -1.360212,    -3.573465,     0.001853,
  1805.350,    -1.387502,    -3.859931,     0.001200,
  1805.400,    -1.418779,    -4.184716,     0.002624,
  1805.450,    -1.450966,    -4.507817,     0.005350,
  1805.500,    -1.477031,    -4.803056,    -0.000855,
  1805.550,    -1.500777,    -5.064798,     0.002700,
  1805.600,    -1.529042,    -5.214588,     0.000608,
  1805.650,    -1.552823,    -5.188487,     0.005588,
  1805.700,    -1.583750,    -4.915249,     0.004705,
  1805.750,    -1.614743,    -4.298071,     0.003508,
  1805.800,    -1.645328,    -3.293156,     0.000890,
  1805.850,    -1.667365,    -1.871867,     0.004885,
  1805.900,    -1.685237,    -0.095392,     0.002435,
  1805.950,    -1.721897,     1.869403,     0.000942,
  1806.000,    -1.750586,     3.844666,    -0.001195,
  1806.050,    -1.787683,     5.588650,    -0.004168,
  1806.100,    -1.809060,     6.896337,     0.003134,
  1806.150,    -1.848684,     7.684240,    -0.000883,
  1806.200,    -1.886398,     7.894937,     0.001249,
  1806.250,    -1.919920,     7.521706,    -0.000281,
  1806.300,    -1.973140,     6.660200,    -0.002582,
  1806.350,    -2.022999,     5.419708,    -0.000338,
  1806.400,    -2.060127,     3.877625,    -0.000611,
  1806.450,    -2.112206,     2.149359,     0.003358,
  1806.500,    -2.172793,     0.329923,     0.004837,
  1806.550,    -2.229221,    -1.512665,     0.001334,
  1806.600,    -2.300719,    -3.312042,     0.004807,
  1806.650,    -2.375183,    -5.057260,     0.004804,
  1806.700,    -2.441255,    -6.736729,     0.002630,
  1806.750,    -2.509115,    -8.327157,     0.001365,
  1806.800,    -2.582628,    -9.837037,    -0.000627,
  1806.850,    -2.646909,   -11.297568,     0.006485,
  1806.900,    -2.727115,   -12.751439,     0.006517,
  1806.950,    -2.796891,   -14.283385,     0.002198,
  1807.000,    -2.861241,   -15.918724,    -0.003750,
  1807.050,    -2.926681,   -17.697392,     0.000578,
  1807.100,    -2.981859,   -19.612961,     0.004089,
  1807.150,    -3.041972,   -21.671208,     0.005499,
  1807.200,    -3.070633,   -23.863232,     0.003898,
  1807.250,    -3.096260,   -26.224441,    -0.007802,
  1807.300,    -3.108809,   -28.747300,    -0.008008,
  1807.350,    -3.113110,   -31.430798,     0.002410,
  1807.400,    -3.094543,   -34.366884,     0.006284,
  1807.450,    -3.061723,   -37.609305,    -0.000165,
  1807.500,    -3.031210,   -41.254562,    -0.002265,
  1807.550,    -2.971994,   -45.390610,     0.004593,
  1807.600,    -2.898555,   -50.073528,     0.008087,
  1807.650,    -2.813850,   -55.319005,    -0.001836,
  1807.700,    -2.727526,   -61.109791,    -0.000713,
  1807.750,    -2.632769,   -67.430934,     0.010906,
  1807.800,    -2.554283,   -74.278232,     0.012401,
  1807.850,    -2.453949,   -81.616119,     0.007123,
  1807.900,    -2.363572,   -89.432436,     0.006481,
  1807.950,    -2.285012,   -97.830237,     0.004083,
  1808.000,    -2.233637,  -107.021537,    -0.000758,
  1808.050,    -2.189420,  -117.175099,     0.007101,
  1808.100,    -2.171832,  -128.514675,     0.003833,
  1808.150,    -2.202561,  -141.394868,    -0.000451,
  1808.200,    -2.257253,  -156.025175,     0.002259,
  1808.250,    -2.363409,  -172.556506,     0.003708,
  1808.300,    -2.517950,  -191.019758,    -0.000609,
  1808.350,    -2.732379,  -211.281080,    -0.002868,
  1808.400,    -3.021286,  -232.932558,     0.005973,
  1808.450,    -3.385311,  -255.140960,     0.000878,
  1808.500,    -3.822371,  -276.419647,    -0.000645,
  1808.550,    -4.347787,  -294.311131,    -0.001241,
  1808.600,    -4.987010,  -305.142307,     0.003055,
  1808.650,    -5.717520,  -304.192911,     0.006602,
  1808.700,    -6.536750,  -285.854752,     0.005435,
  1808.750,    -7.485137,  -244.552288,    -0.001834,
  1808.800,    -8.562901,  -175.900870,     0.002057,
  1808.850,    -9.773360,   -78.511191,     0.004337,
  1808.900,   -11.108478,    44.911469,     0.006815,
  1808.950,   -12.600147,   186.943058,     0.005946,
  1809.000,   -14.265833,   336.300556,     0.005070,
  1809.050,   -16.080142,   479.773890,     0.002386,
  1809.100,   -18.090854,   604.642954,     0.005003,
  1809.150,   -20.302686,   701.830954,     0.000166,
  1809.200,   -22.719274,   766.718502,     0.007199,
  1809.250,   -25.362235,   798.520153,     0.002931,
  1809.300,   -28.253380,   799.517618,     0.002019,
  1809.350,   -31.377759,   773.801658,     0.006526,
  1809.400,   -34.765478,   726.599378,     0.002185,
  1809.450,   -38.443244,   663.448867,     0.005515,
  1809.500,   -42.358250,   589.806979,     0.015302,
  1809.550,   -46.532563,   510.095488,     0.019552,
  1809.600,   -50.992308,   427.716614,     0.011991,
  1809.650,   -55.649793,   346.073278,     0.011634,
  1809.700,   -60.480883,   268.443484,     0.010331,
  1809.750,   -65.427040,   197.681328,     0.018052,
  1809.800,   -70.401093,   135.462240,     0.016813,
  1809.850,   -75.360020,    81.761324,     0.011194,
  1809.900,   -80.216804,    35.296886,     0.018204,
  1809.950,   -84.810252,    -5.729542,     0.026588,
  1810.000,   -89.032320,   -42.320451,     0.018347,
  1810.050,   -92.719508,   -74.212796,     0.017152,
  1810.100,   -95.727927,  -100.510100,     0.018290,
  1810.150,   -97.922615,  -120.080976,     0.011729,
  1810.200,   -99.137417,  -131.932741,     0.013706,
  1810.250,   -99.213990,  -135.374246,     0.014961,
  1810.300,   -98.012305,  -130.088464,     0.017293,
  1810.350,   -95.407804,  -116.712252,     0.017536,
  1810.400,   -91.267478,   -97.534969,     0.018786,
  1810.450,   -85.526533,   -76.842848,     0.012300,
  1810.500,   -78.114589,   -60.111935,     0.012045,
  1810.550,   -69.007685,   -52.382422,     0.014997,
  1810.600,   -58.213381,   -56.701284,     0.011106,
  1810.650,   -45.723120,   -73.297035,     0.009199,
  1810.700,   -31.625382,   -99.778132,     0.006132,
  1810.750,   -16.044381,  -132.151827,    -0.003636,
  1810.800,     0.882021,  -165.514898,     0.006832,
  1810.850,    18.976972,  -194.233041,     0.006226,
