Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  1.116790E-3,    -0.00000,  1.913440E-3,    -0.00000, 7.580618E-13,    -2.40955,          NaN,         NaN
     5.0,  5.083491E-3,    -2.74280,  5.460226E-3,    -2.59468, 1.310581E-11,    -1.69223,          NaN,         NaN
    10.0,  8.655140E-3,    -1.02057,  1.112001E-2,    -1.15047, 1.336412E-11,    -2.44752,          NaN,         NaN
    15.0,  8.786463E-3,    -0.97219,  1.189691E-2,    -1.15707, 9.489508E-12,    -3.13543,          NaN,         NaN
    20.0,  1.633852E-2,    -0.50864,  1.955061E-2,    -0.78116, 1.552921E-11,    -3.51036,          NaN,         NaN
    25.0,  2.483379E-2,     1.60040,  2.118222E-2,     1.36382, 9.994495E-12,    -3.56767,          NaN,         NaN
    30.0,  2.585601E-2,    -1.50977,  2.950510E-2,    -1.67008, 8.927154E-12,    -5.33584,          NaN,         NaN
    35.0,  4.101799E-2,     0.21734,  4.212494E-2,    -0.11612, 9.571036E-12,    -4.07745,          NaN,         NaN
    40.0,  8.297546E-2,     0.01039,  8.489806E-2,    -0.29552, 8.500877E-12,    -5.20008,          NaN,         NaN
    45.0,  1.226730E-1,    -0.04274,  1.237001E-1,    -0.35934, 7.490610E-12,    -4.23075,          NaN,         NaN
    50.0,  1.228646E-1,     1.07853,  1.217084E-1,     0.74037, 2.161269E-11,    -4.17518,          NaN,         NaN
    55.0,  3.031527E-1,     2.94870,  3.029243E-1,     2.60369, 8.871677E-12,    -2.69359,          NaN,         NaN
    60.0,  6.151134E-2,     3.40948,  6.228905E-2,     3.03502, 1.259482E-11,    -2.34678,          NaN,         NaN
    65.0,  1.426328E-1,     3.68418,  1.439629E-1,     3.27642, 1.932213E-11,    -2.64082,          NaN,         NaN
    70.0,  3.703608E-1,     3.50857,  3.723847E-1,     3.07732, 1.841635E-11,    -2.08954,          NaN,         NaN
    75.0,  3.259677E-1,     3.85805,  3.274104E-1,     3.39657, 1.713664E-11,    -2.37635,          NaN,         NaN
    80.0,  3.585029E-1,     4.96660,  3.558422E-1,     4.47893, 1.756098E-11,    -1.10052,          NaN,         NaN
    85.0,  8.051648E-2,     3.67265,  8.276675E-2,     3.12774, 1.053519E-11,     0.21937,          NaN,         NaN
    90.0,  1.487259E-1,     5.98579,  1.448523E-1,     5.45839, 8.514181E-12,    -0.55314,          NaN,         NaN
    95.0,  2.849156E-1,     5.71269,  2.805628E-1,     5.14878, 1.199308E-11,    -0.12878,          NaN,         NaN
   100.0,  3.895177E-1,     5.87737,  3.863051E-1,     5.28949, 2.490790E-11,    -0.13230,          NaN,         NaN
   105.0,  4.122819E-1,     6.58222,  4.106615E-1,     5.97682, 1.699269E-11,     0.17770,          NaN,         NaN
   110.0,  4.337909E-1,     6.66300,  4.316283E-1,     6.02794, 2.118664E-11,     0.31991,          NaN,         NaN
   115.0,  6.334701E-1,     6.56603,  6.326361E-1,     5.90604, 2.536680E-11,     0.46159,          NaN,         NaN
   120.0,  4.345804E-1,     7.38397,  4.341482E-1,     6.69910, 1.576910E-11,     1.30929,          NaN,         NaN
   125.0,  4.815610E-1,     8.21547,  4.801447E-1,     7.49707, 1.667958E-11,     1.77456,          NaN,         NaN
   130.0,  5.485341E-1,     8.41986,  5.476926E-1,     7.67271, 2.873349E-11,     2.04950,          NaN,         NaN
   135.0,  5.029695E-1,     8.56969,  5.030414E-1,     7.79389, 2.844295E-11,     2.56624,          NaN,         NaN
   140.0,  6.355986E-1,     8.88759,  6.365902E-1,     8.08646, 2.288725E-11,     2.72486,          NaN,         NaN
   145.0,  6.399623E-1,     9.18973,  6.399792E-1,     8.36287, 1.835659E-11,     3.17261,          NaN,         NaN
   150.0,  5.381090E-1,     9.56981,  5.363806E-1,     8.71476, 1.892084E-11,     3.31424,          NaN,         NaN
   155.0,  6.394529E-1,     9.85168,  6.374957E-1,     8.97387, 2.710824E-11,     3.73826,          NaN,         NaN
   160.0,  5.510725E-1,    10.17822,  5.476947E-1,     9.27891, 1.641319E-11,     4.13088,          NaN,         NaN
   165.0,  6.439039E-1,    10.67856,  6.411124E-1,     9.75030, 2.177349E-11,     4.16688,          NaN,         NaN
   170.0,  7.887153E-1,    10.98819,  7.859148E-1,    10.03028, 3.416851E-11,     4.94556,          NaN,         NaN
   175.0,  7.534574E-1,    11.41996,  7.542770E-1,    10.43704, 2.132647E-11,     4.92440,          NaN,         NaN
   180.0,  7.060424E-1,    11.92204,  7.060552E-1,    10.91119, 1.843828E-11,     5.82121,          NaN,         NaN
   185.0,  7.795343E-1,    12.04539,  7.794399E-1,    11.00839, 3.039413E-11,     5.47926,          NaN,         NaN
   190.0,  7.150802E-1,    12.11033,  7.140021E-1,    11.04846, 1.715263E-11,     5.99739,          NaN,         NaN
