Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  1.377251E-3,    -0.00000,  2.011717E-3,    -0.00000, 2.668558E-13,    -0.87688,          NaN,         NaN
     5.0,  7.453498E-3,    -2.73018,  4.991815E-3,    -2.58499, 3.763512E-12,    -0.46429,          NaN,         NaN
    10.0,  9.762012E-3,    -1.26363,  1.101803E-2,    -1.16537, 1.065370E-11,    -0.33588,          NaN,         NaN
    15.0,  9.928252E-3,    -1.20625,  1.175276E-2,    -1.17595, 6.034430E-12,     1.08434,          NaN,         NaN
    20.0,  1.808837E-2,    -0.65660,  2.002588E-2,    -0.76092, 7.398232E-12,     1.28262,          NaN,         NaN
    25.0,  2.291685E-2,     1.48513,  2.149594E-2,     1.31910, 1.016544E-11,     0.19837,          NaN,         NaN
    30.0,  2.773295E-2,    -1.55204,  2.955678E-2,    -1.66907, 1.105293E-11,    -1.46564,          NaN,         NaN
    35.0,  4.218701E-2,     0.07353,  4.216109E-2,    -0.13214, 9.907025E-12,     0.91503,          NaN,         NaN
    40.0,  8.566213E-2,    -0.08993,  8.530218E-2,    -0.30319, 8.258712E-12,     2.15725,          NaN,         NaN
    45.0,  1.254761E-1,    -0.13473,  1.242984E-1,    -0.36891, 1.297452E-11,     2.74447,          NaN,         NaN
    50.0,  1.235121E-1,     0.96902,  1.224037E-1,     0.72780, 6.261074E-12,     3.99481,          NaN,         NaN
    55.0,  3.042973E-1,     2.85523,  3.055321E-1,     2.60122, 8.719827E-12,     5.55701,          NaN,         NaN
    60.0,  6.024416E-2,     3.27880,  6.225970E-2,     3.02379, 7.321379E-12,     5.59807,          NaN,         NaN
    65.0,  1.420551E-1,     3.56674,  1.438410E-1,     3.26354, 6.174525E-12,     6.52432,          NaN,         NaN
    70.0,  3.714101E-1,     3.40668,  3.745401E-1,     3.07531, 1.919573E-11,     6.65701,          NaN,         NaN
    75.0,  3.257648E-1,     3.75240,  3.279245E-1,     3.39539, 8.733673E-12,     6.71786,          NaN,         NaN
    80.0,  3.570102E-1,     4.86123,  3.564378E-1,     4.47481, 1.316587E-11,     8.52858,          NaN,         NaN
    85.0,  8.170055E-2,     3.54220,  8.336899E-2,     3.12122, 9.579119E-12,     6.93821,          NaN,         NaN
    90.0,  1.467921E-1,     5.87847,  1.450009E-1,     5.45709, 9.692510E-12,     8.85829,          NaN,         NaN
    95.0,  2.816847E-1,     5.59502,  2.795302E-1,     5.14430, 1.122337E-11,     9.30986,          NaN,         NaN
   100.0,  3.867513E-1,     5.75506,  3.853393E-1,     5.28415, 1.677735E-11,     8.67237,          NaN,         NaN
   105.0,  4.111816E-1,     6.46135,  4.108858E-1,     5.97343, 2.053083E-11,     9.61092,          NaN,         NaN
   110.0,  4.333162E-1,     6.53823,  4.314234E-1,     6.02065, 1.749325E-11,     9.25496,          NaN,         NaN
   115.0,  6.326187E-1,     6.43549,  6.339354E-1,     5.89748, 2.756186E-11,     9.22613,          NaN,         NaN
   120.0,  4.328046E-1,     7.25101,  4.343063E-1,     6.69176, 1.877468E-11,    10.15209,          NaN,         NaN
   125.0,  4.805496E-1,     8.08083,  4.797194E-1,     7.48918, 1.515422E-11,    11.10692,          NaN,         NaN
   130.0,  5.469763E-1,     8.27938,  5.475196E-1,     7.66344, 2.133591E-11,    11.00574,          NaN,         NaN
   135.0,  5.013747E-1,     8.42466,  5.020812E-1,     7.78214, 2.849669E-11,    11.59124,          NaN,         NaN
   140.0,  6.353738E-1,     8.74216,  6.372731E-1,     8.07841, 2.811948E-11,    11.57218,          NaN,         NaN
   145.0,  6.376060E-1,     9.04066,  6.384550E-1,     8.35267, 2.888130E-11,    12.27420,          NaN,         NaN
   150.0,  5.355481E-1,     9.41326,  5.345012E-1,     8.69799, 2.528845E-11,    12.46619,          NaN,         NaN
   155.0,  6.398503E-1,     9.69497,  6.391146E-1,     8.96029, 1.933259E-11,    12.86426,          NaN,         NaN
   160.0,  5.520447E-1,    10.02138,  5.507283E-1,     9.26830, 2.674633E-11,    12.98635,          NaN,         NaN
   165.0,  6.428270E-1,    10.51781,  6.419080E-1,     9.73868, 2.265500E-11,    13.29065,          NaN,         NaN
   170.0,  7.895937E-1,    10.82231,  7.881692E-1,    10.01767, 2.795669E-11,    13.71369,          NaN,         NaN
   175.0,  7.556673E-1,    11.25293,  7.566168E-1,    10.42646, 3.210252E-11,    14.42474,          NaN,         NaN
   180.0,  7.085591E-1,    11.75416,  7.090033E-1,    10.90273, 1.790929E-11,    14.65802,          NaN,         NaN
   185.0,  7.802049E-1,    11.87203,  7.801800E-1,    10.99700, 2.799219E-11,    14.61146,          NaN,         NaN
   190.0,  7.121584E-1,    11.93300,  7.111644E-1,    11.03659, 3.394412E-11,    14.56918,          NaN,         NaN
   195.0,  7.336493E-1,    12.39146,  7.343698E-1,    11.46958, 3.491650E-11,    15.62824,          NaN,         NaN
   200.0,  7.954668E-1,    12.75343,  7.961385E-1,    11.80774, 3.314592E-11,    15.56926,          NaN,         NaN
   205.0,  6.050541E-1,    13.31017,  6.066062E-1,    12.34162, 2.751501E-11,    16.41749,          NaN,         NaN
   210.0,  6.856884E-1,    13.41094,  6.865095E-1,    12.41868, 2.523644E-11,    16.39629,          NaN,         NaN
   215.0,  7.040887E-1,    13.67908,  7.075244E-1,    12.66024, 3.324711E-11,    16.65619,          NaN,         NaN
