Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1800.000,     0.041201,     0.042020,     0.004055,
  1800.050,     0.021631,     0.013276,    -0.007056,
  1800.100,    -0.002507,     0.002319,     0.001468,
  1800.150,    -0.020747,    -0.019192,     0.004371,
  1800.200,    -0.039578,    -0.038424,    -0.002837,
  1800.250,    -0.046275,    -0.064314,    -0.003079,
  1800.300,    -0.076376,    -0.085152,    -0.000025,
  1800.350,    -0.096833,    -0.110483,    -0.003244,
  1800.400,    -0.112622,    -0.133936,    -0.003403,
  1800.450,    -0.144311,    -0.139740,    -0.000556,
  1800.500,    -0.163636,    -0.142580,    -0.002435,
  1800.550,    -0.187830,    -0.104802,     0.005940,
  1800.600,    -0.196022,    -0.044527,     0.000982,
  1800.650,    -0.193556,     0.057527,     0.000419,
  1800.700,    -0.156154,     0.173317,    -0.003621,
  1800.750,    -0.087594,     0.326759,    -0.001861,
  1800.800,     0.002851,     0.482788,     0.006847,
  1800.850,     0.130745,     0.615971,    -0.004299,
  1800.900,     0.262382,     0.733398,    -0.001360,
  1800.950,     0.402001,     0.819585,     0.012064,
  1801.000,     0.534173,     0.871044,     0.004479,
  1801.050,     0.647884,     0.895577,    -0.000620,
  1801.100,     0.723360,     0.906522,     0.000435,
  1801.150,     0.782197,     0.889362,     0.005811,
  1801.200,     0.817634,     0.864062,    -0.003226,
  1801.250,     0.839139,     0.837364,     0.003393,
  1801.300,     0.819575,     0.792586,    -0.001787,
  1801.350,     0.803592,     0.749487,     0.001803,
  1801.400,     0.760766,     0.706164,    -0.008105,
  1801.450,     0.728498,     0.673526,    -0.008379,
  1801.500,     0.680522,     0.624842,    -0.008370,
  1801.550,     0.647199,     0.595280,    -0.004190,
  1801.600,     0.602513,     0.556729,    -0.007051,
  1801.650,     0.560390,     0.542413,     0.006564,
  1801.700,     0.525735,     0.513018,    -0.012934,
  1801.750,     0.505342,     0.486389,     0.003110,
  1801.800,     0.470264,     0.461338,    -0.000171,
  1801.850,     0.437974,     0.434244,    -0.003944,
  1801.900,     0.414384,     0.399434,     0.008824,
  1801.950,     0.392192,     0.377073,    -0.008045,
  1802.000,     0.351457,     0.342031,    -0.000592,
  1802.050,     0.333014,     0.316001,    -0.003098,
