Time_abs/ps, Signal 1/nA, Ref.signal 1/nA, Signal 2/nA, Ref.signal 2/nA
  1800.000,     0.049297,     0.033820,    -0.008769,
  1800.050,     0.029255,     0.017515,     0.004290,
  1800.100,    -0.009478,     0.002349,     0.000487,
  1800.150,    -0.026099,    -0.021089,     0.005567,
  1800.200,    -0.042974,    -0.032596,    -0.001575,
  1800.250,    -0.076301,    -0.060388,     0.000978,
  1800.300,    -0.091139,    -0.101686,     0.007440,
  1800.350,    -0.114822,    -0.121031,    -0.004913,
  1800.400,    -0.124022,    -0.140949,     0.002393,
  1800.450,    -0.144697,    -0.153091,     0.000127,
  1800.500,    -0.159408,    -0.134397,     0.001505,
  1800.550,    -0.187900,    -0.106260,    -0.004138,
  1800.600,    -0.212195,    -0.031909,    -0.002272,
  1800.650,    -0.233280,     0.053709,    -0.004342,
  1800.700,    -0.260709,     0.185069,     0.008434,
  1800.750,    -0.272150,     0.329832,     0.000848,
  1800.800,    -0.283196,     0.474229,    -0.002296,
  1800.850,    -0.276879,     0.604471,     0.002415,
  1800.900,    -0.233696,     0.716967,     0.000951,
  1800.950,    -0.181035,     0.802260,    -0.001800,
  1801.000,    -0.085447,     0.849234,     0.001584,
  1801.050,     0.017024,     0.881543,    -0.001508,
  1801.100,     0.139638,     0.885153,     0.001545,
  1801.150,     0.261671,     0.865172,     0.003144,
  1801.200,     0.381657,     0.843049,     0.002939,
  1801.250,     0.496598,     0.819244,     0.007538,
  1801.300,     0.581873,     0.783308,     0.000219,
  1801.350,     0.648277,     0.724486,    -0.003035,
  1801.400,     0.687925,     0.692027,    -0.001553,
  1801.450,     0.695162,     0.648541,     0.000076,
  1801.500,     0.686682,     0.603480,    -0.007814,
  1801.550,     0.667258,     0.570296,    -0.001431,
  1801.600,     0.637669,     0.543738,     0.003743,
  1801.650,     0.603597,     0.518382,     0.000159,
  1801.700,     0.549065,     0.487924,     0.000273,
  1801.750,     0.514262,     0.474714,     0.000489,
  1801.800,     0.477277,     0.433474,     0.000206,
  1801.850,     0.438192,     0.399614,     0.003755,
  1801.900,     0.400636,     0.374652,     0.004126,
  1801.950,     0.364775,     0.348439,    -0.001201,
  1802.000,     0.345389,     0.318680,    -0.002863,
  1802.050,     0.312673,     0.297392,    -0.000620,
  1802.100,     0.294971,     0.287773,    -0.007471,
  1802.150,     0.259849,     0.286413,    -0.000539,
  1802.200,     0.241967,     0.273318,     0.001754,
  1802.250,     0.218347,     0.258980,     0.002059,
  1802.300,     0.193145,     0.237671,     0.002357,
  1802.350,     0.171857,     0.194476,     0.006405,
  1802.400,     0.162572,     0.135756,    -0.000085,
  1802.450,     0.140721,     0.067911,     0.004950,
  1802.500,     0.128614,    -0.014486,    -0.005470,
  1802.550,     0.118702,    -0.092229,    -0.003454,
  1802.600,     0.104938,    -0.181099,    -0.000539,
  1802.650,     0.079162,    -0.241984,    -0.001866,
  1802.700,     0.047269,    -0.292184,     0.000037,
  1802.750,    -0.010114,    -0.328312,     0.000778,
  1802.800,    -0.062842,    -0.358199,     0.006270,
  1802.850,    -0.131052,    -0.373805,    -0.003894,
  1802.900,    -0.199443,    -0.382293,    -0.001007,
  1802.950,    -0.281983,    -0.397744,    -0.006770,
  1803.000,    -0.345072,    -0.416138,     0.003819,
  1803.050,    -0.394195,    -0.427076,    -0.003172,
  1803.100,    -0.446350,    -0.452937,    -0.006177,
  1803.150,    -0.483982,    -0.474131,    -0.000754,
  1803.200,    -0.492660,    -0.506812,     0.002293,
  1803.250,    -0.514058,    -0.530056,     0.004521,
  1803.300,    -0.533579,    -0.557634,    -0.001870,
  1803.350,    -0.547544,    -0.577944,     0.006746,
  1803.400,    -0.558660,    -0.603748,     0.003356,
  1803.450,    -0.576932,    -0.642801,     0.000443,
  1803.500,    -0.595866,    -0.660762,    -0.004451,
  1803.550,    -0.623316,    -0.682087,    -0.005077,
  1803.600,    -0.643053,    -0.690990,     0.007451,
  1803.650,    -0.676835,    -0.706864,     0.006899,
  1803.700,    -0.698086,    -0.710208,     0.001471,
  1803.750,    -0.725857,    -0.714327,    -0.003237,
  1803.800,    -0.758342,    -0.703598,     0.003915,
  1803.850,    -0.769302,    -0.708861,    -0.004174,
  1803.900,    -0.788609,    -0.700510,    -0.009963,
  1803.950,    -0.813478,    -0.700181,    -0.003810,
  1804.000,    -0.816459,    -0.701795,     0.004549,
  1804.050,    -0.830459,    -0.707487,     0.004780,
  1804.100,    -0.842073,    -0.722581,    -0.005810,
  1804.150,    -0.840172,    -0.742097,    -0.004989,
  1804.200,    -0.843307,    -0.788472,    -0.002968,
  1804.250,    -0.848483,    -0.852247,    -0.004213,
  1804.300,    -0.845254,    -0.902841,    -0.004071,
  1804.350,    -0.855487,    -0.972513,    -0.002496,
  1804.400,    -0.870895,    -1.053781,     0.001088,
  1804.450,    -0.876837,    -1.133172,    -0.006677,
  1804.500,    -0.914847,    -1.215892,     0.001407,
  1804.550,    -0.958733,    -1.289604,     0.000723,
  1804.600,    -0.998079,    -1.371335,     0.001147,
  1804.650,    -1.066370,    -1.437657,     0.009285,
  1804.700,    -1.139777,    -1.526076,     0.000307,
  1804.750,    -1.218423,    -1.601171,    -0.003193,
  1804.800,    -1.300285,    -1.697942,    -0.008021,
  1804.850,    -1.375400,    -1.809085,    -0.008413,
  1804.900,    -1.442833,    -1.935134,    -0.003757,
  1804.950,    -1.524490,    -2.081690,     0.000007,
  1805.000,    -1.615071,    -2.241478,     0.001322,
  1805.050,    -1.686984,    -2.430649,    -0.000520,
  1805.100,    -1.776766,    -2.621076,     0.004159,
