Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  1.764768E-3,    -0.00000,  1.913670E-3,    -0.00000, 4.190836E-13,    -1.71408,          NaN,         NaN
     5.0,  6.019847E-3,    -2.68276,  5.603461E-3,    -2.60812, 8.803925E-12,    -2.59804,          NaN,         NaN
    10.0,  1.028484E-2,    -1.16339,  1.116512E-2,    -1.17708, 2.642530E-11,    -1.63184,          NaN,         NaN
    15.0,  1.078284E-2,    -1.14328,  1.156937E-2,    -1.15276, 5.645977E-12,    -0.46911,          NaN,         NaN
    20.0,  1.866709E-2,    -0.70398,  1.956219E-2,    -0.77483, 1.244588E-11,     0.17517,          NaN,         NaN
    25.0,  2.166889E-2,     1.40983,  2.120595E-2,     1.31504, 6.646362E-12,     0.28108,          NaN,         NaN
    30.0,  2.807730E-2,    -1.61935,  2.925665E-2,    -1.67905, 7.557005E-12,    -0.08585,          NaN,         NaN
    35.0,  4.177662E-2,    -0.03787,  4.216567E-2,    -0.13378, 1.449129E-11,    -0.35067,          NaN,         NaN
    40.0,  8.466288E-2,    -0.20565,  8.502012E-2,    -0.30067, 8.789078E-12,    -0.10635,          NaN,         NaN
    45.0,  1.234778E-1,    -0.26198,  1.239163E-1,    -0.36306, 1.056169E-11,    -0.62105,          NaN,         NaN
    50.0,  1.223780E-1,     0.85434,  1.212416E-1,     0.75001, 1.219515E-11,    -0.67579,          NaN,         NaN
    55.0,  3.015650E-1,     2.71430,  3.016069E-1,     2.60028, 9.524773E-12,     0.70483,          NaN,         NaN
    60.0,  6.079249E-2,     3.14283,  6.260730E-2,     3.01620, 1.146388E-11,     1.15626,          NaN,         NaN
    65.0,  1.427519E-1,     3.40921,  1.442629E-1,     3.26940, 9.746222E-12,     1.48337,          NaN,         NaN
    70.0,  3.715507E-1,     3.22360,  3.718031E-1,     3.07437, 1.240829E-11,     1.64993,          NaN,         NaN
    75.0,  3.256159E-1,     3.55471,  3.269170E-1,     3.38962, 1.488945E-11,     1.32653,          NaN,         NaN
    80.0,  3.557214E-1,     4.64895,  3.559498E-1,     4.47532, 1.998390E-11,     3.25839,          NaN,         NaN
    85.0,  8.157610E-2,     3.32196,  8.274100E-2,     3.12769, 1.633620E-11,     1.15527,          NaN,         NaN
    90.0,  1.453673E-1,     5.64562,  1.446289E-1,     5.45126, 6.772236E-12,     1.64009,          NaN,         NaN
    95.0,  2.810314E-1,     5.34731,  2.799256E-1,     5.14249, 8.976063E-12,     1.85970,          NaN,         NaN
   100.0,  3.864872E-1,     5.49808,  3.860071E-1,     5.28379, 1.030402E-11,     1.49438,          NaN,         NaN
   105.0,  4.101439E-1,     6.19254,  4.104005E-1,     5.97036, 9.283183E-12,     2.46337,          NaN,         NaN
   110.0,  4.319767E-1,     6.25298,  4.319515E-1,     6.02034, 1.875547E-11,     2.41125,          NaN,         NaN
   115.0,  6.311232E-1,     6.14249,  6.322827E-1,     5.89862, 3.025518E-11,     1.61300,          NaN,         NaN
   120.0,  4.318729E-1,     6.94334,  4.336634E-1,     6.69178, 1.581008E-11,     2.54449,          NaN,         NaN
   125.0,  4.795686E-1,     7.75423,  4.799500E-1,     7.48928, 1.221135E-11,     3.83807,          NaN,         NaN
   130.0,  5.467613E-1,     7.94250,  5.477060E-1,     7.66414, 1.154824E-11,     3.73272,          NaN,         NaN
   135.0,  5.021688E-1,     8.07653,  5.018544E-1,     7.78521, 2.168002E-11,     3.48928,          NaN,         NaN
   140.0,  6.360008E-1,     8.37825,  6.361379E-1,     8.07804, 2.009228E-11,     4.14562,          NaN,         NaN
   145.0,  6.398413E-1,     8.66505,  6.397730E-1,     8.35407, 2.017979E-11,     4.22651,          NaN,         NaN
   150.0,  5.380007E-1,     9.02842,  5.367671E-1,     8.70416, 1.613475E-11,     4.51316,          NaN,         NaN
   155.0,  6.366624E-1,     9.29693,  6.369223E-1,     8.96415, 2.720604E-11,     4.39370,          NaN,         NaN
   160.0,  5.456282E-1,     9.60849,  5.475041E-1,     9.26858, 1.479394E-11,     4.66623,          NaN,         NaN
   165.0,  6.412357E-1,    10.09196,  6.408875E-1,     9.73911, 2.634701E-11,     5.19002,          NaN,         NaN
   170.0,  7.868240E-1,    10.38225,  7.856129E-1,    10.01985, 2.496842E-11,     5.82173,          NaN,         NaN
   175.0,  7.534567E-1,    10.80188,  7.537392E-1,    10.42565, 3.718662E-11,     6.14739,          NaN,         NaN
   180.0,  7.073005E-1,    11.28588,  7.054922E-1,    10.90096, 2.837728E-11,     6.90583,          NaN,         NaN
   185.0,  7.788489E-1,    11.39163,  7.788369E-1,    10.99678, 2.666087E-11,     6.56039,          NaN,         NaN
   190.0,  7.113192E-1,    11.44191,  7.134033E-1,    11.03625, 2.785441E-11,     6.89294,          NaN,         NaN
   195.0,  7.351774E-1,    11.88295,  7.354608E-1,    11.46655, 3.121089E-11,     7.43026,          NaN,         NaN
   200.0,  7.966944E-1,    12.23499,  7.976434E-1,    11.80572, 4.085248E-11,     7.55193,          NaN,         NaN
   205.0,  6.085529E-1,    12.78364,  6.099734E-1,    12.34214, 2.471817E-11,     8.43864,          NaN,         NaN
   210.0,  6.875542E-1,    12.87173,  6.887363E-1,    12.42141, 2.596613E-11,     8.15879,          NaN,         NaN
   215.0,  7.066197E-1,    13.12374,  7.079661E-1,    12.66140, 2.006290E-11,     8.01452,          NaN,         NaN
   220.0,  1.053559E+0,    13.54890,  1.053657E+0,    13.07798, 4.384123E-11,     8.94033,          NaN,         NaN
   225.0,  1.115223E+0,    13.79127,  1.117651E+0,    13.30832, 5.224673E-11,     9.12146,          NaN,         NaN
   230.0,  9.012815E-1,    14.19699,  9.042178E-1,    13.70252, 3.728608E-11,     9.55759,          NaN,         NaN
   235.0,  8.241579E-1,    14.35696,  8.274686E-1,    13.84994, 2.759339E-11,     9.66577,          NaN,         NaN
   240.0,  8.374847E-1,    14.67051,  8.398905E-1,    14.15591, 4.108549E-11,    10.07448,          NaN,         NaN
   245.0,  9.346565E-1,    15.12406,  9.367203E-1,    14.59705, 2.656295E-11,    10.47485,          NaN,         NaN
   250.0,  9.902239E-1,    15.59884,  9.896711E-1,    15.06375, 4.354185E-11,    10.87380,          NaN,         NaN
   255.0,  9.207374E-1,    15.79348,  9.222802E-1,    15.24656, 3.748736E-11,    10.94032,          NaN,         NaN
   260.0,  8.280559E-1,    16.12897,  8.278827E-1,    15.57098, 2.584063E-11,    11.40828,          NaN,         NaN
   265.0,  1.118018E+0,    16.21309,  1.120928E+0,    15.64321, 4.458056E-11,    11.53063,          NaN,         NaN
   270.0,  9.934202E-1,    16.53190,  9.961081E-1,    15.95065, 4.547473E-11,    11.80049,          NaN,         NaN
   275.0,  1.081964E+0,    17.10531,  1.086376E+0,    16.51531, 3.723191E-11,    12.53132,          NaN,         NaN
   280.0,  1.001303E+0,    17.21324,  1.005416E+0,    16.61261, 3.989382E-11,    12.63531,          NaN,         NaN
   285.0,  8.872104E-1,    17.74325,  8.917463E-1,    17.12731, 2.656357E-11,    12.82898,          NaN,         NaN
   290.0,  1.084943E+0,    17.93821,  1.088536E+0,    17.31553, 4.435430E-11,    13.06431,          NaN,         NaN
   295.0,  1.051702E+0,    18.31507,  1.057103E+0,    17.67672, 4.653281E-11,    13.62994,          NaN,         NaN
   300.0,  1.002330E+0,    18.60122,  1.002746E+0,    17.95543, 3.374171E-11,    13.90930,          NaN,         NaN
   305.0,  9.003070E-1,    18.92112,  9.034528E-1,    18.26885, 2.589006E-11,    14.33267,          NaN,         NaN
   310.0,  9.120347E-1,    19.15053,  9.163098E-1,    18.48567, 3.467804E-11,    14.33444,          NaN,         NaN
   315.0,  8.112992E-1,    19.50833,  8.150981E-1,    18.83313, 2.699075E-11,    14.85188,          NaN,         NaN
   320.0,  9.960726E-1,    19.76122,  1.000085E+0,    19.07174, 3.364208E-11,    14.76897,          NaN,         NaN
   325.0,  9.048619E-1,    19.99752,  9.086523E-1,    19.29664, 3.042002E-11,    15.22760,          NaN,         NaN
   330.0,  9.224389E-1,    20.45046,  9.256409E-1,    19.74069, 3.692000E-11,    15.70234,          NaN,         NaN
   335.0,  9.700533E-1,    20.63323,  9.731361E-1,    19.91132, 4.172067E-11,    16.09651,          NaN,         NaN
   340.0,  9.430076E-1,    20.95294,  9.474531E-1,    20.22116, 3.367830E-11,    16.25689,          NaN,         NaN
   345.0,  9.329386E-1,    21.20873,  9.377381E-1,    20.46373, 3.074807E-11,    15.99921,          NaN,         NaN
   350.0,  9.234891E-1,    21.62569,  9.302772E-1,    20.87246, 2.658179E-11,    17.00796,          NaN,         NaN
   355.0,  9.546902E-1,    21.86308,  9.596728E-1,    21.09633, 4.324925E-11,    17.30774,          NaN,         NaN
   360.0,  8.880173E-1,    22.18569,  8.930686E-1,    21.41041, 4.045927E-11,    17.27322,          NaN,         NaN
