Frequency Set (GHz)	THz Photocurrent (nA)	Delay Length (mm)	Frequency Act (GHz)	(Frequency corr. smooth (GHz))	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Offset Fit	Amplitude FFT	Phase FFT	Frequency FFT	Offset FFT	Timestamp (s)
100.000	-0.020	0.000	100.002	100.000	19.469	5.724	0.680	3.675	0.000	5.719	0.680	1520275.632	1740149491.094
100.200	-0.007	0.000	100.019	100.011	17.719	5.829	0.682	3.748	0.000	5.824	0.682	1929920.665	1740149491.372
100.400	-0.039	0.000	100.122	100.090	11.485	6.171	0.683	2.366	0.000	1.217	0.683	339516.587	1740149491.679
100.600	0.025	0.000	100.267	100.222	5.815	0.114	0.685	0.783	0.000	1.413	0.685	88218.579	1740149491.971
100.800	-0.031	0.000	100.409	100.372	10.466	0.186	0.686	2.186	0.000	1.540	0.686	632215.240	1740149492.248
101.000	-0.004	0.000	100.604	100.548	7.668	1.201	0.687	0.268	0.000	2.547	0.687	5506.452	1740149492.560
101.200	-0.004	0.000	100.806	100.752	7.364	1.850	0.689	-0.607	0.000	3.237	0.689	22333.405	1740149492.855
101.400	-0.009	0.000	101.014	100.953	7.802	2.670	0.690	-1.570	0.000	4.080	0.690	206100.688	1740149493.180
101.600	0.002	0.000	101.223	101.159	5.795	3.510	0.691	-1.018	0.000	3.511	0.691	43238.244	1740149493.501
101.800	-0.019	0.000	101.418	101.356	4.505	3.927	0.693	-0.326	0.000	3.946	0.693	14927.901	1740149493.805
102.000	0.006	0.000	101.622	101.562	6.502	4.224	0.694	-0.520	0.000	4.228	0.694	12612.752	1740149494.126
102.200	0.007	0.000	101.827	101.766	9.590	5.052	0.695	0.622	0.000	5.045	0.695	40875.122	1740149494.418
102.400	0.008	0.000	102.031	101.969	13.763	6.051	0.697	3.447	0.000	6.055	0.697	2198225.513	1740149494.741
102.600	-0.007	0.000	102.234	102.169	14.738	0.776	0.698	2.442	0.000	2.267	0.698	1219340.343	1740149495.068
102.800	-0.011	0.000	102.426	102.371	14.424	1.512	0.700	-0.504	0.000	3.027	0.700	201557.068	1740149495.370
103.000	-0.032	0.000	102.625	102.566	22.993	2.533	0.701	-4.518	0.000	4.052	0.701	1374421.511	1740149495.687
103.200	0.010	0.000	102.829	102.770	24.428	3.710	0.702	-4.587	0.000	3.714	0.702	3127632.766	1740149495.977
103.400	-0.000	0.000	103.034	102.973	19.262	4.717	0.704	0.335	0.000	4.713	0.704	48519.808	1740149496.302
103.600	0.006	0.000	103.183	103.144	19.086	5.396	0.705	3.174	0.000	5.394	0.705	1135059.537	1740149496.584
103.800	-0.006	0.000	103.396	103.345	20.652	6.095	0.706	4.762	0.000	6.089	0.706	1727066.589	1740149496.892
104.000	0.010	0.000	103.592	103.545	29.045	0.678	0.708	3.912	0.000	2.286	0.708	40410.424	1740149497.159
104.200	0.060	0.000	103.775	103.724	42.186	2.076	0.709	-5.296	0.000	3.696	0.709	877678.804	1740149497.431
104.400	-0.017	0.000	103.945	103.905	22.275	3.062	0.710	-5.516	0.000	3.072	0.710	4029654.665	1740149497.672
104.600	0.003	0.000	104.135	104.087	20.638	3.951	0.712	-3.266	0.000	3.945	0.712	1917956.511	1740149497.945
104.800	0.003	0.000	104.381	104.312	18.475	4.829	0.713	0.407	0.000	4.828	0.713	587273.952	1740149498.248
105.000	-0.007	0.000	104.601	104.538	15.746	5.868	0.714	3.322	0.000	5.860	0.714	321630.403	1740149498.567
105.200	0.002	0.000	104.827	104.762	16.990	0.451	0.716	2.675	0.000	2.161	0.716	8800.639	1740149498.893
105.400	0.015	0.000	105.019	104.963	15.522	1.604	0.717	-0.005	0.000	3.313	0.717	468734.939	1740149499.202
105.600	0.022	0.000	105.217	105.165	7.285	2.323	0.719	-1.630	0.000	4.044	0.719	744487.834	1740149499.519
105.800	0.008	0.000	105.422	105.367	5.807	3.124	0.720	-1.520	0.000	3.140	0.720	295112.948	1740149499.811
106.000	0.015	0.000	105.632	105.571	8.440	2.776	0.721	-1.271	0.000	4.522	0.721	269882.539	1740149500.136
106.200	-0.032	0.000	105.835	105.773	16.502	3.804	0.723	-2.854	0.000	3.809	0.723	793255.688	1740149500.455
106.400	-0.004	0.000	106.024	105.969	21.424	4.760	0.724	0.585	0.000	4.766	0.724	175838.064	1740149500.764
106.600	-0.030	0.000	106.224	106.168	26.867	5.955	0.725	5.785	0.000	5.945	0.725	628334.341	1740149501.075
106.800	0.000	0.000	106.424	106.369	25.590	0.750	0.727	3.628	0.000	2.567	0.727	294273.798	1740149501.367
107.000	0.012	0.000	106.639	106.573	21.780	1.919	0.728	-1.818	0.000	3.762	0.728	111198.473	1740149501.692
107.200	0.032	0.000	106.823	106.767	23.087	2.833	0.729	-5.485	0.000	4.683	0.729	2208535.871	1740149502.001
107.400	0.014	0.000	107.032	106.971	20.603	3.821	0.731	-2.600	0.000	3.819	0.731	63823.699	1740149502.317
107.600	-0.039	0.000	107.234	107.173	12.445	4.906	0.732	0.635	0.000	4.912	0.732	79244.782	1740149502.635
107.800	0.019	0.000	107.432	107.373	14.163	5.351	0.734	2.263	0.000	5.358	0.734	139426.133	1740149502.935
108.000	0.006	0.000	107.632	107.576	15.606	0.214	0.735	3.367	0.000	2.132	0.735	434621.249	1740149503.252
108.200	-0.024	0.000	107.829	107.768	7.834	0.684	0.736	0.831	0.000	2.606	0.736	54995.705	1740149503.566
108.400	-0.023	0.000	107.985	107.944	14.023	1.146	0.738	0.783	0.000	3.069	0.738	2622.604	1740149503.807
108.600	0.029	0.000	108.210	108.144	13.313	2.416	0.739	-2.502	0.000	4.369	0.739	124519.690	1740149504.128
