Frequency Set (GHz)	THz Photocurrent (nA)	Delay Length (mm)	Frequency Act (GHz)	(Frequency corr. smooth (GHz))	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Offset Fit	Amplitude FFT	Phase FFT	Frequency FFT	Offset FFT	Timestamp (s)
100.000	-0.006	0.000	100.001	100.000	7.224	2.780	0.680	-0.357	0.000	4.062	0.680	1551980.738	1740152743.291
100.200	-0.043	0.000	100.034	100.018	7.419	2.849	0.682	-1.539	0.000	4.165	0.682	95644.220	1740152743.610
100.400	0.021	0.000	100.135	100.101	8.722	3.243	0.683	-2.050	0.000	3.271	0.683	686557.475	1740152743.911
100.600	-0.030	0.000	100.273	100.230	8.603	4.127	0.685	-1.073	0.000	4.113	0.685	346796.943	1740152744.226
100.800	0.063	0.000	100.455	100.399	4.507	4.686	0.686	-0.624	0.000	4.687	0.686	946311.931	1740152744.554
101.000	0.043	0.000	100.627	100.575	5.417	4.875	0.687	0.643	0.000	4.873	0.687	203253.304	1740152744.860
101.200	-0.043	0.000	100.827	100.767	5.754	5.482	0.689	0.751	0.000	5.504	0.689	4201.951	1740152745.179
101.400	0.048	0.000	101.015	100.963	8.298	5.950	0.690	1.498	0.000	5.940	0.690	41598.685	1740152745.471
101.600	-0.023	0.000	101.221	101.159	14.292	0.631	0.691	2.660	0.000	2.059	0.691	1241518.125	1740152745.784
101.800	-0.017	0.000	101.443	101.375	14.452	1.933	0.693	-0.971	0.000	3.380	0.693	91285.380	1740152746.111
102.000	-0.080	0.000	101.617	101.565	13.373	2.546	0.694	-2.344	0.000	3.997	0.694	10571.459	1740152746.418
102.200	-0.029	0.000	101.826	101.765	23.101	3.318	0.695	-5.297	0.000	3.333	0.695	3540918.918	1740152746.738
102.400	0.055	0.000	102.024	101.967	25.066	4.812	0.697	0.556	0.000	4.815	0.697	314614.589	1740152747.059
102.600	0.012	0.000	102.225	102.170	18.545	5.639	0.698	3.027	0.000	5.642	0.698	2798.436	1740152747.358
102.800	-0.029	0.000	102.440	102.376	20.407	0.175	0.700	4.097	0.000	1.692	0.700	584044.461	1740152747.684
103.000	-0.020	0.000	102.615	102.564	19.470	0.926	0.701	2.045	0.000	2.436	0.701	121213.498	1740152747.986
103.200	0.043	0.000	102.823	102.762	27.838	1.794	0.702	-1.675	0.000	3.347	0.702	41545.695	1740152748.311
103.400	0.005	0.000	103.022	102.968	42.764	3.229	0.704	-9.147	0.000	3.241	0.704	3321026.123	1740152748.610
103.600	-0.004	0.000	103.215	103.161	21.735	4.312	0.705	-1.350	0.000	4.301	0.705	195676.395	1740152748.898
103.800	0.007	0.000	103.383	103.337	20.797	5.109	0.706	2.273	0.000	5.121	0.706	96115.629	1740152749.169
104.000	0.054	0.000	103.571	103.522	19.902	5.849	0.708	3.841	0.000	5.833	0.708	262709.862	1740152749.424
104.200	0.014	0.000	103.790	103.721	17.436	0.611	0.709	3.167	0.000	2.224	0.709	1099473.482	1740152749.735
104.400	-0.020	0.000	104.001	103.937	15.426	1.261	0.710	1.502	0.000	2.881	0.710	2271965.629	1740152750.052
104.600	0.027	0.000	104.216	104.157	18.247	2.576	0.712	-3.594	0.000	4.222	0.712	321715.740	1740152750.368
104.800	0.045	0.000	104.392	104.347	8.648	3.710	0.713	-1.433	0.000	3.685	0.713	108830.073	1740152750.627
105.000	-0.007	0.000	104.610	104.542	7.464	3.973	0.714	-0.942	0.000	3.947	0.714	55155.852	1740152750.947
105.200	-0.026	0.000	104.807	104.750	6.127	4.028	0.716	-0.067	0.000	4.006	0.716	878983.370	1740152751.249
105.400	0.009	0.000	105.021	104.958	12.958	4.661	0.717	-0.338	0.000	4.655	0.717	499274.390	1740152751.567
105.600	-0.053	0.000	105.224	105.168	22.599	5.753	0.719	5.026	0.000	5.755	0.719	1338821.862	1740152751.871
105.800	-0.027	0.000	105.438	105.374	26.031	0.763	0.720	3.474	0.000	2.488	0.720	131202.420	1740152752.196
106.000	-0.023	0.000	105.640	105.576	23.227	1.870	0.721	-1.692	0.000	3.637	0.721	192236.532	1740152752.527
106.200	0.039	0.000	105.836	105.778	24.944	2.874	0.723	-6.005	0.000	4.643	0.723	2437797.213	1740152752.844
106.400	0.045	0.000	106.027	105.975	22.625	3.855	0.724	-3.906	0.000	3.851	0.724	1884616.377	1740152753.126
106.600	-0.045	0.000	106.225	106.169	18.901	4.832	0.725	1.000	0.000	4.836	0.725	288.208	1740152753.452
106.800	-0.035	0.000	106.426	106.372	16.869	5.955	0.727	3.278	0.000	5.969	0.727	10523.942	1740152753.755
107.000	-0.018	0.000	106.629	106.565	12.663	0.003	0.728	2.331	0.000	1.840	0.728	59102.233	1740152754.075
107.200	0.008	0.000	106.824	106.766	15.476	1.033	0.729	1.006	0.000	2.851	0.729	55575.285	1740152754.394
107.400	-0.006	0.000	107.023	106.968	8.747	2.118	0.731	-2.102	0.000	4.006	0.731	1957533.505	1740152754.684
107.600	-0.009	0.000	107.233	107.170	12.336	2.311	0.732	-2.057	0.000	4.200	0.732	15133.827	1740152755.004
107.800	0.002	0.000	107.446	107.376	14.301	3.417	0.734	-2.646	0.000	3.422	0.734	112.968	1740152755.324
108.000	0.048	0.000	107.629	107.571	10.640	4.248	0.735	-0.699	0.000	4.224	0.735	4882.716	1740152755.638
108.200	-0.051	0.000	107.826	107.769	13.629	4.814	0.736	0.520	0.000	4.823	0.736	69786.233	1740152755.948
108.400	-0.003	0.000	108.028	107.967	14.084	5.912	0.738	2.570	0.000	5.900	0.738	73830.767	1740152756.257
